col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Attorney General,,,Auditor General,,,All
,Kathleen G Kane,David J Freed,Marakay J Rogers,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,All
Kathleen G Kane,120,0,0,"5,970",34,12,All
David J Freed,,8,0,31,68,0,All
Marakay J Rogers,,,0,6,0,11,All
Eugene A Depasquale,,,,36,0,0,All
John Maher,,,,,0,0,All
Betsy Elizabeth Summers,,,,,,0,All
Total,"6,136",107,17,"6,043",102,23,All
,Attorney General,,,Auditor General,,,1
,Kathleen G Kane,David J Freed,Marakay J Rogers,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,1
Kathleen G Kane,8,0,0,342,3,2,1
David J Freed,,1,0,3,1,0,1
Marakay J Rogers,,,0,0,0,0,1
Eugene A Depasquale,,,,2,0,0,1
John Maher,,,,,0,0,1
Betsy Elizabeth Summers,,,,,,0,1
Total,355,5,0,347,4,2,1
,Attorney General,,,Auditor General,,,2
,Kathleen G Kane,David J Freed,Marakay J Rogers,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,2
Kathleen G Kane,9,0,0,395,2,1,2
David J Freed,,0,0,4,0,0,2
Marakay J Rogers,,,0,0,0,0,2
Eugene A Depasquale,,,,6,0,0,2
John Maher,,,,,0,0,2
Betsy Elizabeth Summers,,,,,,0,2
Total,407,4,0,405,2,1,2
,Attorney General,,,Auditor General,,,3
,Kathleen G Kane,David J Freed,Marakay J Rogers,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,3
Kathleen G Kane,3,0,0,283,3,1,3
David J Freed,,0,0,1,1,0,3
Marakay J Rogers,,,0,0,0,1,3
Eugene A Depasquale,,,,1,0,0,3
John Maher,,,,,0,0,3
Betsy Elizabeth Summers,,,,,,0,3
Total,290,2,1,285,4,2,3
,Auditor General,,,Attorney General,,,4
,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,Kathleen G Kane,Marakay J Rogers,David J Freed,4
Eugene A Depasquale,2,0,0,322,3,1,4
John Maher,,0,0,1,0,0,4
