col_1,col_2,col_3,col_4,col_5,division
,Attorney General,,,Representative In The General Assembly 191st District,All
,Kathleen G Kane,David J Freed,Marakay J Rogers,Ronald G Waters,All
Kathleen G Kane,128,0,0,"3,051",All
David J Freed,,12,0,20,All
Marakay J Rogers,,,2,6,All
Ronald G Waters,,,,50,All
Total,"3,179",32,8,"3,127",All
,Attorney General,,,Representative In The General Assembly 191st District,1
,Kathleen G Kane,David J Freed,Marakay J Rogers,Ronald G Waters,1
Kathleen G Kane,21,0,0,332,1
David J Freed,,0,0,2,1
Marakay J Rogers,,,0,1,1
Ronald G Waters,,,,5,1
Total,353,2,1,340,1
,Attorney General,,,Representative In The General Assembly 191st District,4
,Kathleen G Kane,David J Freed,Marakay J Rogers,Ronald G Waters,4
Kathleen G Kane,9,0,0,351,4
David J Freed,,3,0,5,4
Marakay J Rogers,,,0,1,4
Ronald G Waters,,,,3,4
Total,360,8,1,360,4
,Representative In The General Assembly 191st District,Attorney General,,,11
,Ronald G Waters,Kathleen G Kane,David J Freed,Marakay J Rogers,11
Ronald G Waters,14,254,1,1,11
Kathleen G Kane,,13,0,0,11
David J Freed,,,2,0,11
Marakay J Rogers,,,,1,11
Total,270,267,3,2,11
,Representative In The General Assembly 191st District,Attorney General,,,15
,Ronald G Waters,Kathleen G Kane,David J Freed,Marakay J Rogers,15
Ronald G Waters,4,390,3,1,15
Kathleen G Kane,,7,0,0,15
David J Freed,,,1,0,15
Marakay J Rogers,,,,0,15
Total,398,397,4,1,15
,Attorney General,,,Representative In The General Assembly 191st District,21
,Kathleen G Kane,David J Freed,Marakay J Rogers,Ronald G Waters,21
Kathleen G Kane,11,0,0,273,21
David J Freed,,1,0,2,21
Marakay J Rogers,,,0,2,21
Ronald G Waters,,,,4,21
Total,284,3,2,281,21
,Attorney General,,,Representative In The General Assembly 191st District,23
,Kathleen G Kane,David J Freed,Marakay J Rogers,Ronald G Waters,23
Kathleen G Kane,11,0,0,292,23
David J Freed,,2,0,0,23
Marakay J Rogers,,,0,0,23
Ronald G Waters,,,,3,23
Total,303,2,0,295,23
,Attorney General,,,Representative In The General Assembly 191st District,24
,Kathleen G Kane,David J Freed,Marakay J Rogers,Ronald G Waters,24
Kathleen G Kane,31,0,0,371,24
David J Freed,,1,0,0,24
Marakay J Rogers,,,0,0,24
Ronald G Waters,,,,3,24
Total,402,1,0,374,24
,Attorney General,,,Representative In The General Assembly 191st District,25
,Kathleen G Kane,David J Freed,Marakay J Rogers,Ronald G Waters,25
Kathleen G Kane,18,0,0,449,25
David J Freed,,2,0,2,25
Marakay J Rogers,,,1,0,25
Ronald G Waters,,,,9,25
Total,467,4,1,460,25
,Representative In The General Assembly 191st District,Attorney General,,,27
,Ronald G Waters,Kathleen G Kane,David J Freed,Marakay J Rogers,27
Ronald G Waters,5,339,5,0,27
Kathleen G Kane,,7,0,0,27
David J Freed,,,0,0,27
Marakay J Rogers,,,,0,27
Total,349,346,5,0,27
