col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,President And Vice President Of The United States,,,,Auditor General,,,All
,Barack Obama,Mitt Romney,Jill Stein,Gary Johnson,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,All
Barack Obama,734,0,0,0,"10,479",92,46,All
Mitt Romney,,19,0,0,24,159,1,All
Jill Stein,,,3,0,5,0,3,All
Gary Johnson,,,,1,0,3,4,All
Eugene A Depasquale,,,,,61,0,0,All
John Maher,,,,,,5,0,All
Betsy Elizabeth Summers,,,,,,,0,All
Total,"11,351",203,11,8,"10,569",259,54,All
,President And Vice President Of The United States,,,,Auditor General,,,1
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,1
Barack Obama,15,0,0,0,376,3,0,1
Mitt Romney,,1,0,0,0,9,0,1
Gary Johnson,,,0,0,0,0,0,1
Jill Stein,,,,0,0,0,0,1
Eugene A Depasquale,,,,,1,0,0,1
John Maher,,,,,,0,0,1
Betsy Elizabeth Summers,,,,,,,0,1
Total,394,10,0,0,377,12,0,1
,President And Vice President Of The United States,,,,Auditor General,,,2
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,2
Barack Obama,57,0,0,0,481,3,1,2
Mitt Romney,,2,0,0,1,17,0,2
Gary Johnson,,,0,0,0,0,1,2
Jill Stein,,,,0,0,0,0,2
Eugene A Depasquale,,,,,1,0,0,2
John Maher,,,,,,0,0,2
Betsy Elizabeth Summers,,,,,,,0,2
Total,542,20,1,0,483,20,2,2
,President And Vice President Of The United States,,,,Auditor General,,,3
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,3
Barack Obama,54,0,0,0,668,6,9,3
Mitt Romney,,0,0,0,1,12,0,3
Gary Johnson,,,0,0,0,0,0,3
Jill Stein,,,,0,0,0,0,3
Eugene A Depasquale,,,,,2,0,0,3
John Maher,,,,,,0,0,3
Betsy Elizabeth Summers,,,,,,,0,3
Total,737,13,0,0,671,18,9,3
,President And Vice President Of The United States,,,,Auditor General,,,4
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,4
Barack Obama,26,0,0,0,414,4,2,4
Mitt Romney,,0,0,0,1,5,0,4
Gary Johnson,,,0,0,0,0,0,4
Jill Stein,,,,0,0,0,0,4
Eugene A Depasquale,,,,,2,0,0,4
John Maher,,,,,,0,0,4
Betsy Elizabeth Summers,,,,,,,0,4
Total,446,6,0,0,417,9,2,4
,President And Vice President Of The United States,,,,Auditor General,,,5
,Barack Obama,Mitt Romney,Jill Stein,Gary Johnson,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,5
Barack Obama,42,0,0,0,482,5,4,5
Mitt Romney,,1,0,0,0,1,0,5
Jill Stein,,,0,0,1,0,0,5
Gary Johnson,,,,0,0,0,0,5
Eugene A Depasquale,,,,,2,0,0,5
John Maher,,,,,,0,0,5
Betsy Elizabeth Summers,,,,,,,0,5
Total,533,2,1,0,485,6,4,5
,President And Vice President Of The United States,,,,Auditor General,,,6
,Barack Obama,Mitt Romney,Jill Stein,Gary Johnson,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,6
Barack Obama,21,0,0,0,415,6,2,6
Mitt Romney,,0,0,0,1,2,0,6
Jill Stein,,,0,0,1,0,0,6
Gary Johnson,,,,0,0,0,0,6
Eugene A Depasquale,,,,,3,0,0,6
John Maher,,,,,,0,0,6
Betsy Elizabeth Summers,,,,,,,0,6
Total,444,3,1,0,420,8,2,6
,President And Vice President Of The United States,,,,Auditor General,,,7
,Barack Obama,Mitt Romney,Jill Stein,Gary Johnson,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,7
Barack Obama,42,0,0,0,527,7,1,7
Mitt Romney,,0,0,0,1,3,0,7
Jill Stein,,,0,0,1,0,0,7
Gary Johnson,,,,0,0,0,0,7
Eugene A Depasquale,,,,,6,0,0,7
John Maher,,,,,,0,0,7
Betsy Elizabeth Summers,,,,,,,0,7
Total,577,4,1,0,535,10,1,7
,President And Vice President Of The United States,,,,Auditor General,,,8
,Barack Obama,Mitt Romney,Jill Stein,Gary Johnson,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,8
Barack Obama,41,0,0,0,486,5,3,8
Mitt Romney,,0,0,0,2,17,0,8
Jill Stein,,,0,0,1,0,1,8
Gary Johnson,,,,0,0,0,0,8
Eugene A Depasquale,,,,,1,0,0,8
John Maher,,,,,,0,0,8
Betsy Elizabeth Summers,,,,,,,0,8
Total,535,19,2,0,490,22,4,8
,President And Vice President Of The United States,,,,Auditor General,,,9
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,9
Barack Obama,27,0,0,0,705,2,3,9
Mitt Romney,,6,0,0,2,22,0,9
Gary Johnson,,,0,0,0,2,0,9
Jill Stein,,,,0,0,0,0,9
Eugene A Depasquale,,,,,2,0,0,9
John Maher,,,,,,0,0,9
Betsy Elizabeth Summers,,,,,,,0,9
Total,737,30,2,0,709,26,3,9
,President And Vice President Of The United States,,,,Auditor General,,,10
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,10
Barack Obama,31,0,0,0,407,5,0,10
Mitt Romney,,1,0,0,1,5,0,10
Gary Johnson,,,0,0,0,0,0,10
Jill Stein,,,,0,0,0,0,10
Eugene A Depasquale,,,,,0,0,0,10
John Maher,,,,,,0,0,10
Betsy Elizabeth Summers,,,,,,,0,10
Total,443,7,0,0,408,10,0,10
,President And Vice President Of The United States,,,,Auditor General,,,11
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,11
Barack Obama,27,0,0,0,398,3,0,11
Mitt Romney,,3,0,0,2,5,0,11
Gary Johnson,,,0,0,0,0,0,11
Jill Stein,,,,0,0,0,0,11
Eugene A Depasquale,,,,,1,0,0,11
John Maher,,,,,,1,0,11
Betsy Elizabeth Summers,,,,,,,0,11
Total,428,10,0,0,401,9,0,11
,President And Vice President Of The United States,,,,Auditor General,,,12
,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Eugene A Depasquale,John Maher,Betsy Elizabeth Summers,12
Barack Obama,40,0,0,0,485,7,0,12
Mitt Romney,,0,0,0,1,4,1,12
Gary Johnson,,,0,0,0,0,0,12
Jill Stein,,,,0,0,0,0,12
Eugene A Depasquale,,,,,5,0,0,12
John Maher,,,,,,2,0,12
Betsy Elizabeth Summers,,,,,,,0,12
Total,532,6,0,0,491,13,1,12
