col_1,col_2,col_3,col_4,col_5,col_6,division
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,All
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,All
Chaka Fattah,268,0,0,"9,002",48,All
Robert Allen Mansfield Jr,,2,0,51,227,All
James Foster,,,7,87,10,All
Lawrence M Farnese Jr,,,,53,0,All
Alfonso Gambone Jr,,,,,5,All
Total,"9,318",280,104,"9,193",290,All
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,1
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,1
Chaka Fattah,11,0,0,294,1,1
Robert Allen Mansfield Jr,,1,0,2,11,1
James Foster,,,0,6,0,1
Lawrence M Farnese Jr,,,,3,0,1
Alfonso Gambone Jr,,,,,0,1
Total,306,14,6,305,12,1
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,2
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,2
Chaka Fattah,5,0,0,252,2,2
Robert Allen Mansfield Jr,,0,0,3,5,2
James Foster,,,0,1,0,2
Lawrence M Farnese Jr,,,,2,0,2
Alfonso Gambone Jr,,,,,0,2
Total,259,8,1,258,7,2
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,3
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,3
Chaka Fattah,26,0,0,230,1,3
Robert Allen Mansfield Jr,,0,0,1,3,3
James Foster,,,0,3,0,3
Lawrence M Farnese Jr,,,,3,0,3
Alfonso Gambone Jr,,,,,0,3
Total,257,4,3,237,4,3
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,4
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,4
Chaka Fattah,4,0,0,213,2,4
Robert Allen Mansfield Jr,,0,0,2,1,4
James Foster,,,0,2,0,4
