col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,United States Senator,,,State Treasurer,,,All
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,All
Bob Casey Jr,210,0,0,"5,939",194,22,All
Tom Smith,,52,0,149,"1,108",7,All
Rayburn Douglas Smith,,,0,7,5,29,All
Robert M Mccord,,,,60,0,0,All
Diana Irey Vaughan,,,,,21,0,All
Patricia M Fryman,,,,,,3,All
Total,"6,365","1,316",41,"6,155","1,328",61,All
,United States Senator,,,State Treasurer,,,1
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,1
Bob Casey Jr,6,0,0,281,6,1,1
Tom Smith,,0,0,6,30,0,1
Rayburn Douglas Smith,,,0,0,1,0,1
Robert M Mccord,,,,2,0,0,1
Diana Irey Vaughan,,,,,0,0,1
Patricia M Fryman,,,,,,1,1
Total,294,36,1,289,37,2,1
,United States Senator,,,State Treasurer,,,2
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,2
Bob Casey Jr,8,0,0,341,2,1,2
Tom Smith,,2,0,7,23,1,2
Rayburn Douglas Smith,,,0,0,0,3,2
Robert M Mccord,,,,2,0,0,2
Diana Irey Vaughan,,,,,0,0,2
Patricia M Fryman,,,,,,0,2
Total,352,33,3,350,25,5,2
,United States Senator,,,State Treasurer,,,3
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,3
Bob Casey Jr,5,0,0,306,2,2,3
Tom Smith,,1,0,2,26,1,3
Rayburn Douglas Smith,,,0,1,0,1,3
Robert M Mccord,,,,3,0,0,3
Diana Irey Vaughan,,,,,2,0,3
Patricia M Fryman,,,,,,0,3
Total,315,30,2,312,30,4,3
,United States Senator,,,State Treasurer,,,4
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,4
Bob Casey Jr,8,0,0,335,7,0,4
Tom Smith,,2,0,8,21,0,4
Rayburn Douglas Smith,,,0,1,0,4,4
Robert M Mccord,,,,3,0,0,4
Diana Irey Vaughan,,,,,0,0,4
Patricia M Fryman,,,,,,0,4
Total,350,31,5,347,28,4,4
,United States Senator,,,State Treasurer,,,5
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,5
Bob Casey Jr,6,0,0,359,8,0,5
Tom Smith,,0,0,5,30,1,5
Rayburn Douglas Smith,,,0,0,0,1,5
Robert M Mccord,,,,3,0,0,5
Diana Irey Vaughan,,,,,0,0,5
Patricia M Fryman,,,,,,0,5
Total,373,36,1,367,38,2,5
,United States Senator,,,State Treasurer,,,6
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,6
Bob Casey Jr,8,0,0,270,6,1,6
Tom Smith,,4,0,5,27,0,6
Rayburn Douglas Smith,,,0,2,0,0,6
Robert M Mccord,,,,2,0,0,6
Diana Irey Vaughan,,,,,1,0,6
Patricia M Fryman,,,,,,0,6
Total,285,36,2,279,34,1,6
,United States Senator,,,State Treasurer,,,7
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,7
Bob Casey Jr,5,0,0,290,5,0,7
Tom Smith,,0,0,3,34,0,7
Rayburn Douglas Smith,,,0,1,0,1,7
Robert M Mccord,,,,1,0,0,7
Diana Irey Vaughan,,,,,0,0,7
Patricia M Fryman,,,,,,0,7
Total,300,37,2,295,39,1,7
,United States Senator,,,State Treasurer,,,8
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,8
Bob Casey Jr,6,0,0,196,3,0,8
Tom Smith,,0,0,3,26,0,8
Rayburn Douglas Smith,,,0,0,0,0,8
Robert M Mccord,,,,2,0,0,8
Diana Irey Vaughan,,,,,0,0,8
Patricia M Fryman,,,,,,1,8
Total,205,29,0,201,29,1,8
,United States Senator,,,State Treasurer,,,9
