col_1,col_2,col_3,col_4,division
,State Treasurer,,,All
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,All
Robert M Mccord,"6,230",0,0,All
Diana Irey Vaughan,,"2,718",0,All
Patricia M Fryman,,,105,All
Total,"6,230","2,718",105,All
,State Treasurer,,,1
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,1
Robert M Mccord,231,0,0,1
Diana Irey Vaughan,,64,0,1
Patricia M Fryman,,,2,1
Total,231,64,2,1
,State Treasurer,,,2
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,2
Robert M Mccord,301,0,0,2
Diana Irey Vaughan,,73,0,2
Patricia M Fryman,,,5,2
Total,301,73,5,2
,State Treasurer,,,3
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,3
Robert M Mccord,240,0,0,3
Diana Irey Vaughan,,76,0,3
Patricia M Fryman,,,5,3
Total,240,76,5,3
,State Treasurer,,,4
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,4
Robert M Mccord,254,0,0,4
Diana Irey Vaughan,,81,0,4
Patricia M Fryman,,,5,4
Total,254,81,5,4
,State Treasurer,,,5
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,5
Robert M Mccord,251,0,0,5
Diana Irey Vaughan,,72,0,5
Patricia M Fryman,,,3,5
Total,251,72,3,5
,State Treasurer,,,6
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,6
Robert M Mccord,231,0,0,6
Diana Irey Vaughan,,86,0,6
Patricia M Fryman,,,6,6
Total,231,86,6,6
,State Treasurer,,,7
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,7
Robert M Mccord,263,0,0,7
Diana Irey Vaughan,,85,0,7
Patricia M Fryman,,,6,7
Total,263,85,6,7
,State Treasurer,,,8
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,8
Robert M Mccord,193,0,0,8
Diana Irey Vaughan,,116,0,8
Patricia M Fryman,,,3,8
Total,193,116,3,8
,State Treasurer,,,9
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,9
Robert M Mccord,171,0,0,9
Diana Irey Vaughan,,65,0,9
Patricia M Fryman,,,3,9
Total,171,65,3,9
,State Treasurer,,,10
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,10
Robert M Mccord,206,0,0,10
Diana Irey Vaughan,,49,0,10
Patricia M Fryman,,,4,10
Total,206,49,4,10
,State Treasurer,,,11
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,11
Robert M Mccord,221,0,0,11
Diana Irey Vaughan,,116,0,11
Patricia M Fryman,,,6,11
Total,221,116,6,11
,State Treasurer,,,12
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,12
Robert M Mccord,185,0,0,12
Diana Irey Vaughan,,126,0,12
Patricia M Fryman,,,2,12
Total,185,126,2,12
,State Treasurer,,,13
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,13
Robert M Mccord,172,0,0,13
Diana Irey Vaughan,,95,0,13
Patricia M Fryman,,,3,13
Total,172,95,3,13
,State Treasurer,,,14
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,14
Robert M Mccord,213,0,0,14
Diana Irey Vaughan,,89,0,14
Patricia M Fryman,,,3,14
Total,213,89,3,14
,State Treasurer,,,15
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,15
Robert M Mccord,208,0,0,15
Diana Irey Vaughan,,110,0,15
Patricia M Fryman,,,4,15
Total,208,110,4,15
,State Treasurer,,,16
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,16
Robert M Mccord,240,0,0,16
Diana Irey Vaughan,,121,0,16
Patricia M Fryman,,,5,16
Total,240,121,5,16
,State Treasurer,,,17
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,17
Robert M Mccord,237,0,0,17
Diana Irey Vaughan,,86,0,17
Patricia M Fryman,,,4,17
Total,237,86,4,17
,State Treasurer,,,18
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,18
Robert M Mccord,186,0,0,18
Diana Irey Vaughan,,109,0,18
Patricia M Fryman,,,5,18
Total,186,109,5,18
,State Treasurer,,,19
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,19
Robert M Mccord,180,0,0,19
Diana Irey Vaughan,,136,0,19
Patricia M Fryman,,,3,19
Total,180,136,3,19
,State Treasurer,,,20
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,20
Robert M Mccord,195,0,0,20
Diana Irey Vaughan,,109,0,20
Patricia M Fryman,,,1,20
Total,195,109,1,20
,State Treasurer,,,21
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,21
Robert M Mccord,234,0,0,21
Diana Irey Vaughan,,118,0,21
Patricia M Fryman,,,3,21
Total,234,118,3,21
,State Treasurer,,,22
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,22
Robert M Mccord,193,0,0,22
Diana Irey Vaughan,,88,0,22
Patricia M Fryman,,,1,22
Total,193,88,1,22
,State Treasurer,,,23
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,23
Robert M Mccord,151,0,0,23
Diana Irey Vaughan,,64,0,23
Patricia M Fryman,,,1,23
Total,151,64,1,23
,State Treasurer,,,24
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,24
Robert M Mccord,202,0,0,24
Diana Irey Vaughan,,129,0,24
Patricia M Fryman,,,4,24
Total,202,129,4,24
,State Treasurer,,,25
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,25
Robert M Mccord,232,0,0,25
Diana Irey Vaughan,,84,0,25
Patricia M Fryman,,,4,25
Total,232,84,4,25
,State Treasurer,,,26
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,26
Robert M Mccord,265,0,0,26
Diana Irey Vaughan,,73,0,26
Patricia M Fryman,,,4,26
Total,265,73,4,26
,State Treasurer,,,27
,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,27
Robert M Mccord,151,0,0,27
Diana Irey Vaughan,,78,0,27
Patricia M Fryman,,,3,27
Total,151,78,3,27
