col_1,col_2,col_3,col_4,col_5,division
,Attorney General - Democrat,,Representative In The General Assembly 188th District - Democrat,,All
,Patrick Murphy,Kathleen G Kane,James R Roebuck,Fatimah Loren Muhammad,All
Patrick Murphy,12,0,449,382,All
Kathleen G Kane,,7,138,229,All
James R Roebuck,,,184,0,All
Fatimah Loren Muhammad,,,,138,All
Total,843,374,771,749,All
,Representative In The General Assembly 188th District - Democrat,,Attorney General - Democrat,,2
,Fatimah Loren Muhammad,James R Roebuck,Patrick Murphy,Kathleen G Kane,2
Fatimah Loren Muhammad,16,0,25,25,2
James R Roebuck,,7,24,9,2
Patrick Murphy,,,0,0,2
Kathleen G Kane,,,,1,2
Total,66,40,49,35,2
,Representative In The General Assembly 188th District - Democrat,,Attorney General - Democrat,,6
,James R Roebuck,Fatimah Loren Muhammad,Patrick Murphy,Kathleen G Kane,6
James R Roebuck,18,0,69,23,6
Fatimah Loren Muhammad,,4,23,12,6
Patrick Murphy,,,1,0,6
Kathleen G Kane,,,,0,6
Total,110,39,93,35,6
,Representative In The General Assembly 188th District - Democrat,,Attorney General - Democrat,,13
,Fatimah Loren Muhammad,James R Roebuck,Patrick Murphy,Kathleen G Kane,13
Fatimah Loren Muhammad,15,0,41,28,13
James R Roebuck,,8,25,12,13
Patrick Murphy,,,2,0,13
Kathleen G Kane,,,,0,13
Total,84,45,68,40,13
,Representative In The General Assembly 188th District - Democrat,,Attorney General - Democrat,,14
,James R Roebuck,Fatimah Loren Muhammad,Patrick Murphy,Kathleen G Kane,14
James R Roebuck,31,0,61,12,14
Fatimah Loren Muhammad,,21,29,19,14
Patrick Murphy,,,0,0,14
Kathleen G Kane,,,,0,14
Total,104,69,90,31,14
,Representative In The General Assembly 188th District - Democrat,,Attorney General - Democrat,,16
,James R Roebuck,Fatimah Loren Muhammad,Patrick Murphy,Kathleen G Kane,16
James R Roebuck,52,0,52,8,16
Fatimah Loren Muhammad,,6,16,9,16
Patrick Murphy,,,0,0,16
Kathleen G Kane,,,,0,16
Total,112,31,68,17,16
,Representative In The General Assembly 188th District - Democrat,,Attorney General - Democrat,,17
,Fatimah Loren Muhammad,James R Roebuck,Patrick Murphy,Kathleen G Kane,17
Fatimah Loren Muhammad,15,0,50,19,17
James R Roebuck,,13,23,10,17
Patrick Murphy,,,1,0,17
Kathleen G Kane,,,,0,17
Total,84,46,74,29,17
,Attorney General - Democrat,,Representative In The General Assembly 188th District - Democrat,,18
,Patrick Murphy,Kathleen G Kane,James R Roebuck,Fatimah Loren Muhammad,18
Patrick Murphy,0,0,72,48,18
Kathleen G Kane,,1,12,21,18
James R Roebuck,,,11,0,18
Fatimah Loren Muhammad,,,,8,18
Total,120,34,95,77,18
,Representative In The General Assembly 188th District - Democrat,,Attorney General - Democrat,,19
,Fatimah Loren Muhammad,James R Roebuck,Patrick Murphy,Kathleen G Kane,19
Fatimah Loren Muhammad,6,0,34,20,19
James R Roebuck,,10,22,12,19
Patrick Murphy,,,0,0,19
Kathleen G Kane,,,,0,19
Total,60,44,56,32,19
,Representative In The General Assembly 188th District - Democrat,,Attorney General - Democrat,,20
,Fatimah Loren Muhammad,James R Roebuck,Patrick Murphy,Kathleen G Kane,20
Fatimah Loren Muhammad,18,0,41,25,20
James R Roebuck,,7,24,10,20
Patrick Murphy,,,2,0,20
Kathleen G Kane,,,,1,20
Total,84,41,67,36,20
,Attorney General - Democrat,,Representative In The General Assembly 188th District - Democrat,,26
,Patrick Murphy,Kathleen G Kane,Fatimah Loren Muhammad,James R Roebuck,26
Patrick Murphy,2,0,42,37,26
Kathleen G Kane,,0,19,11,26
Fatimah Loren Muhammad,,,12,0,26
James R Roebuck,,,,9,26
Total,81,30,73,57,26
,Representative In The General Assembly 188th District - Democrat,,Attorney General - Democrat,,28
,Fatimah Loren Muhammad,James R Roebuck,Patrick Murphy,Kathleen G Kane,28
Fatimah Loren Muhammad,17,0,33,32,28
James R Roebuck,,18,40,19,28
Patrick Murphy,,,4,0,28
Kathleen G Kane,,,,4,28
Total,82,77,77,55,28
