col_1,col_2,col_3,col_4,division
,Senator In The General Assembly 3rd District - Democrat,Attorney General - Democrat,,All
,Shirley M Kitchen,Patrick Murphy,Kathleen G Kane,All
Shirley M Kitchen,47,397,272,All
Patrick Murphy,,64,0,All
Kathleen G Kane,,,11,All
Total,716,461,283,All
,Senator In The General Assembly 3rd District - Democrat,Attorney General - Democrat,,15
,Shirley M Kitchen,Patrick Murphy,Kathleen G Kane,15
Shirley M Kitchen,4,44,38,15
Patrick Murphy,,8,0,15
Kathleen G Kane,,,0,15
Total,86,52,38,15
,Senator In The General Assembly 3rd District - Democrat,Attorney General - Democrat,,16
,Shirley M Kitchen,Patrick Murphy,Kathleen G Kane,16
Shirley M Kitchen,5,31,15,16
Patrick Murphy,,4,0,16
Kathleen G Kane,,,2,16
Total,51,35,17,16
,Senator In The General Assembly 3rd District - Democrat,Attorney General - Democrat,,17
,Shirley M Kitchen,Patrick Murphy,Kathleen G Kane,17
Shirley M Kitchen,3,36,26,17
Patrick Murphy,,12,0,17
Kathleen G Kane,,,2,17
Total,65,48,28,17
,Senator In The General Assembly 3rd District - Democrat,Attorney General - Democrat,,18
,Shirley M Kitchen,Patrick Murphy,Kathleen G Kane,18
Shirley M Kitchen,9,65,37,18
Patrick Murphy,,5,0,18
Kathleen G Kane,,,2,18
Total,111,70,39,18
,Senator In The General Assembly 3rd District - Democrat,Attorney General - Democrat,,19
,Shirley M Kitchen,Patrick Murphy,Kathleen G Kane,19
Shirley M Kitchen,5,33,29,19
Patrick Murphy,,5,0,19
Kathleen G Kane,,,1,19
Total,67,38,30,19
,Senator In The General Assembly 3rd District - Democrat,Attorney General - Democrat,,20
,Shirley M Kitchen,Patrick Murphy,Kathleen G Kane,20
Shirley M Kitchen,8,35,40,20
Patrick Murphy,,10,0,20
Kathleen G Kane,,,2,20
Total,83,45,42,20
,Senator In The General Assembly 3rd District - Democrat,Attorney General - Democrat,,21
,Shirley M Kitchen,Patrick Murphy,Kathleen G Kane,21
Shirley M Kitchen,2,23,9,21
Patrick Murphy,,9,0,21
Kathleen G Kane,,,0,21
Total,34,32,9,21
,Senator In The General Assembly 3rd District - Democrat,Attorney General - Democrat,,24
,Shirley M Kitchen,Patrick Murphy,Kathleen G Kane,24
Shirley M Kitchen,7,81,39,24
Patrick Murphy,,7,0,24
Kathleen G Kane,,,2,24
Total,127,88,41,24
,Senator In The General Assembly 3rd District - Democrat,Attorney General - Democrat,,25
,Shirley M Kitchen,Patrick Murphy,Kathleen G Kane,25
Shirley M Kitchen,4,49,39,25
Patrick Murphy,,4,0,25
Kathleen G Kane,,,0,25
Total,92,53,39,25
