col_1,col_2,col_3,division
,President Of The United States - Democrat,Auditor General - Democrat,All
,Barack Obama,Eugene A Depasquale,All
Barack Obama,301,584,All
Eugene A Depasquale,,43,All
Total,885,627,All
,President Of The United States - Democrat,Auditor General - Democrat,1
,Barack Obama,Eugene A Depasquale,1
Barack Obama,19,46,1
Eugene A Depasquale,,3,1
Total,65,49,1
,President Of The United States - Democrat,Auditor General - Democrat,2
,Barack Obama,Eugene A Depasquale,2
Barack Obama,22,52,2
Eugene A Depasquale,,3,2
Total,74,55,2
,President Of The United States - Democrat,Auditor General - Democrat,3
,Barack Obama,Eugene A Depasquale,3
Barack Obama,9,27,3
Eugene A Depasquale,,0,3
Total,36,27,3
,President Of The United States - Democrat,Auditor General - Democrat,4
,Barack Obama,Eugene A Depasquale,4
Barack Obama,10,26,4
Eugene A Depasquale,,5,4
Total,36,31,4
,President Of The United States - Democrat,Auditor General - Democrat,5
,Barack Obama,Eugene A Depasquale,5
Barack Obama,9,18,5
Eugene A Depasquale,,1,5
Total,27,19,5
,President Of The United States - Democrat,Auditor General - Democrat,6
,Barack Obama,Eugene A Depasquale,6
Barack Obama,28,7,6
Eugene A Depasquale,,0,6
Total,35,7,6
,President Of The United States - Democrat,Auditor General - Democrat,7
,Barack Obama,Eugene A Depasquale,7
Barack Obama,14,44,7
Eugene A Depasquale,,5,7
Total,58,49,7
,President Of The United States - Democrat,Auditor General - Democrat,8
,Barack Obama,Eugene A Depasquale,8
Barack Obama,20,13,8
Eugene A Depasquale,,0,8
Total,33,13,8
,President Of The United States - Democrat,Auditor General - Democrat,9
,Barack Obama,Eugene A Depasquale,9
Barack Obama,44,59,9
Eugene A Depasquale,,4,9
Total,103,63,9
,President Of The United States - Democrat,Auditor General - Democrat,10
,Barack Obama,Eugene A Depasquale,10
Barack Obama,16,49,10
Eugene A Depasquale,,6,10
Total,65,55,10
,President Of The United States - Democrat,Auditor General - Democrat,11
,Barack Obama,Eugene A Depasquale,11
Barack Obama,11,36,11
Eugene A Depasquale,,6,11
Total,47,42,11
,President Of The United States - Democrat,Auditor General - Democrat,12
,Barack Obama,Eugene A Depasquale,12
Barack Obama,9,32,12
Eugene A Depasquale,,4,12
Total,41,36,12
,President Of The United States - Democrat,Auditor General - Democrat,13
,Barack Obama,Eugene A Depasquale,13
Barack Obama,18,35,13
Eugene A Depasquale,,3,13
Total,53,38,13
,President Of The United States - Democrat,Auditor General - Democrat,14
,Barack Obama,Eugene A Depasquale,14
Barack Obama,12,26,14
Eugene A Depasquale,,0,14
Total,38,26,14
,President Of The United States - Democrat,Auditor General - Democrat,15
,Barack Obama,Eugene A Depasquale,15
Barack Obama,17,39,15
Eugene A Depasquale,,1,15
Total,56,40,15
,President Of The United States - Democrat,Auditor General - Democrat,16
,Barack Obama,Eugene A Depasquale,16
Barack Obama,10,28,16
Eugene A Depasquale,,0,16
Total,38,28,16
,President Of The United States - Democrat,Auditor General - Democrat,17
,Barack Obama,Eugene A Depasquale,17
Barack Obama,33,47,17
Eugene A Depasquale,,2,17
Total,80,49,17
