col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Representative In The General Assembly 179th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,James W Clay Jr,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Andrew P Toy,Stephen A Cozen,Raye E Johnson,Eleanor M Dezzi,Heather Steinmiller,Nancy Astor Fox,Jerry T Jordan,Michelle W Singer,Joseph C Meade,Jerome W Mondesire,William S Leopold,All
James W Clay Jr,150,399,364,359,342,327,162,147,147,143,140,138,138,135,135,135,132,126,All
Kenyatta J Johnson,,9,364,365,348,340,163,154,153,149,145,143,133,142,134,139,139,132,All
Cindy Bass,,,5,348,338,336,153,147,148,141,142,140,130,136,131,138,134,133,All
Blondell Reynolds Brown,,,,2,336,329,158,150,148,141,139,139,126,141,131,142,139,132,All
Mark Alan Aronchick,,,,,2,325,139,139,142,129,130,129,118,128,122,135,130,124,All
Jacquelyn Manns Smalley,,,,,,0,143,142,142,131,135,137,126,129,127,133,127,125,All
Vincent J Hughes,,,,,,,0,149,149,142,143,138,128,140,129,138,133,133,All
Andrew P Toy,,,,,,,,0,145,137,139,135,124,133,125,133,132,131,All
Stephen A Cozen,,,,,,,,,1,136,139,135,128,133,128,138,134,132,All
Raye E Johnson,,,,,,,,,,0,135,134,124,133,124,128,125,129,All
Eleanor M Dezzi,,,,,,,,,,,0,137,129,132,127,128,128,132,All
Heather Steinmiller,,,,,,,,,,,,1,125,131,127,125,125,128,All
Nancy Astor Fox,,,,,,,,,,,,,2,117,132,115,113,115,All
Jerry T Jordan,,,,,,,,,,,,,,0,122,126,127,130,All
Michelle W Singer,,,,,,,,,,,,,,,0,121,116,116,All
Joseph C Meade,,,,,,,,,,,,,,,,0,128,122,All
Jerome W Mondesire,,,,,,,,,,,,,,,,,0,121,All
William S Leopold,,,,,,,,,,,,,,,,,,1,All
