col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Representative In The General Assembly 188th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Fatimah Loren Muhammad,James R Roebuck,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Stephen A Cozen,Jerome W Mondesire,Jerry T Jordan,Andrew P Toy,Eleanor M Dezzi,Joseph C Meade,Nancy Astor Fox,Michelle W Singer,Heather Steinmiller,Raye E Johnson,William S Leopold,All
Fatimah Loren Muhammad,201,0,417,357,327,305,294,229,196,183,188,182,186,181,184,184,181,179,172,All
James R Roebuck,,164,235,219,190,176,171,146,117,121,114,116,103,110,105,105,105,106,99,All
Kenyatta J Johnson,,,1,525,491,458,453,341,298,293,289,285,281,279,275,276,275,271,261,All
Blondell Reynolds Brown,,,,0,468,449,434,327,293,287,286,282,277,275,274,272,277,270,262,All
Cindy Bass,,,,,0,439,443,310,286,278,278,282,273,274,269,274,273,262,261,All
Mark Alan Aronchick,,,,,,1,416,283,278,267,267,273,260,268,259,256,262,255,255,All
Jacquelyn Manns Smalley,,,,,,,1,290,272,264,263,266,258,260,255,259,259,251,252,All
Vincent J Hughes,,,,,,,,0,294,292,287,287,275,280,262,264,270,267,264,All
Stephen A Cozen,,,,,,,,,0,275,269,279,262,275,260,258,262,260,262,All
Jerome W Mondesire,,,,,,,,,,0,262,262,253,265,243,246,251,246,247,All
Jerry T Jordan,,,,,,,,,,,0,265,266,264,262,262,267,261,264,All
Andrew P Toy,,,,,,,,,,,,0,260,267,257,256,263,252,254,All
Eleanor M Dezzi,,,,,,,,,,,,,0,258,262,260,270,256,256,All
Joseph C Meade,,,,,,,,,,,,,,0,252,248,259,249,254,All
Nancy Astor Fox,,,,,,,,,,,,,,,0,265,261,255,248,All
Michelle W Singer,,,,,,,,,,,,,,,,0,266,255,250,All
Heather Steinmiller,,,,,,,,,,,,,,,,,0,257,258,All
Raye E Johnson,,,,,,,,,,,,,,,,,,0,247,All
William S Leopold,,,,,,,,,,,,,,,,,,,0,All
Total,682,443,658,582,521,486,470,379,315,307,306,301,292,292,292,291,289,286,272,All
,Representative In The General Assembly 188th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,1
,James R Roebuck,Fatimah Loren Muhammad,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Stephen A Cozen,Michelle W Singer,Raye E Johnson,Eleanor M Dezzi,Heather Steinmiller,Jerome W Mondesire,Jerry T Jordan,Joseph C Meade,Nancy Astor Fox,Andrew P Toy,William S Leopold,1
James R Roebuck,34,0,14,12,13,10,9,7,5,5,5,4,4,6,5,4,4,4,4,1
Fatimah Loren Muhammad,,12,24,21,18,17,17,13,12,11,11,11,11,9,10,11,11,10,8,1
Kenyatta J Johnson,,,0,29,29,27,25,19,14,13,14,13,13,13,14,12,12,13,11,1
Cindy Bass,,,,0,26,26,26,17,15,14,15,15,14,14,14,14,14,13,12,1
Blondell Reynolds Brown,,,,,0,24,24,18,16,14,16,14,14,14,15,13,14,14,12,1
Jacquelyn Manns Smalley,,,,,,0,25,13,12,12,13,13,12,11,12,12,12,12,11,1
Mark Alan Aronchick,,,,,,,0,14,13,13,14,14,13,12,13,13,13,13,12,1
Vincent J Hughes,,,,,,,,0,15,14,15,14,14,14,15,13,13,14,12,1
Stephen A Cozen,,,,,,,,,0,14,15,13,14,13,14,14,15,14,12,1
Michelle W Singer,,,,,,,,,,0,13,14,13,13,14,13,13,14,12,1
Raye E Johnson,,,,,,,,,,,0,14,13,13,13,13,14,13,12,1
Eleanor M Dezzi,,,,,,,,,,,,0,13,13,13,13,13,13,12,1
Heather Steinmiller,,,,,,,,,,,,,0,11,13,13,13,13,12,1
Jerome W Mondesire,,,,,,,,,,,,,,0,12,12,12,12,11,1
Jerry T Jordan,,,,,,,,,,,,,,,0,13,13,14,12,1
Joseph C Meade,,,,,,,,,,,,,,,,0,14,13,12,1
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,13,12,1
Andrew P Toy,,,,,,,,,,,,,,,,,,0,12,1
William S Leopold,,,,,,,,,,,,,,,,,,,0,1
Total,49,42,38,33,31,27,26,20,17,16,16,15,15,15,15,15,15,14,12,1
,Representative In The General Assembly 188th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,2
,Fatimah Loren Muhammad,James R Roebuck,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Jerry T Jordan,Stephen A Cozen,Jerome W Mondesire,Andrew P Toy,Raye E Johnson,Eleanor M Dezzi,Heather Steinmiller,Joseph C Meade,Nancy Astor Fox,William S Leopold,Michelle W Singer,2
Fatimah Loren Muhammad,42,0,85,72,69,65,65,53,41,42,41,38,39,39,38,38,37,38,36,2
James R Roebuck,,14,38,33,34,31,31,32,29,29,28,29,27,24,25,25,26,25,25,2
Kenyatta J Johnson,,,0,95,98,90,90,74,64,67,64,63,61,60,60,59,59,59,58,2
Blondell Reynolds Brown,,,,0,91,88,88,68,62,63,60,60,60,57,58,56,58,58,55,2
Cindy Bass,,,,,0,91,92,68,62,63,63,65,61,57,60,59,60,59,58,2
Mark Alan Aronchick,,,,,,0,88,65,60,63,61,61,57,54,56,58,54,56,52,2
Jacquelyn Manns Smalley,,,,,,,0,64,59,60,60,60,58,55,57,56,57,57,55,2
Vincent J Hughes,,,,,,,,0,68,66,68,65,61,60,60,62,59,62,57,2
Jerry T Jordan,,,,,,,,,0,61,65,62,61,58,61,61,59,63,57,2
Stephen A Cozen,,,,,,,,,,0,61,63,60,56,58,59,57,60,55,2
Jerome W Mondesire,,,,,,,,,,,0,60,57,56,57,59,56,59,55,2
Andrew P Toy,,,,,,,,,,,,0,59,57,59,60,58,59,56,2
Raye E Johnson,,,,,,,,,,,,,0,58,60,56,60,60,59,2
Eleanor M Dezzi,,,,,,,,,,,,,,0,59,56,57,58,55,2
Heather Steinmiller,,,,,,,,,,,,,,,0,58,58,60,56,2
Joseph C Meade,,,,,,,,,,,,,,,,0,54,58,52,2
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,58,59,2
William S Leopold,,,,,,,,,,,,,,,,,,0,56,2
