col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Representative In The General Assembly 188th District - Republican,Delegate To The Republican National Convention 2nd District,,,,,All
,Ernest Adkins,Adam A Lang,Walter F Vogler Jr,Calvin R Tucker,Lewis Harris Jr,Vahan H Gureghian,All
Ernest Adkins,7,31,28,28,23,18,All
Adam A Lang,,5,16,10,14,17,All
Walter F Vogler Jr,,,1,16,8,7,All
Calvin R Tucker,,,,0,6,7,All
Lewis Harris Jr,,,,,1,10,All
Vahan H Gureghian,,,,,,0,All
Total,63,39,29,28,26,22,All
,Representative In The General Assembly 188th District - Republican,Delegate To The Republican National Convention 2nd District,,,,,1
,Ernest Adkins,Lewis Harris Jr,Adam A Lang,Calvin R Tucker,Vahan H Gureghian,Walter F Vogler Jr,1
Ernest Adkins,0,4,2,3,2,1,1
Lewis Harris Jr,,1,1,2,1,1,1
Adam A Lang,,,1,1,2,1,1
Calvin R Tucker,,,,0,2,0,1
Vahan H Gureghian,,,,,0,0,1
Walter F Vogler Jr,,,,,,0,1
Total,5,5,4,3,3,1,1
,Delegate To The Republican National Convention 2nd District,,,,,Representative In The General Assembly 188th District - Republican,2
,Adam A Lang,Lewis Harris Jr,Calvin R Tucker,Vahan H Gureghian,Walter F Vogler Jr,Ernest Adkins,2
Adam A Lang,1,0,0,0,0,0,2
Lewis Harris Jr,,0,0,0,0,1,2
Calvin R Tucker,,,0,0,0,0,2
Vahan H Gureghian,,,,0,0,0,2
Walter F Vogler Jr,,,,,0,0,2
Ernest Adkins,,,,,,0,2
Total,1,1,0,0,0,1,2
,Delegate To The Republican National Convention 2nd District,,,,,Representative In The General Assembly 188th District - Republican,3
,Calvin R Tucker,Walter F Vogler Jr,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,Ernest Adkins,3
Calvin R Tucker,0,1,0,0,0,2,3
Walter F Vogler Jr,,0,0,0,0,1,3
Adam A Lang,,,0,0,0,0,3
Lewis Harris Jr,,,,0,0,0,3
Vahan H Gureghian,,,,,0,0,3
Ernest Adkins,,,,,,0,3
Total,2,1,0,0,0,2,3
,Representative In The General Assembly 188th District - Republican,Delegate To The Republican National Convention 2nd District,,,,,7
,Ernest Adkins,Calvin R Tucker,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,7
Ernest Adkins,1,1,0,0,0,0,7
Calvin R Tucker,,0,0,0,0,0,7
Adam A Lang,,,0,0,0,0,7
Lewis Harris Jr,,,,0,0,0,7
Vahan H Gureghian,,,,,0,0,7
Walter F Vogler Jr,,,,,,0,7
Total,2,1,0,0,0,0,7
,Representative In The General Assembly 188th District - Republican,Delegate To The Republican National Convention 2nd District,,,,,8
,Ernest Adkins,Calvin R Tucker,Vahan H Gureghian,Adam A Lang,Lewis Harris Jr,Walter F Vogler Jr,8
Ernest Adkins,0,3,1,0,1,1,8
Calvin R Tucker,,0,1,0,0,1,8
Vahan H Gureghian,,,0,1,0,1,8
Adam A Lang,,,,0,0,0,8
Lewis Harris Jr,,,,,0,0,8
Walter F Vogler Jr,,,,,,0,8
Total,4,3,2,1,1,1,8
,Delegate To The Republican National Convention 2nd District,,,,,Representative In The General Assembly 188th District - Republican,9
,Adam A Lang,Lewis Harris Jr,Calvin R Tucker,Vahan H Gureghian,Walter F Vogler Jr,Ernest Adkins,9
Adam A Lang,1,1,0,0,0,1,9
Lewis Harris Jr,,0,0,0,0,1,9
Calvin R Tucker,,,0,0,0,0,9
Vahan H Gureghian,,,,0,0,0,9
Walter F Vogler Jr,,,,,0,0,9
Ernest Adkins,,,,,,0,9
Total,2,1,0,0,0,1,9
,Delegate To The Republican National Convention 2nd District,,,,,Representative In The General Assembly 188th District - Republican,11
,Calvin R Tucker,Adam A Lang,Walter F Vogler Jr,Lewis Harris Jr,Vahan H Gureghian,Ernest Adkins,11
Calvin R Tucker,0,1,1,0,0,2,11
Adam A Lang,,0,1,0,0,1,11
Walter F Vogler Jr,,,0,0,0,1,11
Lewis Harris Jr,,,,0,0,0,11
Vahan H Gureghian,,,,,0,0,11
Ernest Adkins,,,,,,0,11
Total,2,1,1,0,0,2,11
,Representative In The General Assembly 188th District - Republican,Delegate To The Republican National Convention 2nd District,,,,,13
,Ernest Adkins,Adam A Lang,Calvin R Tucker,Walter F Vogler Jr,Lewis Harris Jr,Vahan H Gureghian,13
Ernest Adkins,0,2,2,2,1,1,13
Adam A Lang,,0,1,1,1,1,13
Calvin R Tucker,,,0,2,0,0,13
Walter F Vogler Jr,,,,0,0,0,13
Lewis Harris Jr,,,,,0,1,13
Vahan H Gureghian,,,,,,0,13
Total,3,2,2,2,1,1,13
,Delegate To The Republican National Convention 2nd District,,,,,Representative In The General Assembly 188th District - Republican,14
,Calvin R Tucker,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,Ernest Adkins,14
Calvin R Tucker,0,0,0,0,0,1,14
Adam A Lang,,0,0,0,0,0,14
Lewis Harris Jr,,,0,0,0,0,14
Vahan H Gureghian,,,,0,0,0,14
Walter F Vogler Jr,,,,,0,0,14
Ernest Adkins,,,,,,0,14
Total,1,0,0,0,0,1,14
,Representative In The General Assembly 188th District - Republican,Delegate To The Republican National Convention 2nd District,,,,,16
,Ernest Adkins,Adam A Lang,Walter F Vogler Jr,Calvin R Tucker,Vahan H Gureghian,Lewis Harris Jr,16
Ernest Adkins,0,6,7,6,4,2,16
Adam A Lang,,1,4,4,3,1,16
Walter F Vogler Jr,,,0,4,2,2,16
Calvin R Tucker,,,,0,3,1,16
Vahan H Gureghian,,,,,0,0,16
Lewis Harris Jr,,,,,,0,16
Total,9,7,7,6,4,2,16
,Delegate To The Republican National Convention 2nd District,,,,,Representative In The General Assembly 188th District - Republican,17
,Adam A Lang,Walter F Vogler Jr,Lewis Harris Jr,Vahan H Gureghian,Calvin R Tucker,Ernest Adkins,17
Adam A Lang,0,3,2,1,1,4,17
Walter F Vogler Jr,,1,1,0,1,4,17
Lewis Harris Jr,,,0,2,0,1,17
Vahan H Gureghian,,,,0,0,0,17
Calvin R Tucker,,,,,0,1,17
Ernest Adkins,,,,,,0,17
Total,5,5,3,2,1,5,17
,Representative In The General Assembly 188th District - Republican,Delegate To The Republican National Convention 2nd District,,,,,18
,Ernest Adkins,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,Calvin R Tucker,18
Ernest Adkins,1,7,5,5,4,1,18
Adam A Lang,,0,4,5,3,0,18
Lewis Harris Jr,,,0,3,2,1,18
Vahan H Gureghian,,,,0,2,0,18
Walter F Vogler Jr,,,,,0,1,18
Calvin R Tucker,,,,,,0,18
Total,9,7,5,5,4,1,18
,Representative In The General Assembly 188th District - Republican,Delegate To The Republican National Convention 2nd District,,,,,19
,Ernest Adkins,Adam A Lang,Lewis Harris Jr,Calvin R Tucker,Walter F Vogler Jr,Vahan H Gureghian,19
Ernest Adkins,3,6,5,4,3,2,19
Adam A Lang,,1,3,2,2,2,19
Lewis Harris Jr,,,0,1,1,2,19
Calvin R Tucker,,,,0,3,0,19
Walter F Vogler Jr,,,,,0,0,19
Vahan H Gureghian,,,,,,0,19
Total,12,7,5,4,3,2,19
,Representative In The General Assembly 188th District - Republican,Delegate To The Republican National Convention 2nd District,,,,,23
,Ernest Adkins,Walter F Vogler Jr,Vahan H Gureghian,Adam A Lang,Calvin R Tucker,Lewis Harris Jr,23
Ernest Adkins,2,4,3,2,2,2,23
Walter F Vogler Jr,,0,2,1,2,1,23
Vahan H Gureghian,,,0,2,1,1,23
Adam A Lang,,,,0,0,1,23
Calvin R Tucker,,,,,0,1,23
Lewis Harris Jr,,,,,,0,23
Total,7,4,3,2,2,2,23
