col_1,col_2,col_3,col_4,col_5,col_6,division
,Delegate To The Republican National Convention 2nd District,,,,,All
,Calvin R Tucker,Lewis Harris Jr,Walter F Vogler Jr,Adam A Lang,Vahan H Gureghian,All
Calvin R Tucker,17,16,15,8,6,All
Lewis Harris Jr,,15,11,6,3,All
Walter F Vogler Jr,,,5,9,6,All
Adam A Lang,,,,2,4,All
Vahan H Gureghian,,,,,3,All
Total,42,34,27,16,13,All
,Delegate To The Republican National Convention 2nd District,,,,,1
,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,Adam A Lang,Calvin R Tucker,1
Lewis Harris Jr,1,1,1,0,0,1
Vahan H Gureghian,,0,1,0,0,1
Walter F Vogler Jr,,,0,0,0,1
Adam A Lang,,,,0,0,1
Calvin R Tucker,,,,,0,1
Total,2,1,1,0,0,1
,Delegate To The Republican National Convention 2nd District,,,,,2
,Adam A Lang,Calvin R Tucker,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,2
Adam A Lang,0,2,1,1,0,2
Calvin R Tucker,,0,1,1,0,2
Lewis Harris Jr,,,0,0,0,2
Vahan H Gureghian,,,,0,0,2
Walter F Vogler Jr,,,,,0,2
Total,2,2,1,1,0,2
,Delegate To The Republican National Convention 2nd District,,,,,4
,Adam A Lang,Calvin R Tucker,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,4
Adam A Lang,1,0,0,0,0,4
Calvin R Tucker,,0,0,0,0,4
Lewis Harris Jr,,,0,0,0,4
Vahan H Gureghian,,,,0,0,4
Walter F Vogler Jr,,,,,0,4
Total,1,0,0,0,0,4
,Delegate To The Republican National Convention 2nd District,,,,,7
,Adam A Lang,Calvin R Tucker,Lewis Harris Jr,Walter F Vogler Jr,Vahan H Gureghian,7
Adam A Lang,0,1,0,1,0,7
Calvin R Tucker,,0,0,1,0,7
Lewis Harris Jr,,,1,0,0,7
Walter F Vogler Jr,,,,0,0,7
Vahan H Gureghian,,,,,0,7
Total,1,1,1,1,0,7
,Delegate To The Republican National Convention 2nd District,,,,,8
,Calvin R Tucker,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,8
Calvin R Tucker,1,0,0,0,0,8
Adam A Lang,,0,0,0,0,8
Lewis Harris Jr,,,0,0,0,8
Vahan H Gureghian,,,,0,0,8
Walter F Vogler Jr,,,,,0,8
Total,1,0,0,0,0,8
,Delegate To The Republican National Convention 2nd District,,,,,9
,Calvin R Tucker,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,9
Calvin R Tucker,1,0,0,0,0,9
Adam A Lang,,0,0,0,0,9
Lewis Harris Jr,,,0,0,0,9
Vahan H Gureghian,,,,0,0,9
Walter F Vogler Jr,,,,,0,9
Total,1,0,0,0,0,9
,Delegate To The Republican National Convention 2nd District,,,,,10
,Lewis Harris Jr,Adam A Lang,Calvin R Tucker,Vahan H Gureghian,Walter F Vogler Jr,10
Lewis Harris Jr,1,0,0,0,0,10
Adam A Lang,,0,0,0,0,10
Calvin R Tucker,,,0,0,0,10
Vahan H Gureghian,,,,0,0,10
Walter F Vogler Jr,,,,,0,10
Total,1,0,0,0,0,10
,Delegate To The Republican National Convention 2nd District,,,,,11
,Lewis Harris Jr,Calvin R Tucker,Walter F Vogler Jr,Adam A Lang,Vahan H Gureghian,11
Lewis Harris Jr,1,1,1,0,0,11
Calvin R Tucker,,0,1,0,0,11
Walter F Vogler Jr,,,0,0,0,11
Adam A Lang,,,,0,0,11
Vahan H Gureghian,,,,,0,11
Total,2,1,1,0,0,11
,Delegate To The Republican National Convention 2nd District,,,,,12
,Calvin R Tucker,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,12
Calvin R Tucker,1,0,0,0,0,12
Adam A Lang,,0,0,0,0,12
Lewis Harris Jr,,,0,0,0,12
Vahan H Gureghian,,,,0,0,12
Walter F Vogler Jr,,,,,0,12
Total,1,0,0,0,0,12
,Delegate To The Republican National Convention 2nd District,,,,,13
,Lewis Harris Jr,Calvin R Tucker,Adam A Lang,Vahan H Gureghian,Walter F Vogler Jr,13
Lewis Harris Jr,1,1,0,0,0,13
Calvin R Tucker,,0,0,0,0,13
Adam A Lang,,,0,0,0,13
Vahan H Gureghian,,,,0,0,13
Walter F Vogler Jr,,,,,0,13
Total,2,1,0,0,0,13
,Delegate To The Republican National Convention 2nd District,,,,,14
,Adam A Lang,Calvin R Tucker,Lewis Harris Jr,Walter F Vogler Jr,Vahan H Gureghian,14
Adam A Lang,0,1,1,1,0,14
Calvin R Tucker,,0,1,0,0,14
Lewis Harris Jr,,,0,0,0,14
Walter F Vogler Jr,,,,0,0,14
Vahan H Gureghian,,,,,0,14
Total,2,1,1,1,0,14
,Delegate To The Republican National Convention 2nd District,,,,,15
,Calvin R Tucker,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,Adam A Lang,15
Calvin R Tucker,0,1,2,1,0,15
Lewis Harris Jr,,2,0,0,0,15
Vahan H Gureghian,,,0,1,0,15
Walter F Vogler Jr,,,,0,0,15
Adam A Lang,,,,,0,15
Total,3,3,2,1,0,15
,Delegate To The Republican National Convention 2nd District,,,,,16
,Lewis Harris Jr,Adam A Lang,Calvin R Tucker,Vahan H Gureghian,Walter F Vogler Jr,16
Lewis Harris Jr,2,0,0,0,0,16
Adam A Lang,,0,0,0,0,16
Calvin R Tucker,,,0,0,0,16
