col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,All
,Mitt Romney,Rick Santorum,Ron Paul,Newt Gingrich,Tom Smith,David Alan Christian,Sam Rohrer,Steven D Welch,Marc A Scaringi,All
Mitt Romney,3,0,0,0,7,5,2,4,1,All
Rick Santorum,,0,0,0,9,0,2,0,1,All
Ron Paul,,,2,0,3,3,1,2,1,All
Newt Gingrich,,,,1,1,5,1,2,0,All
Tom Smith,,,,,1,0,0,0,0,All
David Alan Christian,,,,,,0,0,0,0,All
Sam Rohrer,,,,,,,2,0,0,All
Steven D Welch,,,,,,,,0,0,All
Marc A Scaringi,,,,,,,,,0,All
Total,22,12,12,10,21,13,8,8,3,All
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,3
,Newt Gingrich,Mitt Romney,Rick Santorum,Ron Paul,Steven D Welch,David Alan Christian,Marc A Scaringi,Sam Rohrer,Tom Smith,3
Newt Gingrich,0,0,0,0,1,0,0,0,0,3
Mitt Romney,,0,0,0,0,0,0,0,0,3
Rick Santorum,,,0,0,0,0,0,0,0,3
Ron Paul,,,,0,0,0,0,0,0,3
Steven D Welch,,,,,0,0,0,0,0,3
David Alan Christian,,,,,,0,0,0,0,3
Marc A Scaringi,,,,,,,0,0,0,3
Sam Rohrer,,,,,,,,0,0,3
Tom Smith,,,,,,,,,0,3
Total,1,0,0,0,1,0,0,0,0,3
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,4
,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,Steven D Welch,Tom Smith,David Alan Christian,Marc A Scaringi,Sam Rohrer,4
Mitt Romney,0,0,0,0,1,1,0,0,0,4
Newt Gingrich,,0,0,0,0,0,0,0,0,4
Rick Santorum,,,0,0,0,0,0,0,0,4
Ron Paul,,,,0,0,0,0,0,0,4
Steven D Welch,,,,,0,0,0,0,0,4
Tom Smith,,,,,,0,0,0,0,4
David Alan Christian,,,,,,,0,0,0,4
Marc A Scaringi,,,,,,,,0,0,4
Sam Rohrer,,,,,,,,,0,4
Total,2,0,0,0,1,1,0,0,0,4
