col_1,col_2,col_3,col_4,division
,Representative In Congress 13th District - Democrat,United States Senator - Democrat,,All
,Allyson Y Schwartz,Bob Casey Jr,Joseph John Vodvarka,All
Allyson Y Schwartz,31,980,252,All
Bob Casey Jr,,108,0,All
Joseph John Vodvarka,,,29,All
Total,"1,263","1,088",281,All
,Representative In Congress 13th District - Democrat,United States Senator - Democrat,,1
,Allyson Y Schwartz,Bob Casey Jr,Joseph John Vodvarka,1
Allyson Y Schwartz,2,27,7,1
Bob Casey Jr,,3,0,1
Joseph John Vodvarka,,,0,1
Total,36,30,7,1
,Representative In Congress 13th District - Democrat,United States Senator - Democrat,,2
,Allyson Y Schwartz,Bob Casey Jr,Joseph John Vodvarka,2
Allyson Y Schwartz,0,31,6,2
Bob Casey Jr,,3,0,2
Joseph John Vodvarka,,,1,2
Total,37,34,7,2
,Representative In Congress 13th District - Democrat,United States Senator - Democrat,,3
,Allyson Y Schwartz,Bob Casey Jr,Joseph John Vodvarka,3
Allyson Y Schwartz,1,20,6,3
Bob Casey Jr,,0,0,3
Joseph John Vodvarka,,,0,3
Total,27,20,6,3
,Representative In Congress 13th District - Democrat,United States Senator - Democrat,,4
,Allyson Y Schwartz,Bob Casey Jr,Joseph John Vodvarka,4
Allyson Y Schwartz,0,38,13,4
Bob Casey Jr,,6,0,4
Joseph John Vodvarka,,,1,4
Total,51,44,14,4
,Representative In Congress 13th District - Democrat,United States Senator - Democrat,,5
,Allyson Y Schwartz,Bob Casey Jr,Joseph John Vodvarka,5
Allyson Y Schwartz,1,19,5,5
Bob Casey Jr,,4,0,5
Joseph John Vodvarka,,,1,5
Total,25,23,6,5
,Representative In Congress 13th District - Democrat,United States Senator - Democrat,,6
,Allyson Y Schwartz,Bob Casey Jr,Joseph John Vodvarka,6
Allyson Y Schwartz,3,35,16,6
Bob Casey Jr,,4,0,6
Joseph John Vodvarka,,,1,6
Total,54,39,17,6
,Representative In Congress 13th District - Democrat,United States Senator - Democrat,,7
