col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,All
,John Featherman,Steven D Welch,Tom Smith,David Alan Christian,Sam Rohrer,Marc A Scaringi,All
John Featherman,19,110,95,75,43,43,All
Steven D Welch,,19,0,0,0,0,All
Tom Smith,,,19,0,0,0,All
David Alan Christian,,,,8,0,0,All
Sam Rohrer,,,,,7,0,All
Marc A Scaringi,,,,,,4,All
Total,385,129,114,83,50,47,All
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,1
,John Featherman,Steven D Welch,David Alan Christian,Tom Smith,Marc A Scaringi,Sam Rohrer,1
John Featherman,1,16,8,7,2,1,1
Steven D Welch,,2,0,0,0,0,1
David Alan Christian,,,0,0,0,0,1
Tom Smith,,,,0,0,0,1
Marc A Scaringi,,,,,0,0,1
Sam Rohrer,,,,,,0,1
Total,35,18,8,7,2,1,1
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,2
,John Featherman,Tom Smith,David Alan Christian,Steven D Welch,Sam Rohrer,Marc A Scaringi,2
John Featherman,2,9,5,5,1,0,2
Tom Smith,,0,0,0,0,0,2
David Alan Christian,,,0,0,0,0,2
Steven D Welch,,,,0,0,0,2
Sam Rohrer,,,,,0,0,2
Marc A Scaringi,,,,,,0,2
Total,22,9,5,5,1,0,2
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,3
,John Featherman,Steven D Welch,Tom Smith,Marc A Scaringi,David Alan Christian,Sam Rohrer,3
John Featherman,4,12,8,5,4,3,3
Steven D Welch,,2,0,0,0,0,3
Tom Smith,,,2,0,0,0,3
Marc A Scaringi,,,,1,0,0,3
David Alan Christian,,,,,0,0,3
Sam Rohrer,,,,,,0,3
Total,36,14,10,6,4,3,3
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,4
,John Featherman,Steven D Welch,David Alan Christian,Marc A Scaringi,Tom Smith,Sam Rohrer,4
John Featherman,0,6,3,4,3,3,4
Steven D Welch,,1,0,0,0,0,4
David Alan Christian,,,2,0,0,0,4
Marc A Scaringi,,,,1,0,0,4
Tom Smith,,,,,2,0,4
Sam Rohrer,,,,,,1,4
Total,19,7,5,5,5,4,4
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,5
,John Featherman,Steven D Welch,Sam Rohrer,David Alan Christian,Marc A Scaringi,Tom Smith,5
John Featherman,0,7,2,2,2,1,5
Steven D Welch,,0,0,0,0,0,5
Sam Rohrer,,,1,0,0,0,5
David Alan Christian,,,,0,0,0,5
Marc A Scaringi,,,,,0,0,5
Tom Smith,,,,,,0,5
Total,14,7,3,2,2,1,5
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,6
,John Featherman,Sam Rohrer,Steven D Welch,Marc A Scaringi,Tom Smith,David Alan Christian,6
John Featherman,1,5,3,1,1,0,6
Sam Rohrer,,1,0,0,0,0,6
Steven D Welch,,,0,0,0,0,6
Marc A Scaringi,,,,0,0,0,6
Tom Smith,,,,,0,0,6
David Alan Christian,,,,,,0,6
Total,11,6,3,1,1,0,6
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,7
,John Featherman,Steven D Welch,Tom Smith,Marc A Scaringi,David Alan Christian,Sam Rohrer,7
John Featherman,1,4,3,3,1,0,7
Steven D Welch,,0,0,0,0,0,7
Tom Smith,,,1,0,0,0,7
Marc A Scaringi,,,,0,0,0,7
David Alan Christian,,,,,0,0,7
Sam Rohrer,,,,,,0,7
Total,12,4,4,3,1,0,7
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,8
,John Featherman,David Alan Christian,Steven D Welch,Marc A Scaringi,Tom Smith,Sam Rohrer,8
John Featherman,0,5,2,2,1,0,8
David Alan Christian,,1,0,0,0,0,8
Steven D Welch,,,1,0,0,0,8
Marc A Scaringi,,,,0,0,0,8
Tom Smith,,,,,0,0,8
Sam Rohrer,,,,,,0,8
Total,10,6,3,2,1,0,8
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,9
,John Featherman,David Alan Christian,Tom Smith,Marc A Scaringi,Sam Rohrer,Steven D Welch,9
John Featherman,1,1,2,1,1,1,9
David Alan Christian,,2,0,0,0,0,9
Tom Smith,,,0,0,0,0,9
Marc A Scaringi,,,,0,0,0,9
Sam Rohrer,,,,,0,0,9
Steven D Welch,,,,,,0,9
Total,7,3,2,1,1,1,9
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,10
,John Featherman,Tom Smith,David Alan Christian,Sam Rohrer,Steven D Welch,Marc A Scaringi,10
John Featherman,0,6,4,2,3,2,10
Tom Smith,,0,0,0,0,0,10
David Alan Christian,,,0,0,0,0,10
Sam Rohrer,,,,1,0,0,10
Steven D Welch,,,,,0,0,10
Marc A Scaringi,,,,,,0,10
Total,17,6,4,3,3,2,10
,Representative In Congress 1st District - Republican,United States Senator - Republican,,,,,11
,John Featherman,Tom Smith,Marc A Scaringi,Steven D Welch,David Alan Christian,Sam Rohrer,11
John Featherman,0,5,2,3,1,0,11
Tom Smith,,0,0,0,0,0,11
Marc A Scaringi,,,1,0,0,0,11
Steven D Welch,,,,0,0,0,11
David Alan Christian,,,,,0,0,11
Sam Rohrer,,,,,,0,11
