col_1,col_2,col_3,division
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,All
,Michael J Tomlinson,Diana Irey Vaughan,All
Michael J Tomlinson,92,385,All
Diana Irey Vaughan,,19,All
Total,477,404,All
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,1
,Michael J Tomlinson,Diana Irey Vaughan,1
Michael J Tomlinson,11,41,1
Diana Irey Vaughan,,0,1
Total,52,41,1
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,2
,Michael J Tomlinson,Diana Irey Vaughan,2
Michael J Tomlinson,7,31,2
Diana Irey Vaughan,,3,2
Total,38,34,2
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,3
,Michael J Tomlinson,Diana Irey Vaughan,3
Michael J Tomlinson,4,5,3
Diana Irey Vaughan,,1,3
Total,9,6,3
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,4
,Michael J Tomlinson,Diana Irey Vaughan,4
Michael J Tomlinson,2,26,4
Diana Irey Vaughan,,1,4
Total,28,27,4
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,5
,Michael J Tomlinson,Diana Irey Vaughan,5
Michael J Tomlinson,3,9,5
Diana Irey Vaughan,,0,5
Total,12,9,5
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,6
,Michael J Tomlinson,Diana Irey Vaughan,6
Michael J Tomlinson,1,7,6
Diana Irey Vaughan,,0,6
Total,8,7,6
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,7
,Michael J Tomlinson,Diana Irey Vaughan,7
Michael J Tomlinson,11,36,7
Diana Irey Vaughan,,3,7
Total,47,39,7
,State Treasurer - Republican,Senator In The General Assembly 5th District - Republican,8
,Diana Irey Vaughan,Michael J Tomlinson,8
Diana Irey Vaughan,0,10,8
Michael J Tomlinson,,0,8
Total,10,10,8
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,9
,Michael J Tomlinson,Diana Irey Vaughan,9
Michael J Tomlinson,3,23,9
Diana Irey Vaughan,,1,9
Total,26,24,9
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,10
,Michael J Tomlinson,Diana Irey Vaughan,10
Michael J Tomlinson,10,40,10
Diana Irey Vaughan,,3,10
Total,50,43,10
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,11
,Michael J Tomlinson,Diana Irey Vaughan,11
Michael J Tomlinson,1,9,11
Diana Irey Vaughan,,0,11
Total,10,9,11
,State Treasurer - Republican,Senator In The General Assembly 5th District - Republican,12
,Diana Irey Vaughan,Michael J Tomlinson,12
Diana Irey Vaughan,0,3,12
Michael J Tomlinson,,0,12
Total,3,3,12
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,13
,Michael J Tomlinson,Diana Irey Vaughan,13
Michael J Tomlinson,1,3,13
Diana Irey Vaughan,,0,13
Total,4,3,13
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,14
,Michael J Tomlinson,Diana Irey Vaughan,14
Michael J Tomlinson,2,3,14
Diana Irey Vaughan,,0,14
Total,5,3,14
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,15
,Michael J Tomlinson,Diana Irey Vaughan,15
Michael J Tomlinson,1,3,15
Diana Irey Vaughan,,0,15
Total,4,3,15
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,16
,Michael J Tomlinson,Diana Irey Vaughan,16
Michael J Tomlinson,3,11,16
Diana Irey Vaughan,,1,16
Total,14,12,16
,State Treasurer - Republican,Senator In The General Assembly 5th District - Republican,17
,Diana Irey Vaughan,Michael J Tomlinson,17
Diana Irey Vaughan,2,11,17
Michael J Tomlinson,,2,17
Total,13,13,17
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,18
,Michael J Tomlinson,Diana Irey Vaughan,18
Michael J Tomlinson,2,8,18
Diana Irey Vaughan,,0,18
Total,10,8,18
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,19
,Michael J Tomlinson,Diana Irey Vaughan,19
Michael J Tomlinson,3,17,19
Diana Irey Vaughan,,0,19
Total,20,17,19
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,20
,Michael J Tomlinson,Diana Irey Vaughan,20
Michael J Tomlinson,7,33,20
Diana Irey Vaughan,,2,20
Total,40,35,20
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,21
,Michael J Tomlinson,Diana Irey Vaughan,21
Michael J Tomlinson,2,7,21
Diana Irey Vaughan,,0,21
Total,9,7,21
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,22
,Michael J Tomlinson,Diana Irey Vaughan,22
Michael J Tomlinson,10,20,22
Diana Irey Vaughan,,0,22
Total,30,20,22
,Senator In The General Assembly 5th District - Republican,State Treasurer - Republican,23
,Michael J Tomlinson,Diana Irey Vaughan,23
Michael J Tomlinson,6,29,23
Diana Irey Vaughan,,2,23
Total,35,31,23
