col_1,col_2,col_3,division
,Special Election Representative In The General Assembly 169th District,,All
,Ed Neilson,David M Kralle,All
Ed Neilson,885,257,All
David M Kralle,,922,All
Total,"4,204","3,711",All
,Special Election Representative In The General Assembly 169th District,,1
,Ed Neilson,David M Kralle,1
Ed Neilson,16,7,1
David M Kralle,,15,1
Total,95,40,1
,Special Election Representative In The General Assembly 169th District,,3
,Ed Neilson,David M Kralle,3
Ed Neilson,14,7,3
David M Kralle,,16,3
Total,91,65,3
,Special Election Representative In The General Assembly 169th District,,7
,David M Kralle,Ed Neilson,7
David M Kralle,24,8,7
Ed Neilson,,12,7
Total,126,54,7
,Special Election Representative In The General Assembly 169th District,,8
,Ed Neilson,David M Kralle,8
Ed Neilson,37,7,8
David M Kralle,,25,8
Total,144,78,8
,Special Election Representative In The General Assembly 169th District,,10
,Ed Neilson,David M Kralle,10
Ed Neilson,33,6,10
David M Kralle,,24,10
Total,157,102,10
,Special Election Representative In The General Assembly 169th District,,11
,David M Kralle,Ed Neilson,11
David M Kralle,27,5,11
Ed Neilson,,17,11
Total,114,74,11
,Special Election Representative In The General Assembly 169th District,,12
,Ed Neilson,David M Kralle,12
Ed Neilson,22,2,12
David M Kralle,,19,12
Total,84,49,12
,Special Election Representative In The General Assembly 169th District,,13
,Ed Neilson,David M Kralle,13
Ed Neilson,14,7,13
David M Kralle,,10,13
Total,95,57,13
,Special Election Representative In The General Assembly 169th District,,14
,David M Kralle,Ed Neilson,14
David M Kralle,30,5,14
Ed Neilson,,31,14
Total,97,94,14
,Special Election Representative In The General Assembly 169th District,,15
,Ed Neilson,David M Kralle,15
Ed Neilson,33,5,15
David M Kralle,,27,15
Total,120,82,15
,Special Election Representative In The General Assembly 169th District,,18
,Ed Neilson,David M Kralle,18
Ed Neilson,33,8,18
David M Kralle,,32,18
Total,135,100,18
,Special Election Representative In The General Assembly 169th District,,19
,Ed Neilson,David M Kralle,19
Ed Neilson,23,5,19
David M Kralle,,17,19
Total,140,68,19
,Special Election Representative In The General Assembly 169th District,,20
,Ed Neilson,David M Kralle,20
Ed Neilson,38,10,20
David M Kralle,,19,20
Total,150,69,20
,Special Election Representative In The General Assembly 169th District,,21
,Ed Neilson,David M Kralle,21
Ed Neilson,19,8,21
David M Kralle,,35,21
Total,169,123,21
,Special Election Representative In The General Assembly 169th District,,23
,Ed Neilson,David M Kralle,23
Ed Neilson,21,6,23
David M Kralle,,14,23
Total,123,60,23
,Special Election Representative In The General Assembly 169th District,,24
,David M Kralle,Ed Neilson,24
David M Kralle,39,11,24
Ed Neilson,,16,24
Total,122,109,24
,Special Election Representative In The General Assembly 169th District,,25
,David M Kralle,Ed Neilson,25
David M Kralle,23,16,25
Ed Neilson,,33,25
Total,133,131,25
,Special Election Representative In The General Assembly 169th District,,26
,Ed Neilson,David M Kralle,26
Ed Neilson,24,6,26
David M Kralle,,12,26
Total,104,58,26
,Special Election Representative In The General Assembly 169th District,,27
,Ed Neilson,David M Kralle,27
Ed Neilson,15,3,27
David M Kralle,,9,27
Total,64,26,27
,Special Election Representative In The General Assembly 169th District,,28
,David M Kralle,Ed Neilson,28
David M Kralle,25,11,28
Ed Neilson,,21,28
Total,98,90,28
