col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Controller - Democrat,,,All
,Timika Lane,Joe Fernandes,Daniel D Mccaffery,Sierra Thomas Street,Anne Marie Coyle,Kenneth J Powell Jr,Dawn M Tancredi,Vince Giusini,Tracy B Roman,James C Crumlish,Stephanie M Sawyer,Giovanni Campbell,Rania Major,Leon A King Ii,John J O Connor Jr,Deborah D Cianfrani,Frank Bennett,Derrick W Coker,Sean P Stevens,Daine A Grey Jr,Conor Corcoran,Jon Marshall,Katie Scrivner,Fran Shields,Alan Butkovitz,Brett Mandel,Mark Zecca,All
Timika Lane,4,246,140,139,135,149,150,113,130,118,54,45,13,34,11,11,9,21,8,8,4,8,2,1,251,50,25,All
Joe Fernandes,,10,156,115,115,141,136,126,111,119,38,37,35,13,25,13,13,7,9,8,12,7,0,0,217,55,27,All
Daniel D Mccaffery,,,1,24,35,137,136,41,20,116,33,39,22,18,30,19,16,6,9,11,11,6,2,0,163,28,12,All
Sierra Thomas Street,,,,1,125,31,28,107,126,9,32,29,9,18,21,6,10,12,5,10,4,4,2,0,106,37,30,All
Anne Marie Coyle,,,,,3,25,31,108,128,18,31,19,6,8,13,17,15,8,9,8,5,6,0,0,115,34,31,All
Kenneth J Powell Jr,,,,,,0,131,15,27,108,23,25,12,15,25,12,8,4,11,5,4,4,1,0,144,31,10,All
Dawn M Tancredi,,,,,,,0,18,26,103,25,31,11,11,17,12,7,1,3,4,2,1,1,0,150,22,10,All
Vince Giusini,,,,,,,,1,103,15,39,41,24,19,8,13,7,15,3,1,9,3,0,0,95,32,24,All
Tracy B Roman,,,,,,,,,0,9,25,15,11,14,16,10,10,3,8,5,3,8,3,1,91,46,25,All
James C Crumlish,,,,,,,,,,0,28,11,14,8,4,10,5,4,9,7,3,4,2,1,116,16,9,All
Stephanie M Sawyer,,,,,,,,,,,2,39,27,24,9,9,10,23,7,12,7,7,1,0,59,27,10,All
Giovanni Campbell,,,,,,,,,,,,4,19,32,20,6,5,17,8,10,8,5,1,0,54,22,17,All
Rania Major,,,,,,,,,,,,,4,6,4,5,6,6,5,5,3,1,0,0,16,16,8,All
Leon A King Ii,,,,,,,,,,,,,,2,5,3,6,16,1,4,6,4,0,0,35,14,6,All
John J O Connor Jr,,,,,,,,,,,,,,,0,9,11,5,5,2,3,3,2,0,29,11,7,All
Deborah D Cianfrani,,,,,,,,,,,,,,,,0,15,4,6,6,7,4,0,0,20,14,7,All
Frank Bennett,,,,,,,,,,,,,,,,,3,6,6,2,5,7,1,0,20,14,3,All
Derrick W Coker,,,,,,,,,,,,,,,,,,1,3,4,2,3,2,0,22,4,3,All
