col_1,col_2,col_3,col_4,division
,Controller - Republican,Judge Of The Traffic Court - Republican,,All
,Terrence J Tracy Jr,Ella P Butcher,Christopher M Vogler,All
Terrence J Tracy Jr,2,35,31,All
Ella P Butcher,,1,23,All
Christopher M Vogler,,,0,All
Total,45,36,31,All
,Judge Of The Traffic Court - Republican,,Controller - Republican,6
,Ella P Butcher,Christopher M Vogler,Terrence J Tracy Jr,6
Ella P Butcher,0,0,1,6
Christopher M Vogler,,0,0,6
Terrence J Tracy Jr,,,0,6
Total,1,0,1,6
,Judge Of The Traffic Court - Republican,,Controller - Republican,8
,Ella P Butcher,Christopher M Vogler,Terrence J Tracy Jr,8
Ella P Butcher,0,0,1,8
Christopher M Vogler,,0,0,8
Terrence J Tracy Jr,,,0,8
Total,1,0,1,8
,Judge Of The Traffic Court - Republican,,Controller - Republican,9
,Christopher M Vogler,Ella P Butcher,Terrence J Tracy Jr,9
Christopher M Vogler,0,0,1,9
Ella P Butcher,,0,0,9
Terrence J Tracy Jr,,,0,9
Total,1,0,1,9
,Judge Of The Traffic Court - Republican,,Controller - Republican,11
,Christopher M Vogler,Ella P Butcher,Terrence J Tracy Jr,11
Christopher M Vogler,0,0,1,11
Ella P Butcher,,0,0,11
Terrence J Tracy Jr,,,0,11
Total,1,0,1,11
,Judge Of The Traffic Court - Republican,,Controller - Republican,12
,Ella P Butcher,Christopher M Vogler,Terrence J Tracy Jr,12
Ella P Butcher,0,0,1,12
Christopher M Vogler,,0,0,12
Terrence J Tracy Jr,,,0,12
Total,1,0,1,12
,Judge Of The Traffic Court - Republican,,Controller - Republican,18
,Ella P Butcher,Christopher M Vogler,Terrence J Tracy Jr,18
Ella P Butcher,0,0,1,18
Christopher M Vogler,,0,0,18
Terrence J Tracy Jr,,,0,18
Total,1,0,1,18
,Judge Of The Traffic Court - Republican,,Controller - Republican,21
,Christopher M Vogler,Ella P Butcher,Terrence J Tracy Jr,21
Christopher M Vogler,0,1,1,21
Ella P Butcher,,0,1,21
Terrence J Tracy Jr,,,0,21
Total,1,1,1,21
,Controller - Republican,Judge Of The Traffic Court - Republican,,23
,Terrence J Tracy Jr,Ella P Butcher,Christopher M Vogler,23
Terrence J Tracy Jr,1,8,6,23
Ella P Butcher,,0,5,23
Christopher M Vogler,,,0,23
Total,10,8,6,23
,Judge Of The Traffic Court - Republican,,Controller - Republican,24
,Ella P Butcher,Christopher M Vogler,Terrence J Tracy Jr,24
Ella P Butcher,1,2,3,24
Christopher M Vogler,,0,2,24
Terrence J Tracy Jr,,,0,24
Total,4,2,3,24
,Judge Of The Traffic Court - Republican,,Controller - Republican,26
,Christopher M Vogler,Ella P Butcher,Terrence J Tracy Jr,26
Christopher M Vogler,0,0,1,26
Ella P Butcher,,0,0,26
Terrence J Tracy Jr,,,0,26
Total,1,0,1,26
,Judge Of The Traffic Court - Republican,,Controller - Republican,28
,Christopher M Vogler,Ella P Butcher,Terrence J Tracy Jr,28
Christopher M Vogler,0,1,2,28
Ella P Butcher,,0,1,28
Terrence J Tracy Jr,,,0,28
Total,2,1,2,28
,Judge Of The Traffic Court - Republican,,Controller - Republican,30
,Ella P Butcher,Christopher M Vogler,Terrence J Tracy Jr,30
Ella P Butcher,0,0,1,30
Christopher M Vogler,,0,0,30
Terrence J Tracy Jr,,,0,30
Total,1,0,1,30
,Judge Of The Traffic Court - Republican,,Controller - Republican,31
,Ella P Butcher,Christopher M Vogler,Terrence J Tracy Jr,31
Ella P Butcher,0,1,2,31
Christopher M Vogler,,0,1,31
Terrence J Tracy Jr,,,0,31
Total,2,1,2,31
,Judge Of The Traffic Court - Republican,,Controller - Republican,32
,Christopher M Vogler,Ella P Butcher,Terrence J Tracy Jr,32
Christopher M Vogler,0,1,1,32
Ella P Butcher,,0,1,32
Terrence J Tracy Jr,,,0,32
Total,1,1,1,32
,Judge Of The Traffic Court - Republican,,Controller - Republican,33
,Ella P Butcher,Christopher M Vogler,Terrence J Tracy Jr,33
Ella P Butcher,0,1,2,33
Christopher M Vogler,,0,1,33
Terrence J Tracy Jr,,,0,33
Total,2,1,2,33
,Controller - Republican,Judge Of The Traffic Court - Republican,,34
,Terrence J Tracy Jr,Christopher M Vogler,Ella P Butcher,34
Terrence J Tracy Jr,1,10,7,34
Christopher M Vogler,,0,7,34
Ella P Butcher,,,0,34
Total,11,10,7,34
,Judge Of The Traffic Court - Republican,,Controller - Republican,36
,Christopher M Vogler,Ella P Butcher,Terrence J Tracy Jr,36
Christopher M Vogler,0,2,2,36
Ella P Butcher,,0,2,36
Terrence J Tracy Jr,,,0,36
Total,2,2,2,36
,Judge Of The Traffic Court - Republican,,Controller - Republican,37
,Christopher M Vogler,Ella P Butcher,Terrence J Tracy Jr,37
Christopher M Vogler,0,1,1,37
Ella P Butcher,,0,1,37
Terrence J Tracy Jr,,,0,37
Total,1,1,1,37
,Judge Of The Traffic Court - Republican,,Controller - Republican,39
,Christopher M Vogler,Ella P Butcher,Terrence J Tracy Jr,39
Christopher M Vogler,0,1,1,39
Ella P Butcher,,0,1,39
Terrence J Tracy Jr,,,0,39
Total,1,1,1,39
,Judge Of The Traffic Court - Republican,,Controller - Republican,41
,Ella P Butcher,Christopher M Vogler,Terrence J Tracy Jr,41
Ella P Butcher,0,0,1,41
Christopher M Vogler,,0,0,41
Terrence J Tracy Jr,,,0,41
Total,1,0,1,41
