col_1,col_2,division
,Controller - Republican,1
,Terrence J Tracy Jr,1
Terrence J Tracy Jr,6,1
Total,6,1
,Controller - Republican,2
,Terrence J Tracy Jr,2
Terrence J Tracy Jr,7,2
Total,7,2
,Controller - Republican,3
,Terrence J Tracy Jr,3
Terrence J Tracy Jr,1,3
Total,1,3
,Controller - Republican,4
,Terrence J Tracy Jr,4
Terrence J Tracy Jr,1,4
Total,1,4
,Controller - Republican,5
,Terrence J Tracy Jr,5
Terrence J Tracy Jr,5,5
Total,5,5
,Controller - Republican,6
,Terrence J Tracy Jr,6
Terrence J Tracy Jr,6,6
Total,6,6
,Controller - Republican,7
,Terrence J Tracy Jr,7
Terrence J Tracy Jr,4,7
Total,4,7
,Controller - Republican,9
,Terrence J Tracy Jr,9
Terrence J Tracy Jr,3,9
Total,3,9
,Controller - Republican,10
,Terrence J Tracy Jr,10
Terrence J Tracy Jr,2,10
Total,2,10
,Controller - Republican,11
,Terrence J Tracy Jr,11
Terrence J Tracy Jr,5,11
Total,5,11
,Controller - Republican,12
,Terrence J Tracy Jr,12
Terrence J Tracy Jr,7,12
Total,7,12
,Controller - Republican,14
,Terrence J Tracy Jr,14
Terrence J Tracy Jr,3,14
Total,3,14
,Controller - Republican,16
,Terrence J Tracy Jr,16
Terrence J Tracy Jr,13,16
Total,13,16
,Controller - Republican,17
,Terrence J Tracy Jr,17
Terrence J Tracy Jr,6,17
Total,6,17
,Controller - Republican,All
,Terrence J Tracy Jr,All
Terrence J Tracy Jr,69,All
Total,69,All
