col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,,,,1
,Joe Fernandes,Timika Lane,Anne Marie Coyle,Tracy B Roman,Vince Giusini,Rania Major,Sierra Thomas Street,Daniel D Mccaffery,Dawn M Tancredi,Giovanni Campbell,James C Crumlish,John J O Connor Jr,Leon A King Ii,Stephanie M Sawyer,Conor Corcoran,Daine A Grey Jr,Deborah D Cianfrani,Derrick W Coker,Fran Shields,Frank Bennett,Jon Marshall,Katie Scrivner,Kenneth J Powell Jr,Sean P Stevens,Martin Coleman,Henry Lewandowski,Tracy B Roman,Fran Shields,Robert M Kline,Conor Corcoran,Daine A Grey Jr,Derrick W Coker,Frank Bennett,Joe Fernandes,Shoshana Bricklin,1
Joe Fernandes,5,6,4,3,5,2,4,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,5,1,0,0,0,0,0,0,0,1
Timika Lane,,0,4,3,4,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,4,1,0,0,0,0,0,0,0,1
Anne Marie Coyle,,,0,3,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,0,0,1
Tracy B Roman,,,,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,1
Vince Giusini,,,,,0,2,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,1
Rania Major,,,,,,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1
Sierra Thomas Street,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,1
Daniel D Mccaffery,,,,,,,,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,1
Dawn M Tancredi,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Giovanni Campbell,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
James C Crumlish,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
