col_1,col_2,col_3,col_4,division
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,All
,Tom Wolf,Tom Corbett,Cherelle L Parker,All
Tom Wolf,412,0,"8,418",All
Tom Corbett,,167,103,All
Cherelle L Parker,,,42,All
Total,"8,830",270,"8,563",All
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,1
,Tom Wolf,Tom Corbett,Cherelle L Parker,1
Tom Wolf,31,0,451,1
Tom Corbett,,20,5,1
Cherelle L Parker,,,1,1
Total,482,25,457,1
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,2
,Tom Wolf,Tom Corbett,Cherelle L Parker,2
Tom Wolf,24,0,419,2
Tom Corbett,,13,10,2
Cherelle L Parker,,,3,2
Total,443,23,432,2
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,3
,Tom Wolf,Tom Corbett,Cherelle L Parker,3
Tom Wolf,16,0,305,3
Tom Corbett,,9,0,3
Cherelle L Parker,,,2,3
Total,321,9,307,3
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,4
,Tom Wolf,Tom Corbett,Cherelle L Parker,4
Tom Wolf,24,0,275,4
Tom Corbett,,7,8,4
Cherelle L Parker,,,0,4
Total,299,15,283,4
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,5
,Tom Wolf,Tom Corbett,Cherelle L Parker,5
Tom Wolf,22,0,326,5
Tom Corbett,,7,9,5
Cherelle L Parker,,,1,5
Total,348,16,336,5
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,6
,Tom Wolf,Tom Corbett,Cherelle L Parker,6
Tom Wolf,20,0,411,6
Tom Corbett,,11,5,6
Cherelle L Parker,,,2,6
Total,431,16,418,6
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,7
,Tom Wolf,Tom Corbett,Cherelle L Parker,7
Tom Wolf,21,0,326,7
Tom Corbett,,14,7,7
Cherelle L Parker,,,1,7
Total,347,21,334,7
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,8
,Tom Wolf,Tom Corbett,Cherelle L Parker,8
Tom Wolf,18,0,249,8
Tom Corbett,,4,4,8
Cherelle L Parker,,,2,8
Total,267,8,255,8
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,9
,Tom Wolf,Tom Corbett,Cherelle L Parker,9
Tom Wolf,13,0,226,9
Tom Corbett,,2,0,9
Cherelle L Parker,,,1,9
Total,239,2,227,9
,Governor And Lieutenant Governor,,Representative In The General Assembly 200th District,10
,Tom Wolf,Tom Corbett,Cherelle L Parker,10
Tom Wolf,13,0,285,10
Tom Corbett,,9,1,10
Cherelle L Parker,,,1,10
