col_1,col_2,col_3,division
,Governor And Lieutenant Governor,,1
,Tom Wolf,Tom Corbett,1
Tom Wolf,178,0,1
Tom Corbett,,6,1
Total,178,6,1
,Governor And Lieutenant Governor,,2
,Tom Wolf,Tom Corbett,2
Tom Wolf,102,0,2
Tom Corbett,,3,2
Total,102,3,2
,Governor And Lieutenant Governor,,3
,Tom Wolf,Tom Corbett,3
Tom Wolf,249,0,3
Tom Corbett,,6,3
Total,249,6,3
,Governor And Lieutenant Governor,,4
,Tom Wolf,Tom Corbett,4
Tom Wolf,268,0,4
Tom Corbett,,8,4
Total,268,8,4
,Governor And Lieutenant Governor,,5
,Tom Wolf,Tom Corbett,5
Tom Wolf,92,0,5
Tom Corbett,,2,5
Total,92,2,5
,Governor And Lieutenant Governor,,6
,Tom Wolf,Tom Corbett,6
Tom Wolf,343,0,6
Tom Corbett,,6,6
Total,343,6,6
,Governor And Lieutenant Governor,,7
,Tom Wolf,Tom Corbett,7
Tom Wolf,223,0,7
Tom Corbett,,10,7
Total,223,10,7
,Governor And Lieutenant Governor,,8
,Tom Wolf,Tom Corbett,8
Tom Wolf,58,0,8
Tom Corbett,,1,8
Total,58,1,8
,Governor And Lieutenant Governor,,9
,Tom Wolf,Tom Corbett,9
Tom Wolf,129,0,9
Tom Corbett,,5,9
Total,129,5,9
,Governor And Lieutenant Governor,,10
,Tom Wolf,Tom Corbett,10
Tom Wolf,191,0,10
Tom Corbett,,9,10
Total,191,9,10
,Governor And Lieutenant Governor,,11
,Tom Wolf,Tom Corbett,11
Tom Wolf,75,0,11
Tom Corbett,,6,11
Total,75,6,11
,Governor And Lieutenant Governor,,All
,Tom Wolf,Tom Corbett,All
Tom Wolf,"1,908",0,All
Tom Corbett,,62,All
Total,"1,908",62,All
