col_1,col_2,col_3,col_4,col_5,division
,Member Of - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,1
,Denise Furey,Calvin R Tucker,Walt Vogler,Jim Cawley,1
Denise Furey,0,0,0,1,1
Calvin R Tucker,,0,0,0,1
Walt Vogler,,,0,0,1
Jim Cawley,,,,0,1
Total,1,0,0,1,1
,Member Of - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,2
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Cawley,2
Calvin R Tucker,0,1,1,1,2
Denise Furey,,0,1,1,2
Walt Vogler,,,0,1,2
Jim Cawley,,,,0,2
Total,1,1,1,1,2
,Member Of - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,3
,Calvin R Tucker,Walt Vogler,Denise Furey,Jim Cawley,3
Calvin R Tucker,0,1,0,1,3
Walt Vogler,,0,0,1,3
Denise Furey,,,0,0,3
Jim Cawley,,,,0,3
Total,1,1,0,1,3
,Member Of - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,4
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Cawley,4
Calvin R Tucker,0,2,2,2,4
Denise Furey,,0,2,2,4
Walt Vogler,,,0,2,4
Jim Cawley,,,,0,4
Total,2,2,2,2,4
,Member Of - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,6
,Denise Furey,Calvin R Tucker,Walt Vogler,Jim Cawley,6
Denise Furey,1,0,0,0,6
Calvin R Tucker,,0,0,0,6
Walt Vogler,,,0,0,6
Jim Cawley,,,,0,6
Total,1,0,0,0,6
,Member Of - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,9
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Cawley,9
Calvin R Tucker,0,1,1,1,9
Denise Furey,,0,1,1,9
Walt Vogler,,,0,1,9
Jim Cawley,,,,0,9
Total,1,1,1,1,9
,Member Of - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,12
,Denise Furey,Calvin R Tucker,Walt Vogler,Jim Cawley,12
Denise Furey,1,1,1,1,12
Calvin R Tucker,,0,1,1,12
Walt Vogler,,,0,1,12
Jim Cawley,,,,0,12
Total,2,1,1,1,12
,Member Of - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,15
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Cawley,15
Calvin R Tucker,1,0,0,0,15
Denise Furey,,0,0,0,15
Walt Vogler,,,0,0,15
Jim Cawley,,,,0,15
Total,1,0,0,0,15
,Member Of - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,18
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Cawley,18
Calvin R Tucker,0,1,1,1,18
Denise Furey,,0,1,1,18
Walt Vogler,,,0,1,18
Jim Cawley,,,,0,18
Total,1,1,1,1,18
,Member Of - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,All
,Denise Furey,Calvin R Tucker,Walt Vogler,Jim Cawley,All
Denise Furey,2,6,6,7,All
Calvin R Tucker,,1,7,7,All
Walt Vogler,,,0,7,All
Jim Cawley,,,,0,All
Total,9,8,7,8,All
