col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,7
,Matthew D Myers,Darrell L Clarke,Micah Mahjoubian,Domenick demuro,Marylouise Isaacson,Michelle L Rumbaugh,Nekisha Fulton,Albert C Littlepage,Thomas J Rumbaugh,7
Matthew D Myers,6,76,70,64,25,24,22,21,14,7
Darrell L Clarke,,6,69,63,25,22,22,20,15,7
Micah Mahjoubian,,,3,59,21,20,19,18,12,7
Domenick demuro,,,,1,20,19,18,17,12,7
Marylouise Isaacson,,,,,1,23,21,19,12,7
Michelle L Rumbaugh,,,,,,0,20,19,12,7
Nekisha Fulton,,,,,,,1,20,12,7
Albert C Littlepage,,,,,,,,0,12,7
Thomas J Rumbaugh,,,,,,,,,0,7
Total,86,84,74,66,30,28,25,22,15,7
,Member Of - Democratic State Committee 1st Senatorial District,,,,,,,,,All
,Matthew D Myers,Darrell L Clarke,Micah Mahjoubian,Domenick demuro,Marylouise Isaacson,Michelle L Rumbaugh,Nekisha Fulton,Albert C Littlepage,Thomas J Rumbaugh,All
Matthew D Myers,6,76,70,64,25,24,22,21,14,All
Darrell L Clarke,,6,69,63,25,22,22,20,15,All
Micah Mahjoubian,,,3,59,21,20,19,18,12,All
Domenick demuro,,,,1,20,19,18,17,12,All
Marylouise Isaacson,,,,,1,23,21,19,12,All
Michelle L Rumbaugh,,,,,,0,20,19,12,All
Nekisha Fulton,,,,,,,1,20,12,All
Albert C Littlepage,,,,,,,,0,12,All
Thomas J Rumbaugh,,,,,,,,,0,All
Total,86,84,74,66,30,28,25,22,15,All
