col_1,col_2,col_3,col_4,col_5,col_6,division
,Judge Of The Superior Court,,City Commissioners,,,All
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,All
Alice Beck Dubow,130,0,"2,916","2,697",63,All
Emil Giordano,,5,29,19,89,All
Anthony Clark,,,194,"2,574",33,All
Lisa M Deeley,,,,42,42,All
Al Schmidt,,,,,4,All
Total,"3,244",113,"3,193","2,815",161,All
,City Commissioners,,,Judge Of The Superior Court,,1
,Anthony Clark,Lisa M Deeley,Al Schmidt,Alice Beck Dubow,Emil Giordano,1
Anthony Clark,3,65,1,70,1,1
Lisa M Deeley,,1,5,68,1,1
Al Schmidt,,,0,4,5,1
Alice Beck Dubow,,,,0,0,1
Emil Giordano,,,,,0,1
Total,76,72,9,75,5,1
,City Commissioners,,,Judge Of The Superior Court,,2
,Anthony Clark,Lisa M Deeley,Al Schmidt,Alice Beck Dubow,Emil Giordano,2
Anthony Clark,12,175,1,189,1,2
Lisa M Deeley,,5,1,175,1,2
Al Schmidt,,,1,2,5,2
Alice Beck Dubow,,,,7,0,2
Emil Giordano,,,,,0,2
Total,206,185,8,201,6,2
,City Commissioners,,,Judge Of The Superior Court,,3
,Anthony Clark,Lisa M Deeley,Al Schmidt,Alice Beck Dubow,Emil Giordano,3
Anthony Clark,12,157,3,184,5,3
Lisa M Deeley,,1,0,165,1,3
Al Schmidt,,,0,1,6,3
Alice Beck Dubow,,,,6,0,3
Emil Giordano,,,,,0,3
Total,205,171,7,203,9,3
,Judge Of The Superior Court,,City Commissioners,,,4
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,4
Alice Beck Dubow,6,0,108,98,2,4
Emil Giordano,,0,0,1,7,4
Anthony Clark,,,3,92,1,4
Lisa M Deeley,,,,1,2,4
Al Schmidt,,,,,0,4
Total,120,7,111,100,9,4
,Judge Of The Superior Court,,City Commissioners,,,5
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,5
Alice Beck Dubow,3,0,141,131,3,5
Emil Giordano,,0,0,0,1,5
Anthony Clark,,,8,125,1,5
Lisa M Deeley,,,,5,2,5
Al Schmidt,,,,,0,5
Total,153,1,152,139,4,5
,City Commissioners,,,Judge Of The Superior Court,,6
,Anthony Clark,Lisa M Deeley,Al Schmidt,Alice Beck Dubow,Emil Giordano,6
Anthony Clark,14,129,1,152,3,6
Lisa M Deeley,,1,5,135,2,6
Al Schmidt,,,1,3,6,6
Alice Beck Dubow,,,,9,0,6
Emil Giordano,,,,,1,6
Total,172,143,12,171,10,6
,City Commissioners,,,Judge Of The Superior Court,,7
,Anthony Clark,Lisa M Deeley,Al Schmidt,Alice Beck Dubow,Emil Giordano,7
Anthony Clark,8,123,1,137,0,7
Lisa M Deeley,,1,1,121,0,7
Al Schmidt,,,0,2,0,7
Alice Beck Dubow,,,,9,0,7
Emil Giordano,,,,,0,7
Total,149,126,2,148,0,7
,Judge Of The Superior Court,,City Commissioners,,,8
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,8
Alice Beck Dubow,12,0,161,150,7,8
Emil Giordano,,0,3,1,8,8
Anthony Clark,,,11,140,5,8
Lisa M Deeley,,,,3,4,8
Al Schmidt,,,,,0,8
Total,190,8,180,159,15,8
,City Commissioners,,,Judge Of The Superior Court,,9
,Anthony Clark,Lisa M Deeley,Al Schmidt,Alice Beck Dubow,Emil Giordano,9
Anthony Clark,7,159,1,168,2,9
Lisa M Deeley,,1,3,162,2,9
Al Schmidt,,,0,3,6,9
Alice Beck Dubow,,,,3,0,9
Emil Giordano,,,,,0,9
Total,180,168,9,179,7,9
,Judge Of The Superior Court,,City Commissioners,,,10
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,10
Alice Beck Dubow,4,0,106,98,2,10
Emil Giordano,,0,1,1,0,10
Anthony Clark,,,6,90,1,10
Lisa M Deeley,,,,0,1,10
Al Schmidt,,,,,0,10
Total,120,1,114,100,2,10
,Judge Of The Superior Court,,City Commissioners,,,11
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,11
Alice Beck Dubow,6,0,85,79,3,11
Emil Giordano,,1,2,1,3,11
Anthony Clark,,,8,70,1,11
Lisa M Deeley,,,,0,2,11
Al Schmidt,,,,,0,11
Total,102,5,95,80,6,11
,Judge Of The Superior Court,,City Commissioners,,,12
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,12
Alice Beck Dubow,4,0,143,125,5,12
Emil Giordano,,0,0,1,6,12
Anthony Clark,,,10,119,2,12
Lisa M Deeley,,,,2,3,12
Al Schmidt,,,,,0,12
Total,155,6,153,129,12,12
,Judge Of The Superior Court,,City Commissioners,,,13
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,13
Alice Beck Dubow,4,0,47,48,1,13
Emil Giordano,,0,1,1,3,13
Anthony Clark,,,4,43,0,13
Lisa M Deeley,,,,1,1,13
Al Schmidt,,,,,0,13
Total,58,4,53,51,4,13
,City Commissioners,,,Judge Of The Superior Court,,14
,Anthony Clark,Lisa M Deeley,Al Schmidt,Alice Beck Dubow,Emil Giordano,14
Anthony Clark,18,70,1,74,0,14
Lisa M Deeley,,2,1,70,0,14
Al Schmidt,,,0,2,2,14
Alice Beck Dubow,,,,4,0,14
Emil Giordano,,,,,0,14
Total,98,77,5,84,2,14
,Judge Of The Superior Court,,City Commissioners,,,15
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,15
Alice Beck Dubow,5,0,105,92,3,15
Emil Giordano,,0,0,0,2,15
Anthony Clark,,,5,88,2,15
Lisa M Deeley,,,,2,1,15
Al Schmidt,,,,,0,15
Total,116,2,112,96,5,15
,City Commissioners,,,Judge Of The Superior Court,,16
,Anthony Clark,Lisa M Deeley,Al Schmidt,Alice Beck Dubow,Emil Giordano,16
Anthony Clark,9,121,0,133,1,16
Lisa M Deeley,,0,1,124,0,16
Al Schmidt,,,0,1,0,16
Alice Beck Dubow,,,,6,0,16
Emil Giordano,,,,,1,16
Total,147,128,1,146,2,16
,Judge Of The Superior Court,,City Commissioners,,,17
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,17
Alice Beck Dubow,6,0,134,122,1,17
Emil Giordano,,0,0,0,0,17
Anthony Clark,,,8,115,1,17
Lisa M Deeley,,,,1,0,17
Al Schmidt,,,,,1,17
Total,148,0,143,124,2,17
,Judge Of The Superior Court,,City Commissioners,,,18
,Alice Beck Dubow,Emil Giordano,Anthony Clark,Lisa M Deeley,Al Schmidt,18
