col_1,col_2,col_3,col_4,col_5,col_6,division
,Register Of Wills,,City Commissioners,,,All
,Ronald R Donatucci,Ross Feinberg,Anthony Clark,Lisa M Deeley,Al Schmidt,All
Ronald R Donatucci,95,0,"2,649","2,526",97,All
Ross Feinberg,,11,64,89,110,All
Anthony Clark,,,175,"2,406",38,All
Lisa M Deeley,,,,78,102,All
Al Schmidt,,,,,12,All
Total,"2,991",189,"2,963","2,776",231,All
,City Commissioners,,,Register Of Wills,,1
,Anthony Clark,Lisa M Deeley,Al Schmidt,Ronald R Donatucci,Ross Feinberg,1
Anthony Clark,12,61,1,78,0,1
Lisa M Deeley,,1,3,66,1,1
Al Schmidt,,,0,3,2,1
Ronald R Donatucci,,,,1,0,1
Ross Feinberg,,,,,0,1
Total,92,70,5,86,2,1
,Register Of Wills,,City Commissioners,,,2
,Ronald R Donatucci,Ross Feinberg,Anthony Clark,Lisa M Deeley,Al Schmidt,2
Ronald R Donatucci,8,0,157,151,5,2
Ross Feinberg,,1,3,2,3,2
Anthony Clark,,,7,147,2,2
Lisa M Deeley,,,,8,3,2
Al Schmidt,,,,,1,2
Total,177,7,173,167,9,2
,Register Of Wills,,City Commissioners,,,3
,Ronald R Donatucci,Ross Feinberg,Anthony Clark,Lisa M Deeley,Al Schmidt,3
Ronald R Donatucci,4,0,79,76,1,3
Ross Feinberg,,0,2,2,0,3
Anthony Clark,,,3,73,1,3
Lisa M Deeley,,,,3,0,3
Al Schmidt,,,,,0,3
Total,90,2,86,83,1,3
,Register Of Wills,,City Commissioners,,,4
,Ronald R Donatucci,Ross Feinberg,Anthony Clark,Lisa M Deeley,Al Schmidt,4
Ronald R Donatucci,5,0,146,140,3,4
Ross Feinberg,,0,3,2,5,4
Anthony Clark,,,7,135,0,4
Lisa M Deeley,,,,5,4,4
Al Schmidt,,,,,1,4
Total,162,8,161,152,9,4
,Register Of Wills,,City Commissioners,,,5
,Ronald R Donatucci,Ross Feinberg,Anthony Clark,Lisa M Deeley,Al Schmidt,5
Ronald R Donatucci,3,0,140,136,3,5
Ross Feinberg,,1,3,3,2,5
