col_1,col_2,division
,District Council 10th District,All
,Brian J O Neill,All
Brian J O Neill,"4,814",All
Total,"4,814",All
,District Council 10th District,1
,Brian J O Neill,1
Brian J O Neill,69,1
Total,69,1
,District Council 10th District,2
,Brian J O Neill,2
Brian J O Neill,74,2
Total,74,2
,District Council 10th District,3
,Brian J O Neill,3
Brian J O Neill,96,3
Total,96,3
,District Council 10th District,4
,Brian J O Neill,4
Brian J O Neill,92,4
Total,92,4
,District Council 10th District,5
,Brian J O Neill,5
Brian J O Neill,62,5
Total,62,5
,District Council 10th District,6
,Brian J O Neill,6
Brian J O Neill,107,6
Total,107,6
,District Council 10th District,7
,Brian J O Neill,7
Brian J O Neill,95,7
Total,95,7
,District Council 10th District,8
,Brian J O Neill,8
Brian J O Neill,140,8
Total,140,8
,District Council 10th District,9
,Brian J O Neill,9
Brian J O Neill,129,9
Total,129,9
,District Council 10th District,10
,Brian J O Neill,10
Brian J O Neill,107,10
Total,107,10
,District Council 10th District,11
,Brian J O Neill,11
Brian J O Neill,117,11
Total,117,11
,District Council 10th District,12
,Brian J O Neill,12
Brian J O Neill,69,12
Total,69,12
,District Council 10th District,13
,Brian J O Neill,13
Brian J O Neill,82,13
Total,82,13
,District Council 10th District,14
,Brian J O Neill,14
Brian J O Neill,101,14
Total,101,14
,District Council 10th District,15
,Brian J O Neill,15
Brian J O Neill,98,15
Total,98,15
,District Council 10th District,16
,Brian J O Neill,16
Brian J O Neill,72,16
Total,72,16
,District Council 10th District,17
,Brian J O Neill,17
Brian J O Neill,128,17
Total,128,17
,District Council 10th District,18
,Brian J O Neill,18
Brian J O Neill,108,18
Total,108,18
,District Council 10th District,19
,Brian J O Neill,19
Brian J O Neill,66,19
Total,66,19
,District Council 10th District,20
,Brian J O Neill,20
Brian J O Neill,116,20
Total,116,20
,District Council 10th District,21
,Brian J O Neill,21
Brian J O Neill,144,21
Total,144,21
,District Council 10th District,22
,Brian J O Neill,22
Brian J O Neill,128,22
Total,128,22
,District Council 10th District,23
,Brian J O Neill,23
Brian J O Neill,96,23
Total,96,23
,District Council 10th District,24
,Brian J O Neill,24
Brian J O Neill,92,24
Total,92,24
,District Council 10th District,25
,Brian J O Neill,25
Brian J O Neill,117,25
Total,117,25
,District Council 10th District,26
,Brian J O Neill,26
Brian J O Neill,103,26
Total,103,26
,District Council 10th District,27
,Brian J O Neill,27
Brian J O Neill,50,27
Total,50,27
,District Council 10th District,28
,Brian J O Neill,28
Brian J O Neill,120,28
Total,120,28
,District Council 10th District,29
,Brian J O Neill,29
Brian J O Neill,181,29
Total,181,29
,District Council 10th District,30
,Brian J O Neill,30
Brian J O Neill,105,30
Total,105,30
,District Council 10th District,31
,Brian J O Neill,31
Brian J O Neill,94,31
Total,94,31
,District Council 10th District,32
,Brian J O Neill,32
Brian J O Neill,66,32
Total,66,32
,District Council 10th District,33
,Brian J O Neill,33
Brian J O Neill,152,33
Total,152,33
,District Council 10th District,34
,Brian J O Neill,34
Brian J O Neill,126,34
Total,126,34
,District Council 10th District,35
,Brian J O Neill,35
Brian J O Neill,109,35
Total,109,35
,District Council 10th District,36
,Brian J O Neill,36
Brian J O Neill,152,36
Total,152,36
,District Council 10th District,37
,Brian J O Neill,37
Brian J O Neill,44,37
Total,44,37
,District Council 10th District,38
,Brian J O Neill,38
Brian J O Neill,98,38
Total,98,38
,District Council 10th District,39
,Brian J O Neill,39
Brian J O Neill,126,39
Total,126,39
,District Council 10th District,40
,Brian J O Neill,40
Brian J O Neill,86,40
Total,86,40
,District Council 10th District,41
,Brian J O Neill,41
Brian J O Neill,66,41
Total,66,41
,District Council 10th District,42
,Brian J O Neill,42
Brian J O Neill,95,42
Total,95,42
,District Council 10th District,43
,Brian J O Neill,43
Brian J O Neill,181,43
Total,181,43
,District Council 10th District,44
,Brian J O Neill,44
Brian J O Neill,134,44
Total,134,44
,District Council 10th District,45
,Brian J O Neill,45
Brian J O Neill,80,45
Total,80,45
,District Council 10th District,46
,Brian J O Neill,46
Brian J O Neill,141,46
Total,141,46
