col_1,col_2,col_3,col_4,division
,District Council 5th District,Register Of Wills,,All
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,All
Darrell L Clarke,198,"1,110",7,All
Ronald R Donatucci,,45,0,All
Ross Feinberg,,,11,All
Total,"1,315","1,155",18,All
,District Council 5th District,Register Of Wills,,1
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,1
Darrell L Clarke,10,48,0,1
Ronald R Donatucci,,0,0,1
Ross Feinberg,,,2,1
Total,58,48,2,1
,District Council 5th District,Register Of Wills,,2
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,2
Darrell L Clarke,13,77,1,2
Ronald R Donatucci,,5,0,2
Ross Feinberg,,,0,2
Total,91,82,1,2
,District Council 5th District,Register Of Wills,,3
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,3
Darrell L Clarke,14,85,1,3
Ronald R Donatucci,,4,0,3
Ross Feinberg,,,2,3
Total,100,89,3,3
,District Council 5th District,Register Of Wills,,4
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,4
Darrell L Clarke,15,92,1,4
Ronald R Donatucci,,3,0,4
Ross Feinberg,,,1,4
Total,108,95,2,4
,District Council 5th District,Register Of Wills,,5
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,5
Darrell L Clarke,22,104,0,5
Ronald R Donatucci,,1,0,5
Ross Feinberg,,,0,5
Total,126,105,0,5
,District Council 5th District,Register Of Wills,,6
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,6
Darrell L Clarke,8,75,0,6
Ronald R Donatucci,,4,0,6
Ross Feinberg,,,0,6
Total,83,79,0,6
,District Council 5th District,Register Of Wills,,7
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,7
Darrell L Clarke,15,42,0,7
Ronald R Donatucci,,4,0,7
Ross Feinberg,,,0,7
Total,57,46,0,7
,District Council 5th District,Register Of Wills,,8
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,8
Darrell L Clarke,30,144,4,8
Ronald R Donatucci,,7,0,8
Ross Feinberg,,,1,8
Total,178,151,5,8
,District Council 5th District,Register Of Wills,,10
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,10
Darrell L Clarke,11,87,0,10
Ronald R Donatucci,,2,0,10
Ross Feinberg,,,2,10
Total,98,89,2,10
,District Council 5th District,Register Of Wills,,11
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,11
Darrell L Clarke,12,51,0,11
Ronald R Donatucci,,2,0,11
Ross Feinberg,,,1,11
Total,63,53,1,11
,District Council 5th District,Register Of Wills,,12
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,12
Darrell L Clarke,16,64,0,12
Ronald R Donatucci,,5,0,12
Ross Feinberg,,,0,12
Total,80,69,0,12
,District Council 5th District,Register Of Wills,,13
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,13
Darrell L Clarke,6,105,0,13
Ronald R Donatucci,,3,0,13
Ross Feinberg,,,1,13
Total,111,108,1,13
,District Council 5th District,Register Of Wills,,14
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,14
Darrell L Clarke,16,66,0,14
Ronald R Donatucci,,2,0,14
Ross Feinberg,,,1,14
Total,82,68,1,14
,District Council 5th District,Register Of Wills,,15
,Darrell L Clarke,Ronald R Donatucci,Ross Feinberg,15
Darrell L Clarke,10,70,0,15
Ronald R Donatucci,,3,0,15
Ross Feinberg,,,0,15
Total,80,73,0,15
