col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,District Council 6th District,Mayor,,,,,1
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,1
Bobby Henon,2,51,10,1,0,0,1
Jim Kenney,,6,0,0,0,0,1
Melissa Murray Bailey,,,3,0,0,0,1
James Foster,,,,1,0,0,1
Boris Kindij,,,,,0,0,1
Osborne Hart,,,,,,0,1
Total,64,57,13,2,0,0,1
,District Council 6th District,Mayor,,,,,2
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,2
Bobby Henon,1,51,6,2,0,0,2
Jim Kenney,,9,0,0,0,0,2
Melissa Murray Bailey,,,3,0,0,0,2
James Foster,,,,0,0,0,2
Boris Kindij,,,,,0,0,2
Osborne Hart,,,,,,0,2
Total,60,60,9,2,0,0,2
,District Council 6th District,Mayor,,,,,3
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,3
Bobby Henon,6,55,9,0,0,0,3
Jim Kenney,,8,0,0,0,0,3
Melissa Murray Bailey,,,12,0,0,0,3
Boris Kindij,,,,0,0,0,3
James Foster,,,,,0,0,3
Osborne Hart,,,,,,0,3
Total,70,63,21,0,0,0,3
,District Council 6th District,Mayor,,,,,4
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,4
Bobby Henon,8,50,11,0,0,0,4
Jim Kenney,,14,0,0,0,0,4
Melissa Murray Bailey,,,15,0,0,0,4
James Foster,,,,2,0,0,4
Boris Kindij,,,,,0,0,4
Osborne Hart,,,,,,0,4
Total,69,64,26,2,0,0,4
,Mayor,,,,,District Council 6th District,5
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Bobby Henon,5
Jim Kenney,8,0,0,0,0,29,5
Melissa Murray Bailey,,7,0,0,0,2,5
Boris Kindij,,,0,0,0,0,5
James Foster,,,,0,0,0,5
Osborne Hart,,,,,0,0,5
Bobby Henon,,,,,,1,5
Total,37,9,0,0,0,32,5
,Mayor,,,,,District Council 6th District,6
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Bobby Henon,6
Jim Kenney,15,0,0,0,0,50,6
Melissa Murray Bailey,,10,0,0,0,9,6
Boris Kindij,,,0,0,0,0,6
James Foster,,,,0,0,0,6
Osborne Hart,,,,,0,0,6
Bobby Henon,,,,,,4,6
Total,65,19,0,0,0,63,6
,District Council 6th District,Mayor,,,,,7
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Osborne Hart,Boris Kindij,7
Bobby Henon,3,32,10,0,0,0,7
Jim Kenney,,4,0,0,0,0,7
Melissa Murray Bailey,,,13,0,0,0,7
James Foster,,,,1,0,0,7
Osborne Hart,,,,,1,0,7
Boris Kindij,,,,,,0,7
Total,45,36,23,1,1,0,7
,Mayor,,,,,District Council 6th District,8
,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,Bobby Henon,8
Jim Kenney,10,0,0,0,0,40,8
Melissa Murray Bailey,,11,0,0,0,7,8
James Foster,,,0,0,0,1,8
Boris Kindij,,,,0,0,0,8
Osborne Hart,,,,,0,0,8
Bobby Henon,,,,,,1,8
Total,50,18,1,0,0,49,8
,District Council 6th District,Mayor,,,,,9
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,9
Bobby Henon,1,63,9,0,0,0,9
Jim Kenney,,8,0,0,0,0,9
Melissa Murray Bailey,,,8,0,0,0,9
Boris Kindij,,,,0,0,0,9
James Foster,,,,,0,0,9
Osborne Hart,,,,,,0,9
Total,73,71,17,0,0,0,9
,District Council 6th District,Mayor,,,,,10
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,10
Bobby Henon,1,70,9,0,0,0,10
Jim Kenney,,10,0,0,0,0,10
Melissa Murray Bailey,,,11,0,0,0,10
Boris Kindij,,,,0,0,0,10
James Foster,,,,,0,0,10
Osborne Hart,,,,,,0,10
Total,80,80,20,0,0,0,10
,District Council 6th District,Mayor,,,,,11
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,11
Bobby Henon,2,50,6,2,0,0,11
Jim Kenney,,7,0,0,0,0,11
Melissa Murray Bailey,,,9,0,0,0,11
James Foster,,,,0,0,0,11
Boris Kindij,,,,,1,0,11
Osborne Hart,,,,,,0,11
Total,60,57,15,2,1,0,11
,Mayor,,,,,District Council 6th District,12
,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,Bobby Henon,12
Jim Kenney,15,0,0,0,0,62,12
Melissa Murray Bailey,,10,0,0,0,8,12
Boris Kindij,,,0,0,0,0,12
James Foster,,,,0,0,0,12
Osborne Hart,,,,,0,0,12
Bobby Henon,,,,,,4,12
Total,77,18,0,0,0,74,12
,District Council 6th District,Mayor,,,,,13
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,James Foster,Boris Kindij,Osborne Hart,13
Bobby Henon,4,87,9,2,0,0,13
Jim Kenney,,8,0,0,0,0,13
Melissa Murray Bailey,,,17,0,0,0,13
James Foster,,,,0,0,0,13
Boris Kindij,,,,,0,0,13
Osborne Hart,,,,,,0,13
Total,102,95,26,2,0,0,13
,District Council 6th District,Mayor,,,,,14
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,Boris Kindij,James Foster,Osborne Hart,14
Bobby Henon,2,59,12,1,0,0,14
Jim Kenney,,7,0,0,0,0,14
Melissa Murray Bailey,,,15,0,0,0,14
Boris Kindij,,,,0,0,0,14
James Foster,,,,,0,0,14
Osborne Hart,,,,,,0,14
Total,74,66,27,1,0,0,14
,District Council 6th District,Mayor,,,,,15
,Bobby Henon,Jim Kenney,Melissa Murray Bailey,Osborne Hart,Boris Kindij,James Foster,15
Bobby Henon,7,68,12,2,1,0,15
Jim Kenney,,13,0,0,0,0,15
Melissa Murray Bailey,,,15,0,0,0,15
