col_1,col_2,col_3,col_4,col_5,col_6,division
,District Council 9th District,,,Sheriff,,1
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,1
Cherelle Parker,10,0,0,47,4,1
Kevin Strickland,,3,0,0,2,1
Bobbie T Curry,,,0,0,0,1
Jewell Williams,,,,4,0,1
Christopher Sawyer,,,,,1,1
Total,61,5,0,51,7,1
,District Council 9th District,,,Sheriff,,2
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,2
Cherelle Parker,15,0,0,74,2,2
Kevin Strickland,,0,0,1,9,2
Bobbie T Curry,,,0,0,0,2
Jewell Williams,,,,2,0,2
Christopher Sawyer,,,,,1,2
Total,91,10,0,77,12,2
,District Council 9th District,,,Sheriff,,3
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,3
Cherelle Parker,4,0,0,62,0,3
Kevin Strickland,,2,0,0,12,3
Bobbie T Curry,,,0,1,2,3
Jewell Williams,,,,1,0,3
Christopher Sawyer,,,,,0,3
Total,66,14,3,64,14,3
,Sheriff,,District Council 9th District,,,4
,Jewell Williams,Christopher Sawyer,Cherelle Parker,Kevin Strickland,Bobbie T Curry,4
Jewell Williams,8,0,94,0,1,4
Christopher Sawyer,,1,2,11,0,4
Cherelle Parker,,,5,0,0,4
Kevin Strickland,,,,1,0,4
Bobbie T Curry,,,,,0,4
Total,103,14,101,12,1,4
,Sheriff,,District Council 9th District,,,5
,Jewell Williams,Christopher Sawyer,Cherelle Parker,Kevin Strickland,Bobbie T Curry,5
Jewell Williams,5,0,80,2,2,5
Christopher Sawyer,,2,1,8,0,5
Cherelle Parker,,,5,0,0,5
Kevin Strickland,,,,0,0,5
Bobbie T Curry,,,,,0,5
Total,89,11,86,10,2,5
,District Council 9th District,,,Sheriff,,6
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,6
Cherelle Parker,5,0,0,64,2,6
Kevin Strickland,,1,0,2,10,6
Bobbie T Curry,,,0,0,1,6
Jewell Williams,,,,1,0,6
Christopher Sawyer,,,,,2,6
Total,71,13,1,67,15,6
,District Council 9th District,,,Sheriff,,7
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,7
Cherelle Parker,3,0,0,61,4,7
Kevin Strickland,,1,0,1,6,7
Bobbie T Curry,,,0,1,2,7
Jewell Williams,,,,2,0,7
Christopher Sawyer,,,,,0,7
Total,68,8,3,65,12,7
,Sheriff,,District Council 9th District,,,8
,Jewell Williams,Christopher Sawyer,Cherelle Parker,Kevin Strickland,Bobbie T Curry,8
Jewell Williams,3,0,42,1,1,8
Christopher Sawyer,,2,1,10,0,8
Cherelle Parker,,,2,0,0,8
Kevin Strickland,,,,0,0,8
Bobbie T Curry,,,,,0,8
Total,47,13,45,11,1,8
,District Council 9th District,,,Sheriff,,9
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,9
Cherelle Parker,6,0,0,38,1,9
Kevin Strickland,,0,0,0,11,9
Bobbie T Curry,,,0,0,0,9
Jewell Williams,,,,4,0,9
Christopher Sawyer,,,,,0,9
Total,45,11,0,42,12,9
,District Council 9th District,,,Sheriff,,10
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,10
Cherelle Parker,2,0,0,43,3,10
Kevin Strickland,,1,0,3,12,10
Bobbie T Curry,,,0,0,1,10
Jewell Williams,,,,1,0,10
Christopher Sawyer,,,,,0,10
Total,48,16,1,47,16,10
,District Council 9th District,,,Sheriff,,11
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,11
Cherelle Parker,10,0,0,66,0,11
Kevin Strickland,,2,0,1,9,11
Bobbie T Curry,,,0,0,3,11
Jewell Williams,,,,1,0,11
Christopher Sawyer,,,,,2,11
Total,76,12,3,68,14,11
,District Council 9th District,,,Sheriff,,12
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,12
Cherelle Parker,7,0,0,77,2,12
Kevin Strickland,,4,0,3,28,12
Bobbie T Curry,,,0,1,0,12
Jewell Williams,,,,3,0,12
Christopher Sawyer,,,,,3,12
Total,86,35,1,84,33,12
,Sheriff,,District Council 9th District,,,13
,Jewell Williams,Christopher Sawyer,Cherelle Parker,Kevin Strickland,Bobbie T Curry,13
Jewell Williams,4,0,55,4,0,13
Christopher Sawyer,,3,1,8,0,13
Cherelle Parker,,,3,0,0,13
Kevin Strickland,,,,1,0,13
Bobbie T Curry,,,,,0,13
Total,63,12,59,13,0,13
,District Council 9th District,,,Sheriff,,14
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,14
Cherelle Parker,3,0,0,56,6,14
Kevin Strickland,,2,0,2,18,14
Bobbie T Curry,,,0,1,2,14
Jewell Williams,,,,4,0,14
Christopher Sawyer,,,,,3,14
Total,65,22,3,63,29,14
,Sheriff,,District Council 9th District,,,15
,Jewell Williams,Christopher Sawyer,Cherelle Parker,Kevin Strickland,Bobbie T Curry,15
Jewell Williams,13,0,68,5,1,15
Christopher Sawyer,,4,3,32,2,15
Cherelle Parker,,,6,0,0,15
Kevin Strickland,,,,4,0,15
Bobbie T Curry,,,,,0,15
Total,87,41,77,41,3,15
,District Council 9th District,,,Sheriff,,16
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,16
Cherelle Parker,5,0,0,46,5,16
Kevin Strickland,,7,0,2,25,16
Bobbie T Curry,,,0,1,0,16
Jewell Williams,,,,6,0,16
Christopher Sawyer,,,,,3,16
Total,56,34,1,55,33,16
,District Council 9th District,,,Sheriff,,17
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,17
Cherelle Parker,1,0,0,46,7,17
Kevin Strickland,,5,0,1,16,17
Bobbie T Curry,,,0,0,1,17
Jewell Williams,,,,3,0,17
Christopher Sawyer,,,,,3,17
Total,54,22,1,50,27,17
,District Council 9th District,,,Sheriff,,18
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,18
Cherelle Parker,5,0,0,57,3,18
Kevin Strickland,,2,0,0,24,18
Bobbie T Curry,,,0,2,1,18
Jewell Williams,,,,3,0,18
Christopher Sawyer,,,,,4,18
Total,65,26,3,62,32,18
,District Council 9th District,,,Sheriff,,19
,Cherelle Parker,Kevin Strickland,Bobbie T Curry,Jewell Williams,Christopher Sawyer,19
Cherelle Parker,10,0,0,62,6,19
Kevin Strickland,,4,0,7,20,19
Bobbie T Curry,,,0,1,0,19
Jewell Williams,,,,3,0,19
Christopher Sawyer,,,,,5,19
Total,78,31,1,73,31,19
,Sheriff,,District Council 9th District,,,20
,Christopher Sawyer,Jewell Williams,Kevin Strickland,Cherelle Parker,Bobbie T Curry,20
Christopher Sawyer,3,0,46,5,1,20
Jewell Williams,,6,3,44,0,20
Kevin Strickland,,,6,0,0,20
Cherelle Parker,,,,3,0,20
Bobbie T Curry,,,,,0,20
Total,55,53,55,52,1,20
,Sheriff,,District Council 9th District,,,21
,Christopher Sawyer,Jewell Williams,Kevin Strickland,Cherelle Parker,Bobbie T Curry,21
Christopher Sawyer,8,0,59,10,1,21
Jewell Williams,,8,8,56,0,21
Kevin Strickland,,,11,0,0,21
Cherelle Parker,,,,3,0,21
Bobbie T Curry,,,,,1,21
Total,78,72,78,69,2,21
,Sheriff,,District Council 9th District,,,22
,Jewell Williams,Christopher Sawyer,Cherelle Parker,Kevin Strickland,Bobbie T Curry,22
Jewell Williams,4,0,79,5,1,22
Christopher Sawyer,,4,2,13,0,22
Cherelle Parker,,,6,0,0,22
Kevin Strickland,,,,3,0,22
Bobbie T Curry,,,,,1,22
Total,89,19,87,21,2,22
,Sheriff,,District Council 9th District,,,23
