col_1,col_2,col_3,col_4,col_5,col_6,division
,Judge Of The Municipal Court,,,Sheriff,,1
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Christopher Sawyer,Jewell Williams,1
Christine Hope,20,77,73,110,59,1
Sharon Williams Losier,,1,72,35,44,1
Joffie C Pittman,,,1,30,42,1
Christopher Sawyer,,,,20,0,1
Jewell Williams,,,,,7,1
Total,194,85,78,136,70,1
,Judge Of The Municipal Court,,,Sheriff,,2
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Christopher Sawyer,Jewell Williams,2
Christine Hope,19,54,52,71,52,2
Sharon Williams Losier,,4,51,17,43,2
Joffie C Pittman,,,5,14,40,2
Christopher Sawyer,,,,19,0,2
Jewell Williams,,,,,8,2
Total,145,66,61,91,70,2
,Judge Of The Municipal Court,,,Sheriff,,3
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Jewell Williams,Christopher Sawyer,3
Christine Hope,3,50,51,42,26,3
Joffie C Pittman,,1,50,39,11,3
Sharon Williams Losier,,,0,39,12,3
Jewell Williams,,,,1,0,3
Christopher Sawyer,,,,,4,3
Total,74,54,54,49,30,3
,Judge Of The Municipal Court,,,Sheriff,,4
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,4
Christine Hope,9,131,133,122,76,4
Sharon Williams Losier,,1,134,117,22,4
Joffie C Pittman,,,3,106,27,4
Jewell Williams,,,,17,0,4
Christopher Sawyer,,,,,8,4
Total,216,149,146,154,90,4
,Judge Of The Municipal Court,,,Sheriff,,5
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,5
Christine Hope,5,31,30,27,24,5
Sharon Williams Losier,,2,28,21,10,5
Joffie C Pittman,,,0,21,9,5
Jewell Williams,,,,6,0,5
Christopher Sawyer,,,,,3,5
Total,59,36,33,36,30,5
,Judge Of The Municipal Court,,,Sheriff,,6
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,6
Christine Hope,1,26,26,23,12,6
Sharon Williams Losier,,0,26,23,4,6
Joffie C Pittman,,,0,21,4,6
Jewell Williams,,,,1,0,6
Christopher Sawyer,,,,,1,6
Total,37,28,26,26,13,6
,Judge Of The Municipal Court,,,Sheriff,,7
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Christopher Sawyer,Jewell Williams,7
Christine Hope,25,119,119,109,94,7
Sharon Williams Losier,,7,119,36,83,7
Joffie C Pittman,,,0,34,84,7
Christopher Sawyer,,,,15,0,7
Jewell Williams,,,,,9,7
Total,236,133,126,127,109,7
,Judge Of The Municipal Court,,,Sheriff,,8
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,8
Christine Hope,10,36,34,31,30,8
Sharon Williams Losier,,1,34,30,9,8
Joffie C Pittman,,,0,27,7,8
Jewell Williams,,,,4,0,8
Christopher Sawyer,,,,,5,8
Total,72,41,35,39,36,8
,Judge Of The Municipal Court,,,Sheriff,,9
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,9
Christine Hope,10,70,68,68,60,9
Sharon Williams Losier,,0,68,56,15,9
Joffie C Pittman,,,1,57,13,9
Jewell Williams,,,,7,0,9
Christopher Sawyer,,,,,5,9
Total,140,73,72,77,69,9
,Judge Of The Municipal Court,,,Sheriff,,10
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Christopher Sawyer,Jewell Williams,10
Christine Hope,18,74,74,88,64,10
Joffie C Pittman,,0,75,31,52,10
Sharon Williams Losier,,,0,26,53,10
Christopher Sawyer,,,,11,0,10
Jewell Williams,,,,,5,10
Total,174,86,83,107,77,10
,Judge Of The Municipal Court,,,Sheriff,,11
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Jewell Williams,Christopher Sawyer,11
Christine Hope,7,65,67,63,30,11
Joffie C Pittman,,1,66,58,11,11
Sharon Williams Losier,,,2,56,11,11
Jewell Williams,,,,6,0,11
Christopher Sawyer,,,,,6,11
Total,104,73,72,75,37,11
,Sheriff,,Judge Of The Municipal Court,,,12
,Jewell Williams,Christopher Sawyer,Christine Hope,Sharon Williams Losier,Joffie C Pittman,12
Jewell Williams,2,0,39,41,36,12
Christopher Sawyer,,0,6,2,2,12
Christine Hope,,,3,35,35,12
Sharon Williams Losier,,,,0,38,12
Joffie C Pittman,,,,,0,12
Total,49,6,48,43,38,12
,Judge Of The Municipal Court,,,Sheriff,,13
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,13
Christine Hope,3,43,44,44,14,13
Sharon Williams Losier,,1,45,41,9,13
Joffie C Pittman,,,2,38,8,13
Jewell Williams,,,,4,0,13
Christopher Sawyer,,,,,1,13
Total,63,53,50,57,17,13
,Judge Of The Municipal Court,,,Sheriff,,14
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,14
Christine Hope,5,27,25,37,8,14
Sharon Williams Losier,,3,27,32,1,14
Joffie C Pittman,,,3,26,1,14
Jewell Williams,,,,1,0,14
Christopher Sawyer,,,,,2,14
Total,50,36,30,44,10,14
,Judge Of The Municipal Court,,,Sheriff,,15
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Jewell Williams,Christopher Sawyer,15
Christine Hope,5,41,41,44,8,15
Joffie C Pittman,,1,41,41,1,15
Sharon Williams Losier,,,0,39,1,15
Jewell Williams,,,,3,0,15
Christopher Sawyer,,,,,0,15
Total,59,45,43,50,8,15
,Judge Of The Municipal Court,,,Sheriff,,16
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,16
Christine Hope,4,42,44,42,31,16
Sharon Williams Losier,,2,43,39,7,16
Joffie C Pittman,,,0,36,9,16
Jewell Williams,,,,2,0,16
Christopher Sawyer,,,,,1,16
Total,78,49,46,49,33,16
,Judge Of The Municipal Court,,,Sheriff,,17
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Jewell Williams,Christopher Sawyer,17
Christine Hope,8,60,60,55,40,17
Joffie C Pittman,,1,59,48,16,17
Sharon Williams Losier,,,0,47,17,17
Jewell Williams,,,,10,0,17
Christopher Sawyer,,,,,5,17
Total,105,66,66,73,48,17
,Judge Of The Municipal Court,,,Sheriff,,18
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Jewell Williams,Christopher Sawyer,18
Christine Hope,3,57,55,64,15,18
Joffie C Pittman,,0,57,59,5,18
Sharon Williams Losier,,,1,58,2,18
Jewell Williams,,,,7,0,18
Christopher Sawyer,,,,,2,18
Total,82,64,61,79,19,18
,Judge Of The Municipal Court,,,Sheriff,,19
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Christopher Sawyer,Jewell Williams,19
Christine Hope,7,51,47,45,42,19
Sharon Williams Losier,,3,47,12,41,19
Joffie C Pittman,,,0,12,35,19
Christopher Sawyer,,,,7,0,19
Jewell Williams,,,,,0,19
Total,97,59,49,54,47,19
,Judge Of The Municipal Court,,,Sheriff,,20
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,20
Christine Hope,29,170,169,158,106,20
Sharon Williams Losier,,7,164,144,35,20
Joffie C Pittman,,,2,135,38,20
Jewell Williams,,,,24,0,20
Christopher Sawyer,,,,,20,20
Total,300,194,182,200,132,20
,Judge Of The Municipal Court,,,Sheriff,,21
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,21
Christine Hope,7,43,42,41,25,21
Sharon Williams Losier,,0,41,33,12,21
Joffie C Pittman,,,0,30,13,21
Jewell Williams,,,,2,0,21
Christopher Sawyer,,,,,1,21
Total,74,46,43,45,28,21
,Judge Of The Municipal Court,,,Sheriff,,22
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,22
Christine Hope,6,44,43,42,31,22
Sharon Williams Losier,,1,42,33,12,22
Joffie C Pittman,,,0,31,12,22
Jewell Williams,,,,4,0,22
Christopher Sawyer,,,,,4,22
Total,80,48,45,47,36,22
,Judge Of The Municipal Court,,,Sheriff,,23
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Christopher Sawyer,Jewell Williams,23
Christine Hope,14,62,61,74,51,23
Sharon Williams Losier,,1,60,20,43,23
Joffie C Pittman,,,1,18,44,23
Christopher Sawyer,,,,7,0,23
Jewell Williams,,,,,7,23
Total,143,67,66,82,64,23
,Judge Of The Municipal Court,,,Sheriff,,All
,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Jewell Williams,Christopher Sawyer,All
Christine Hope,221,"1,409","1,392","1,304","1,039",All
Sharon Williams Losier,,37,"1,387","1,156",327,All
Joffie C Pittman,,,22,"1,106",326,All
Jewell Williams,,,,137,0,All
Christopher Sawyer,,,,,147,All
Total,"2,630","1,585","1,514","1,586","1,239",All
