col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,All
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Sherrie Cohen,Thomas Wyatt,Helen Gym,Wilson Alexander,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,Omar Sabir,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,All
Derek S Green,117,"1,747","1,457","1,294","1,130",500,468,375,286,332,241,251,162,181,123,66,"1,341","1,021","1,297",382,260,235,All
Isaiah Thomas,,236,"1,462","1,245","1,119",646,418,217,314,247,274,94,105,170,149,39,"1,381",669,"1,225",352,213,164,All
Blondell Reynolds Brown,,,48,"1,123",914,668,400,245,354,194,283,117,128,117,175,49,"1,198",686,"1,059",355,247,144,All
William K Greenlee,,,,9,"1,059",312,232,93,143,75,120,44,49,51,79,32,"1,100",294,"1,099",169,98,92,All
Ed Neilson,,,,,5,158,115,44,100,58,91,20,29,36,33,21,990,165,"1,033",119,66,52,All
W Wilson Goode Jr,,,,,,25,257,139,243,106,203,69,72,83,152,24,437,491,229,213,170,99,All
Allan Domb,,,,,,,41,171,173,217,129,109,149,73,86,39,261,412,198,281,209,100,All
Jenne Ayers,,,,,,,,38,134,118,106,177,119,47,40,36,154,402,120,185,136,130,All
Sherrie Cohen,,,,,,,,,11,116,149,68,108,55,92,34,209,297,170,185,152,70,All
Thomas Wyatt,,,,,,,,,,7,63,93,134,128,51,30,125,268,84,219,175,68,All
Helen Gym,,,,,,,,,,,20,33,65,61,51,29,209,214,165,121,113,55,All
Wilson Alexander,,,,,,,,,,,,5,49,35,23,21,64,274,45,93,71,93,All
Carla M Cain,,,,,,,,,,,,,4,25,26,22,60,168,77,176,160,31,All
Paul Steinke,,,,,,,,,,,,,,2,15,22,103,133,67,60,54,35,All
Frank Rizzo,,,,,,,,,,,,,,,5,12,89,163,53,76,57,42,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,1,34,66,27,46,33,13,All
Omar Sabir,,,,,,,,,,,,,,,,,23,263,"1,099",81,56,67,All
Anthony Clark,,,,,,,,,,,,,,,,,,73,108,270,231,132,All
Lisa M Deeley,,,,,,,,,,,,,,,,,,,8,93,56,54,All
Tracey L Gordon,,,,,,,,,,,,,,,,,,,,26,135,43,All
Carol A Jenkins,,,,,,,,,,,,,,,,,,,,,10,10,All
Will Mega,,,,,,,,,,,,,,,,,,,,,,8,All
Total,"3,038","2,817","2,304","1,647","1,348","1,107","1,025",732,655,614,567,415,391,312,310,129,"1,833","1,787","1,607",821,591,387,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,1
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,Allan Domb,Ed Neilson,W Wilson Goode Jr,Jenne Ayers,Thomas Wyatt,Paul Steinke,Wilson Alexander,Helen Gym,Sherrie Cohen,Carla M Cain,Frank Rizzo,Marnie Aument Loughrey,Anthony Clark,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Will Mega,Carol A Jenkins,1
