col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Alice Beck Dubow,Robert Colville,Blondell Reynolds Brown,Isaiah Thomas,Derek S Green,W Wilson Goode Jr,William K Greenlee,Allan Domb,Ed Neilson,Helen Gym,Sherrie Cohen,Wilson Alexander,Jenne Ayers,Thomas Wyatt,Carla M Cain,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,1
Alice Beck Dubow,4,0,76,73,72,42,40,31,23,19,21,18,10,11,9,9,7,0,1
Robert Colville,,0,4,6,6,3,4,3,3,2,0,1,4,1,0,1,1,2,1
Blondell Reynolds Brown,,,6,66,46,40,35,31,20,15,20,9,5,7,6,7,4,1,1
Isaiah Thomas,,,,0,50,42,38,24,27,13,15,6,3,8,9,7,5,0,1
Derek S Green,,,,,5,21,32,14,22,5,11,13,8,7,5,3,3,2,1
W Wilson Goode Jr,,,,,,2,13,21,4,9,9,4,2,3,3,7,4,0,1
William K Greenlee,,,,,,,0,6,22,5,7,4,1,5,3,3,1,1,1
Allan Domb,,,,,,,,5,1,6,9,4,3,3,3,4,0,1,1
Ed Neilson,,,,,,,,,1,1,3,0,0,0,1,1,0,0,1
Helen Gym,,,,,,,,,,4,7,1,1,2,2,3,3,0,1
Sherrie Cohen,,,,,,,,,,,0,2,4,3,4,1,1,0,1
Wilson Alexander,,,,,,,,,,,,0,6,4,2,0,1,0,1
Jenne Ayers,,,,,,,,,,,,,2,2,3,0,0,0,1
Thomas Wyatt,,,,,,,,,,,,,,1,2,0,3,0,1
Carla M Cain,,,,,,,,,,,,,,,0,1,0,0,1
Frank Rizzo,,,,,,,,,,,,,,,,0,2,0,1
Paul Steinke,,,,,,,,,,,,,,,,,0,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,1
Total,130,15,96,93,90,54,48,45,29,27,25,19,18,16,12,10,9,2,1
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,2
,Alice Beck Dubow,Robert Colville,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,William K Greenlee,W Wilson Goode Jr,Ed Neilson,Allan Domb,Sherrie Cohen,Jenne Ayers,Helen Gym,Wilson Alexander,Thomas Wyatt,Frank Rizzo,Paul Steinke,Carla M Cain,Marnie Aument Loughrey,2
Alice Beck Dubow,5,0,107,108,92,72,66,42,35,36,31,25,18,15,16,8,11,5,2
Robert Colville,,0,9,5,9,5,4,5,8,3,4,1,6,4,2,1,1,1,2
Derek S Green,,,9,74,81,72,40,49,30,19,20,10,12,17,8,9,6,3,2
Blondell Reynolds Brown,,,,4,76,62,57,37,28,27,17,21,14,11,15,3,5,0,2
Isaiah Thomas,,,,,4,69,46,53,26,25,12,16,11,12,7,6,3,1,2
William K Greenlee,,,,,,1,31,52,20,14,9,9,7,4,6,2,3,1,2
W Wilson Goode Jr,,,,,,,1,15,15,24,10,11,10,6,12,3,5,0,2
Ed Neilson,,,,,,,,0,12,10,7,3,2,2,2,0,1,0,2
Allan Domb,,,,,,,,,4,11,9,5,5,8,4,6,5,1,2
Sherrie Cohen,,,,,,,,,,1,11,6,3,7,8,3,4,4,2
Jenne Ayers,,,,,,,,,,,2,5,6,4,5,4,8,3,2
Helen Gym,,,,,,,,,,,,0,4,3,3,2,2,2,2
Wilson Alexander,,,,,,,,,,,,,0,5,2,2,0,1,2
Thomas Wyatt,,,,,,,,,,,,,,0,3,5,5,2,2
Frank Rizzo,,,,,,,,,,,,,,,0,0,2,1,2
Paul Steinke,,,,,,,,,,,,,,,,0,3,3,2
Carla M Cain,,,,,,,,,,,,,,,,,0,2,2
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,2
Total,175,21,151,133,132,100,84,67,58,48,42,29,26,25,20,15,14,6,2
