col_1,col_2,col_3,col_4,division
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,All
,Mark F Squilla,Todd Eagen,Michael Wojcik,All
Mark F Squilla,396,576,326,All
Todd Eagen,,85,0,All
Michael Wojcik,,,63,All
Total,"1,298",661,389,All
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,1
,Mark F Squilla,Todd Eagen,Michael Wojcik,1
Mark F Squilla,16,39,20,1
Todd Eagen,,5,0,1
Michael Wojcik,,,3,1
Total,75,44,23,1
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,3
,Mark F Squilla,Todd Eagen,Michael Wojcik,3
Mark F Squilla,15,22,14,3
Todd Eagen,,3,0,3
Michael Wojcik,,,0,3
Total,51,25,14,3
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,4
,Mark F Squilla,Todd Eagen,Michael Wojcik,4
Mark F Squilla,25,46,22,4
Todd Eagen,,10,0,4
Michael Wojcik,,,7,4
Total,93,56,29,4
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,5
,Mark F Squilla,Todd Eagen,Michael Wojcik,5
Mark F Squilla,24,49,16,5
Todd Eagen,,9,0,5
Michael Wojcik,,,9,5
Total,89,58,25,5
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,6
,Mark F Squilla,Todd Eagen,Michael Wojcik,6
Mark F Squilla,16,26,14,6
Todd Eagen,,2,0,6
Michael Wojcik,,,3,6
Total,56,28,17,6
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,7
,Mark F Squilla,Todd Eagen,Michael Wojcik,7
Mark F Squilla,25,83,23,7
Todd Eagen,,8,0,7
Michael Wojcik,,,5,7
Total,131,91,28,7
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,8
,Mark F Squilla,Todd Eagen,Michael Wojcik,8
Mark F Squilla,20,21,18,8
Todd Eagen,,6,0,8
Michael Wojcik,,,5,8
Total,59,27,23,8
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,10
,Mark F Squilla,Todd Eagen,Michael Wojcik,10
Mark F Squilla,12,11,9,10
Todd Eagen,,1,0,10
Michael Wojcik,,,2,10
Total,32,12,11,10
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,11
,Mark F Squilla,Michael Wojcik,Todd Eagen,11
Mark F Squilla,16,26,20,11
Michael Wojcik,,6,0,11
Todd Eagen,,,4,11
Total,62,32,24,11
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,12
,Mark F Squilla,Todd Eagen,Michael Wojcik,12
Mark F Squilla,22,18,14,12
Todd Eagen,,6,0,12
Michael Wojcik,,,0,12
Total,54,24,14,12
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,13
,Mark F Squilla,Todd Eagen,Michael Wojcik,13
Mark F Squilla,29,37,25,13
Todd Eagen,,4,0,13
Michael Wojcik,,,3,13
Total,91,41,28,13
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,14
,Mark F Squilla,Todd Eagen,Michael Wojcik,14
Mark F Squilla,19,43,19,14
Todd Eagen,,4,0,14
Michael Wojcik,,,4,14
Total,81,47,23,14
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,15
,Mark F Squilla,Michael Wojcik,Todd Eagen,15
Mark F Squilla,32,22,21,15
Michael Wojcik,,6,0,15
Todd Eagen,,,3,15
Total,75,28,24,15
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,16
,Mark F Squilla,Todd Eagen,Michael Wojcik,16
Mark F Squilla,37,51,28,16
Todd Eagen,,7,0,16
Michael Wojcik,,,4,16
Total,116,58,32,16
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,17
,Mark F Squilla,Todd Eagen,Michael Wojcik,17
Mark F Squilla,20,30,15,17
Todd Eagen,,4,0,17
Michael Wojcik,,,2,17
Total,65,34,17,17
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,18
,Mark F Squilla,Todd Eagen,Michael Wojcik,18
Mark F Squilla,24,28,21,18
Todd Eagen,,3,0,18
Michael Wojcik,,,1,18
Total,73,31,22,18
,District Council 1st District - Democrat,Judge Of The Commonwealth Court - Democrat,,19
,Mark F Squilla,Todd Eagen,Michael Wojcik,19
Mark F Squilla,44,31,20,19
Todd Eagen,,6,0,19
Michael Wojcik,,,3,19
Total,95,37,23,19
