col_1,col_2,col_3,col_4,division
,District Council 7th District - Democrat,,District Council 8th District - Democrat,1
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,1
Maria Quinones Sanchez,78,0,0,1
Manny Morales,,29,0,1
Cindy Bass,,,0,1
Total,78,29,0,1
,District Council 7th District - Democrat,,District Council 8th District - Democrat,2
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,2
Maria Quinones Sanchez,45,0,0,2
Manny Morales,,39,0,2
Cindy Bass,,,0,2
Total,45,39,0,2
,District Council 7th District - Democrat,,District Council 8th District - Democrat,3
,Manny Morales,Maria Quinones Sanchez,Cindy Bass,3
Manny Morales,58,0,0,3
Maria Quinones Sanchez,,38,0,3
Cindy Bass,,,0,3
Total,58,38,0,3
,District Council 7th District - Democrat,,District Council 8th District - Democrat,4
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,4
Maria Quinones Sanchez,54,0,0,4
Manny Morales,,13,0,4
Cindy Bass,,,0,4
Total,54,13,0,4
,District Council 7th District - Democrat,,District Council 8th District - Democrat,5
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,5
Maria Quinones Sanchez,60,0,0,5
Manny Morales,,32,0,5
Cindy Bass,,,0,5
Total,60,32,0,5
,District Council 7th District - Democrat,,District Council 8th District - Democrat,6
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,6
Maria Quinones Sanchez,32,0,0,6
Manny Morales,,31,0,6
Cindy Bass,,,0,6
Total,32,31,0,6
,District Council 7th District - Democrat,,District Council 8th District - Democrat,7
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,7
Maria Quinones Sanchez,74,0,0,7
Manny Morales,,29,0,7
Cindy Bass,,,0,7
Total,74,29,0,7
,District Council 7th District - Democrat,,District Council 8th District - Democrat,8
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,8
Maria Quinones Sanchez,53,0,0,8
Manny Morales,,28,0,8
Cindy Bass,,,0,8
Total,53,28,0,8
,District Council 7th District - Democrat,,District Council 8th District - Democrat,9
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,9
Maria Quinones Sanchez,50,0,0,9
Manny Morales,,33,0,9
Cindy Bass,,,0,9
Total,50,33,0,9
,District Council 7th District - Democrat,,District Council 8th District - Democrat,10
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,10
Maria Quinones Sanchez,46,0,0,10
Manny Morales,,20,0,10
Cindy Bass,,,0,10
Total,46,20,0,10
,District Council 7th District - Democrat,,District Council 8th District - Democrat,11
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,11
Maria Quinones Sanchez,53,0,0,11
Manny Morales,,29,0,11
Cindy Bass,,,0,11
Total,53,29,0,11
,District Council 8th District - Democrat,District Council 7th District - Democrat,,13
,Cindy Bass,Manny Morales,Maria Quinones Sanchez,13
Cindy Bass,125,0,0,13
Manny Morales,,0,0,13
Maria Quinones Sanchez,,,0,13
Total,125,0,0,13
,District Council 7th District - Democrat,,District Council 8th District - Democrat,14
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,14
Maria Quinones Sanchez,75,0,0,14
Manny Morales,,30,0,14
Cindy Bass,,,0,14
Total,75,30,0,14
,District Council 8th District - Democrat,District Council 7th District - Democrat,,17
,Cindy Bass,Manny Morales,Maria Quinones Sanchez,17
Cindy Bass,86,0,0,17
Manny Morales,,0,0,17
Maria Quinones Sanchez,,,0,17
Total,86,0,0,17
,District Council 8th District - Democrat,District Council 7th District - Democrat,,20
,Cindy Bass,Manny Morales,Maria Quinones Sanchez,20
Cindy Bass,103,0,0,20
Manny Morales,,0,0,20
Maria Quinones Sanchez,,,0,20
Total,103,0,0,20
,District Council 8th District - Democrat,District Council 7th District - Democrat,,21
,Cindy Bass,Manny Morales,Maria Quinones Sanchez,21
Cindy Bass,46,0,0,21
Manny Morales,,0,0,21
Maria Quinones Sanchez,,,0,21
Total,46,0,0,21
,District Council 7th District - Democrat,,District Council 8th District - Democrat,22
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,22
Maria Quinones Sanchez,52,0,0,22
Manny Morales,,24,0,22
Cindy Bass,,,0,22
Total,52,24,0,22
,District Council 7th District - Democrat,,District Council 8th District - Democrat,23
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,23
Maria Quinones Sanchez,29,0,0,23
Manny Morales,,28,0,23
Cindy Bass,,,0,23
Total,29,28,0,23
,District Council 7th District - Democrat,,District Council 8th District - Democrat,All
,Maria Quinones Sanchez,Manny Morales,Cindy Bass,All
Maria Quinones Sanchez,739,0,0,All
Manny Morales,,423,0,All
Cindy Bass,,,360,All
Total,739,423,360,All
