col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,President And Vice President Of The United States,,,,,Auditor General,,,,All
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,All
Hillary Clinton,255,0,0,0,0,"4,970",39,12,5,All
Donald J Trump,,6,0,0,0,13,34,1,1,All
Jill Stein,,,2,0,0,3,1,8,2,All
Gary Johnson,,,,1,0,3,1,2,2,All
Darrell L Castle,,,,,0,0,1,0,0,All
Eugene A Depasquale,,,,,,40,0,0,0,All
John Brown,,,,,,,3,0,0,All
John J Sweeney,,,,,,,,0,0,All
Roy A Minet,,,,,,,,,0,All
Total,"5,281",55,16,9,1,"5,029",79,23,10,All
,President And Vice President Of The United States,,,,,Auditor General,,,,1
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,1
Hillary Clinton,14,0,0,0,0,231,3,1,0,1
Donald J Trump,,2,0,0,0,2,1,0,0,1
Jill Stein,,,1,0,0,1,0,0,0,1
Darrell L Castle,,,,0,0,0,0,0,0,1
Gary Johnson,,,,,0,0,0,0,0,1
Eugene A Depasquale,,,,,,1,0,0,0,1
John Brown,,,,,,,1,0,0,1
John J Sweeney,,,,,,,,0,0,1
Roy A Minet,,,,,,,,,0,1
Total,249,5,2,0,0,235,5,1,0,1
,President And Vice President Of The United States,,,,,Auditor General,,,,2
,Hillary Clinton,Donald J Trump,Gary Johnson,Darrell L Castle,Jill Stein,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,2
Hillary Clinton,14,0,0,0,0,244,2,0,0,2
Donald J Trump,,0,0,0,0,2,1,0,1,2
Gary Johnson,,,0,0,0,0,0,1,0,2
Darrell L Castle,,,,0,0,0,0,0,0,2
Jill Stein,,,,,0,0,0,0,0,2
Eugene A Depasquale,,,,,,1,0,0,0,2
John Brown,,,,,,,1,0,0,2
John J Sweeney,,,,,,,,0,0,2
Roy A Minet,,,,,,,,,0,2
Total,260,4,1,0,0,247,4,1,1,2
,President And Vice President Of The United States,,,,,Auditor General,,,,3
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Eugene A Depasquale,John Brown,Roy A Minet,John J Sweeney,3
Hillary Clinton,13,0,0,0,0,296,0,0,0,3
Donald J Trump,,0,0,0,0,0,1,0,0,3
Gary Johnson,,,0,0,0,0,0,1,0,3
Jill Stein,,,,0,0,1,0,0,0,3
Darrell L Castle,,,,,0,0,0,0,0,3
Eugene A Depasquale,,,,,,4,0,0,0,3
John Brown,,,,,,,0,0,0,3
Roy A Minet,,,,,,,,0,0,3
John J Sweeney,,,,,,,,,0,3
Total,309,1,1,1,0,301,1,1,0,3
,President And Vice President Of The United States,,,,,Auditor General,,,,4
,Hillary Clinton,Donald J Trump,Darrell L Castle,Jill Stein,Gary Johnson,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,4
Hillary Clinton,10,0,0,0,0,267,1,0,0,4
Donald J Trump,,3,0,0,0,2,4,0,0,4
Darrell L Castle,,,0,0,0,0,1,0,0,4
Jill Stein,,,,0,0,0,0,1,0,4
Gary Johnson,,,,,0,0,0,0,0,4
Eugene A Depasquale,,,,,,2,0,0,0,4
John Brown,,,,,,,0,0,0,4
John J Sweeney,,,,,,,,0,0,4
Roy A Minet,,,,,,,,,0,4
Total,278,9,1,1,0,271,6,1,0,4
,President And Vice President Of The United States,,,,,Auditor General,,,,5
,Hillary Clinton,Jill Stein,Donald J Trump,Gary Johnson,Darrell L Castle,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,5
Hillary Clinton,19,0,0,0,0,336,2,0,0,5
Jill Stein,,0,0,0,0,1,0,1,2,5
Donald J Trump,,,0,0,0,0,1,1,0,5
Gary Johnson,,,,0,0,1,0,0,0,5
Darrell L Castle,,,,,0,0,0,0,0,5
Eugene A Depasquale,,,,,,4,0,0,0,5
John Brown,,,,,,,0,0,0,5
John J Sweeney,,,,,,,,0,0,5
Roy A Minet,,,,,,,,,0,5
Total,357,4,2,1,0,342,3,2,2,5
,President And Vice President Of The United States,,,,,Auditor General,,,,6
,Hillary Clinton,Donald J Trump,Darrell L Castle,Gary Johnson,Jill Stein,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,6
Hillary Clinton,14,0,0,0,0,327,3,0,0,6
Donald J Trump,,0,0,0,0,1,2,0,0,6
Darrell L Castle,,,0,0,0,0,0,0,0,6
Gary Johnson,,,,0,0,0,0,0,0,6
Jill Stein,,,,,0,0,0,0,0,6
Eugene A Depasquale,,,,,,2,0,0,0,6
John Brown,,,,,,,0,0,0,6
John J Sweeney,,,,,,,,0,0,6
Roy A Minet,,,,,,,,,0,6
Total,344,3,0,0,0,330,5,0,0,6
,President And Vice President Of The United States,,,,,Auditor General,,,,7
,Hillary Clinton,Donald J Trump,Darrell L Castle,Gary Johnson,Jill Stein,Eugene A Depasquale,John Brown,Roy A Minet,John J Sweeney,7
Hillary Clinton,14,0,0,0,0,219,2,1,0,7
Donald J Trump,,0,0,0,0,0,1,0,0,7
Darrell L Castle,,,0,0,0,0,0,0,0,7
Gary Johnson,,,,0,0,0,0,0,0,7
Jill Stein,,,,,0,0,0,0,0,7
Eugene A Depasquale,,,,,,1,0,0,0,7
John Brown,,,,,,,0,0,0,7
Roy A Minet,,,,,,,,0,0,7
John J Sweeney,,,,,,,,,0,7
Total,236,1,0,0,0,220,3,1,0,7
,President And Vice President Of The United States,,,,,Auditor General,,,,8
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,8
Hillary Clinton,26,0,0,0,0,381,1,2,0,8
Donald J Trump,,1,0,0,0,1,4,0,0,8
Jill Stein,,,0,0,0,0,1,2,0,8
Gary Johnson,,,,0,0,0,0,1,0,8
Darrell L Castle,,,,,0,0,0,0,0,8
Eugene A Depasquale,,,,,,2,0,0,0,8
John Brown,,,,,,,0,0,0,8
John J Sweeney,,,,,,,,0,0,8
Roy A Minet,,,,,,,,,0,8
Total,410,6,3,1,0,384,6,5,0,8
,President And Vice President Of The United States,,,,,Auditor General,,,,9
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,9
Hillary Clinton,18,0,0,0,0,372,3,1,0,9
Donald J Trump,,0,0,0,0,1,3,0,0,9
Jill Stein,,,0,0,0,0,0,1,0,9
Darrell L Castle,,,,0,0,0,0,0,0,9
Gary Johnson,,,,,0,0,0,0,0,9
Eugene A Depasquale,,,,,,2,0,0,0,9
John Brown,,,,,,,0,0,0,9
John J Sweeney,,,,,,,,0,0,9
Roy A Minet,,,,,,,,,0,9
Total,394,4,1,0,0,375,6,2,0,9
,President And Vice President Of The United States,,,,,Auditor General,,,,10
,Hillary Clinton,Donald J Trump,Darrell L Castle,Gary Johnson,Jill Stein,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,10
Hillary Clinton,15,0,0,0,0,271,3,2,0,10
Donald J Trump,,0,0,0,0,0,2,0,0,10
Darrell L Castle,,,0,0,0,0,0,0,0,10
Gary Johnson,,,,0,0,0,0,0,0,10
Jill Stein,,,,,0,0,0,0,0,10
Eugene A Depasquale,,,,,,4,0,0,0,10
John Brown,,,,,,,0,0,0,10
John J Sweeney,,,,,,,,0,0,10
Roy A Minet,,,,,,,,,0,10
Total,291,2,0,0,0,275,5,2,0,10
,President And Vice President Of The United States,,,,,Auditor General,,,,11
,Hillary Clinton,Donald J Trump,Darrell L Castle,Gary Johnson,Jill Stein,Eugene A Depasquale,John Brown,Roy A Minet,John J Sweeney,11
Hillary Clinton,8,0,0,0,0,219,3,2,1,11
Donald J Trump,,0,0,0,0,0,1,0,0,11
Darrell L Castle,,,0,0,0,0,0,0,0,11
Gary Johnson,,,,0,0,0,0,0,0,11
Jill Stein,,,,,0,0,0,0,0,11
Eugene A Depasquale,,,,,,1,0,0,0,11
John Brown,,,,,,,0,0,0,11
Roy A Minet,,,,,,,,0,0,11
John J Sweeney,,,,,,,,,0,11
Total,233,1,0,0,0,220,4,2,1,11
,President And Vice President Of The United States,,,,,Auditor General,,,,12
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,12
Hillary Clinton,12,0,0,0,0,276,3,1,0,12
Donald J Trump,,0,0,0,0,0,1,0,0,12
Jill Stein,,,0,0,0,0,0,1,0,12
Darrell L Castle,,,,0,0,0,0,0,0,12
Gary Johnson,,,,,0,0,0,0,0,12
Eugene A Depasquale,,,,,,3,0,0,0,12
John Brown,,,,,,,0,0,0,12
John J Sweeney,,,,,,,,0,0,12
Roy A Minet,,,,,,,,,0,12
Total,292,1,1,0,0,279,4,2,0,12
,President And Vice President Of The United States,,,,,Auditor General,,,,13
,Hillary Clinton,Donald J Trump,Darrell L Castle,Gary Johnson,Jill Stein,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,13
Hillary Clinton,9,0,0,0,0,305,1,0,0,13
Donald J Trump,,0,0,0,0,0,2,0,0,13
Darrell L Castle,,,0,0,0,0,0,0,0,13
Gary Johnson,,,,0,0,0,0,0,0,13
Jill Stein,,,,,0,0,0,0,0,13
Eugene A Depasquale,,,,,,0,0,0,0,13
John Brown,,,,,,,0,0,0,13
John J Sweeney,,,,,,,,0,0,13
Roy A Minet,,,,,,,,,0,13
Total,315,2,0,0,0,305,3,0,0,13
,President And Vice President Of The United States,,,,,Auditor General,,,,14
,Hillary Clinton,Gary Johnson,Donald J Trump,Darrell L Castle,Jill Stein,Eugene A Depasquale,John Brown,Roy A Minet,John J Sweeney,14
Hillary Clinton,11,0,0,0,0,254,2,0,0,14
Gary Johnson,,1,0,0,0,0,0,1,0,14
Donald J Trump,,,0,0,0,0,1,0,0,14
Darrell L Castle,,,,0,0,0,0,0,0,14
Jill Stein,,,,,0,0,0,0,0,14
Eugene A Depasquale,,,,,,2,0,0,0,14
John Brown,,,,,,,0,0,0,14
Roy A Minet,,,,,,,,0,0,14
John J Sweeney,,,,,,,,,0,14
Total,267,2,1,0,0,256,3,1,0,14
,President And Vice President Of The United States,,,,,Auditor General,,,,15
,Hillary Clinton,Gary Johnson,Jill Stein,Darrell L Castle,Donald J Trump,Eugene A Depasquale,John J Sweeney,John Brown,Roy A Minet,15
Hillary Clinton,7,0,0,0,0,266,2,1,0,15
Gary Johnson,,0,0,0,0,1,0,0,0,15
Jill Stein,,,0,0,0,0,1,0,0,15
Darrell L Castle,,,,0,0,0,0,0,0,15
Donald J Trump,,,,,0,0,0,0,0,15
Eugene A Depasquale,,,,,,5,0,0,0,15
John J Sweeney,,,,,,,0,0,0,15
John Brown,,,,,,,,0,0,15
Roy A Minet,,,,,,,,,0,15
Total,276,1,1,0,0,272,3,1,0,15
,President And Vice President Of The United States,,,,,Auditor General,,,,16
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Eugene A Depasquale,John Brown,John J Sweeney,Roy A Minet,16
Hillary Clinton,17,0,0,0,0,213,3,1,0,16
Donald J Trump,,0,0,0,0,2,2,0,0,16
Jill Stein,,,1,0,0,0,0,1,0,16
Gary Johnson,,,,0,0,1,0,0,0,16
Darrell L Castle,,,,,0,0,0,0,0,16
Eugene A Depasquale,,,,,,0,0,0,0,16
John Brown,,,,,,,0,0,0,16
John J Sweeney,,,,,,,,0,0,16
Roy A Minet,,,,,,,,,0,16
Total,234,4,2,1,0,216,5,2,0,16
,President And Vice President Of The United States,,,,,Auditor General,,,,17
,Hillary Clinton,Donald J Trump,Gary Johnson,Darrell L Castle,Jill Stein,Eugene A Depasquale,John Brown,Roy A Minet,John J Sweeney,17
Hillary Clinton,8,0,0,0,0,218,3,1,0,17
Donald J Trump,,0,0,0,0,0,4,0,0,17
Gary Johnson,,,0,0,0,0,1,0,0,17
Darrell L Castle,,,,0,0,0,0,0,0,17
Jill Stein,,,,,0,0,0,0,0,17
Eugene A Depasquale,,,,,,3,0,0,0,17
John Brown,,,,,,,1,0,0,17
Roy A Minet,,,,,,,,0,0,17
John J Sweeney,,,,,,,,,0,17
Total,230,4,1,0,0,221,9,1,0,17
,President And Vice President Of The United States,,,,,Auditor General,,,,18
