col_1,col_2,col_3,col_4,col_5,division
,Senator In The General Assembly 1st District,United States Senator,,,All
,Lawrence M Farnese Jr,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,All
Lawrence M Farnese Jr,3,344,68,9,All
Katie Mcginty,,12,0,0,All
Pat Toomey,,,95,0,All
Edward T Clifford Iii,,,,5,All
Total,424,356,163,14,All
,Senator In The General Assembly 1st District,United States Senator,,,7
,Lawrence M Farnese Jr,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,7
Lawrence M Farnese Jr,3,344,68,9,7
Katie Mcginty,,12,0,0,7
Pat Toomey,,,95,0,7
Edward T Clifford Iii,,,,5,7
Total,424,356,163,14,7
