col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Attorney General - Democrat,,,President Of The United States - Democrat,,,All
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,All
Josh Shapiro,37,0,0,"3,688","2,288",12,All
Stephen A Zappala Jr,,12,0,855,774,6,All
John Morganelli,,,12,355,380,4,All
Hillary Clinton,,,,664,0,0,All
Bernie Sanders,,,,,588,0,All
Roque Rocky De La Fuente,,,,,,3,All
Total,"6,025","1,647",751,"5,562","4,030",25,All
,Attorney General - Democrat,,,President Of The United States - Democrat,,,1
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,1
Josh Shapiro,4,0,0,202,119,1,1
Stephen A Zappala Jr,,3,0,53,32,0,1
John Morganelli,,,0,11,17,0,1
Hillary Clinton,,,,24,0,0,1
Bernie Sanders,,,,,18,0,1
Roque Rocky De La Fuente,,,,,,0,1
Total,326,88,28,290,186,1,1
,President Of The United States - Democrat,,,Attorney General - Democrat,,,2
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,2
Hillary Clinton,19,0,0,139,28,5,2
Bernie Sanders,,7,0,46,27,3,2
Roque Rocky De La Fuente,,,0,2,1,0,2
Josh Shapiro,,,,0,0,0,2
Stephen A Zappala Jr,,,,,0,0,2
John Morganelli,,,,,,2,2
Total,191,83,3,187,56,10,2
,President Of The United States - Democrat,,,Attorney General - Democrat,,,3
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,3
Hillary Clinton,11,0,0,191,32,15,3
Bernie Sanders,,4,0,38,7,9,3
Roque Rocky De La Fuente,,,0,2,0,0,3
Josh Shapiro,,,,3,0,0,3
Stephen A Zappala Jr,,,,,0,0,3
John Morganelli,,,,,,1,3
Total,249,58,2,234,39,25,3
,Attorney General - Democrat,,,President Of The United States - Democrat,,,4
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,4
Josh Shapiro,1,0,0,163,99,0,4
Stephen A Zappala Jr,,0,0,36,19,1,4
John Morganelli,,,0,15,11,0,4
Hillary Clinton,,,,21,0,0,4
Bernie Sanders,,,,,20,0,4
Roque Rocky De La Fuente,,,,,,1,4
Total,263,56,26,235,149,2,4
,President Of The United States - Democrat,,,Attorney General - Democrat,,,5
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,5
Hillary Clinton,40,0,0,136,38,14,5
Bernie Sanders,,19,0,72,21,11,5
Roque Rocky De La Fuente,,,0,2,0,0,5
Josh Shapiro,,,,3,0,0,5
Stephen A Zappala Jr,,,,,0,0,5
John Morganelli,,,,,,0,5
Total,228,123,2,213,59,25,5
,Attorney General - Democrat,,,President Of The United States - Democrat,,,6
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,6
Josh Shapiro,1,0,0,173,95,0,6
Stephen A Zappala Jr,,1,0,17,28,0,6
John Morganelli,,,0,9,7,1,6
Hillary Clinton,,,,26,0,0,6
Bernie Sanders,,,,,28,0,6
Roque Rocky De La Fuente,,,,,,0,6
Total,269,46,17,225,158,1,6
,Attorney General - Democrat,,,President Of The United States - Democrat,,,7
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,7
Josh Shapiro,1,0,0,121,82,0,7
Stephen A Zappala Jr,,0,0,17,19,0,7
John Morganelli,,,1,20,14,0,7
Hillary Clinton,,,,22,0,0,7
Bernie Sanders,,,,,15,0,7
Roque Rocky De La Fuente,,,,,,0,7
Total,204,36,35,180,130,0,7
,Attorney General - Democrat,,,President Of The United States - Democrat,,,8
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,8
Josh Shapiro,0,0,0,177,106,0,8
Stephen A Zappala Jr,,1,0,25,24,0,8
John Morganelli,,,0,17,18,1,8
Hillary Clinton,,,,26,0,0,8
Bernie Sanders,,,,,19,0,8
Roque Rocky De La Fuente,,,,,,0,8
Total,283,50,36,245,167,1,8
,Attorney General - Democrat,,,President Of The United States - Democrat,,,9
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,9
Josh Shapiro,1,0,0,140,92,0,9
