col_1,col_2,col_3,col_4,col_5,col_6,division
,Auditor General - Democrat,United States Senator - Democrat,,,,All
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,All
Eugene A Depasquale,392,"2,852","1,034",586,568,All
Katie Mcginty,,933,0,0,0,All
Joe Sestak,,,426,0,0,All
John Fetterman,,,,157,0,All
Joseph J Vodvarka,,,,,154,All
Total,"5,432","3,785","1,460",743,722,All
,Auditor General - Democrat,United States Senator - Democrat,,,,1
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,1
Eugene A Depasquale,4,92,40,17,14,1
Katie Mcginty,,28,0,0,0,1
Joe Sestak,,,11,0,0,1
Joseph J Vodvarka,,,,4,0,1
John Fetterman,,,,,3,1
Total,167,120,51,21,17,1
,Auditor General - Democrat,United States Senator - Democrat,,,,2
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,2
Eugene A Depasquale,14,139,38,29,23,2
Katie Mcginty,,36,0,0,0,2
Joe Sestak,,,14,0,0,2
John Fetterman,,,,10,0,2
Joseph J Vodvarka,,,,,5,2
Total,243,175,52,39,28,2
,Auditor General - Democrat,United States Senator - Democrat,,,,3
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,3
Eugene A Depasquale,16,121,41,17,13,3
Katie Mcginty,,40,0,0,0,3
Joe Sestak,,,19,0,0,3
John Fetterman,,,,4,0,3
Joseph J Vodvarka,,,,,4,3
Total,208,161,60,21,17,3
,Auditor General - Democrat,United States Senator - Democrat,,,,4
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,4
Eugene A Depasquale,9,72,43,29,18,4
Katie Mcginty,,20,0,0,0,4
Joe Sestak,,,14,0,0,4
Joseph J Vodvarka,,,,7,0,4
John Fetterman,,,,,10,4
Total,171,92,57,36,28,4
,Auditor General - Democrat,United States Senator - Democrat,,,,5
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,5
Eugene A Depasquale,18,116,33,17,13,5
Katie Mcginty,,27,0,0,0,5
Joe Sestak,,,16,0,0,5
Joseph J Vodvarka,,,,8,0,5
John Fetterman,,,,,3,5
Total,197,143,49,25,16,5
,Auditor General - Democrat,United States Senator - Democrat,,,,6
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,6
Eugene A Depasquale,20,101,33,23,16,6
Katie Mcginty,,36,0,0,0,6
Joe Sestak,,,9,0,0,6
John Fetterman,,,,6,0,6
Joseph J Vodvarka,,,,,4,6
Total,193,137,42,29,20,6
,Auditor General - Democrat,United States Senator - Democrat,,,,7
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,7
Eugene A Depasquale,14,75,32,31,17,7
Katie Mcginty,,23,0,0,0,7
Joe Sestak,,,17,0,0,7
John Fetterman,,,,7,0,7
Joseph J Vodvarka,,,,,3,7
Total,169,98,49,38,20,7
,Auditor General - Democrat,United States Senator - Democrat,,,,8
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,8
Eugene A Depasquale,12,91,31,25,14,8
Katie Mcginty,,29,0,0,0,8
Joe Sestak,,,17,0,0,8
Joseph J Vodvarka,,,,5,0,8
John Fetterman,,,,,4,8
Total,173,120,48,30,18,8
,Auditor General - Democrat,United States Senator - Democrat,,,,9
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,9
Eugene A Depasquale,17,93,34,21,22,9
Katie Mcginty,,19,0,0,0,9
Joe Sestak,,,15,0,0,9
John Fetterman,,,,12,0,9
Joseph J Vodvarka,,,,,4,9
Total,187,112,49,33,26,9
,Auditor General - Democrat,United States Senator - Democrat,,,,10
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,10
Eugene A Depasquale,12,100,24,17,17,10
Katie Mcginty,,14,0,0,0,10
Joe Sestak,,,10,0,0,10
Joseph J Vodvarka,,,,5,0,10
John Fetterman,,,,,4,10
Total,170,114,34,22,21,10
,Auditor General - Democrat,United States Senator - Democrat,,,,11
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,11
Eugene A Depasquale,12,71,30,25,18,11
Katie Mcginty,,31,0,0,0,11
Joe Sestak,,,12,0,0,11
John Fetterman,,,,4,0,11
Joseph J Vodvarka,,,,,6,11
Total,156,102,42,29,24,11
,Auditor General - Democrat,United States Senator - Democrat,,,,12
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,12
Eugene A Depasquale,12,120,38,26,15,12
Katie Mcginty,,20,0,0,0,12
Joe Sestak,,,18,0,0,12
Joseph J Vodvarka,,,,3,0,12
John Fetterman,,,,,3,12
Total,211,140,56,29,18,12
,Auditor General - Democrat,United States Senator - Democrat,,,,13
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,13
Eugene A Depasquale,20,104,35,28,25,13
Katie Mcginty,,64,0,0,0,13
Joe Sestak,,,18,0,0,13
Joseph J Vodvarka,,,,5,0,13
John Fetterman,,,,,4,13
Total,212,168,53,33,29,13
,Auditor General - Democrat,United States Senator - Democrat,,,,14
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,14
Eugene A Depasquale,19,110,50,27,24,14
Katie Mcginty,,38,0,0,0,14
Joe Sestak,,,17,0,0,14
Joseph J Vodvarka,,,,8,0,14
John Fetterman,,,,,10,14
Total,230,148,67,35,34,14
,Auditor General - Democrat,United States Senator - Democrat,,,,15
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,15
Eugene A Depasquale,12,111,30,27,16,15
Katie Mcginty,,22,0,0,0,15
Joe Sestak,,,15,0,0,15
Joseph J Vodvarka,,,,7,0,15
John Fetterman,,,,,2,15
Total,196,133,45,34,18,15
,Auditor General - Democrat,United States Senator - Democrat,,,,16
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,16
Eugene A Depasquale,11,82,45,25,25,16
Katie Mcginty,,29,0,0,0,16
Joe Sestak,,,11,0,0,16
John Fetterman,,,,6,0,16
Joseph J Vodvarka,,,,,6,16
Total,188,111,56,31,31,16
,Auditor General - Democrat,United States Senator - Democrat,,,,17
,Eugene A Depasquale,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,17
Eugene A Depasquale,18,112,30,18,12,17
Katie Mcginty,,28,0,0,0,17
Joe Sestak,,,12,0,0,17
John Fetterman,,,,6,0,17
Joseph J Vodvarka,,,,,3,17
