col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Thaddeus Kirkland,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Blake Rutherford,Anne Wakabayashi,Jennifer Lentz,Maria Quinones Sanchez,Leanne Krueger Braneky,Angel Cruz,Cathy Brady,Ryan N Boyer,Ted Kirsch,All
Bernie Sanders,346,0,0,"1,976","1,796","1,658",315,"1,587","1,569","1,502",239,269,275,255,234,223,193,200,191,All
Hillary Clinton,,433,0,148,158,127,"1,442",100,104,67,"1,233","1,077","1,024","1,013","1,002",968,991,964,927,All
Roque Rocky De La Fuente,,,10,7,9,5,6,4,4,4,5,5,4,5,3,3,2,3,4,All
H Douglass Brown,,,,1,"1,768","1,647",329,"1,568","1,541","1,496",282,299,299,248,243,224,198,208,171,All
Peter Cutty,,,,,0,"1,607",330,"1,542","1,513","1,489",287,297,309,251,243,232,194,220,186,All
Amanda Mcillmurray,,,,,,0,285,"1,585","1,564","1,486",249,296,306,256,239,229,197,203,186,All
Thaddeus Kirkland,,,,,,,5,247,252,199,"1,307","1,178","1,105","1,069","1,075","1,020","1,042","1,051",979,All
Kat Richter,,,,,,,,0,"1,525","1,476",209,261,279,253,227,214,165,174,178,All
Katherine Hunter Snyder,,,,,,,,,0,"1,447",209,269,278,255,226,223,187,183,188,All
Jacob Adeniran,,,,,,,,,,0,157,216,222,209,190,190,123,138,157,All
Blake Rutherford,,,,,,,,,,,1,"1,106","1,071","1,009","1,014",985,"1,003","1,041",945,All
Anne Wakabayashi,,,,,,,,,,,,0,"1,122","1,074","1,089","1,021","1,039","1,040",959,All
Jennifer Lentz,,,,,,,,,,,,,1,"1,016","1,032","1,013","1,025","1,004",964,All
Maria Quinones Sanchez,,,,,,,,,,,,,,1,"1,038","1,013",998,930,955,All
Leanne Krueger Braneky,,,,,,,,,,,,,,,0,989,"1,006",959,946,All
Angel Cruz,,,,,,,,,,,,,,,,1,984,942,957,All
Cathy Brady,,,,,,,,,,,,,,,,,1,960,944,All
Ryan N Boyer,,,,,,,,,,,,,,,,,,0,908,All
Ted Kirsch,,,,,,,,,,,,,,,,,,,0,All
Total,"2,632","2,083",23,"2,141","1,973","1,796","1,780","1,698","1,682","1,578","1,492","1,359","1,312","1,281","1,247","1,201","1,194","1,174","1,126",All
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,1
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Katherine Hunter Snyder,Jacob Adeniran,Kat Richter,Thaddeus Kirkland,Blake Rutherford,Anne Wakabayashi,Ted Kirsch,Jennifer Lentz,Leanne Krueger Braneky,Maria Quinones Sanchez,Angel Cruz,Cathy Brady,Ryan N Boyer,1
Bernie Sanders,19,0,0,90,78,70,72,65,64,14,13,9,11,11,10,9,9,8,6,1
Hillary Clinton,,19,0,3,5,6,4,3,4,53,49,42,39,38,39,39,38,36,37,1
