col_1,col_2,division
,Representative In The General Assembly 172nd District - Republican,All
,Jim Pio,All
Jim Pio,341,All
Total,341,All
,Representative In The General Assembly 172nd District - Republican,1
,Jim Pio,1
Jim Pio,49,1
Total,49,1
,Representative In The General Assembly 172nd District - Republican,3
,Jim Pio,3
Jim Pio,39,3
Total,39,3
,Representative In The General Assembly 172nd District - Republican,5
,Jim Pio,5
Jim Pio,73,5
Total,73,5
,Representative In The General Assembly 172nd District - Republican,7
,Jim Pio,7
Jim Pio,47,7
Total,47,7
,Representative In The General Assembly 172nd District - Republican,8
,Jim Pio,8
Jim Pio,64,8
Total,64,8
,Representative In The General Assembly 172nd District - Republican,9
,Jim Pio,9
Jim Pio,30,9
Total,30,9
,Representative In The General Assembly 172nd District - Republican,15
,Jim Pio,15
Jim Pio,39,15
Total,39,15
