col_1,col_2,col_3,col_4,col_5,division
,Judge Of The Commonwealth Court,,,,All
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,All
Ellen Ceisler,519,"2,621",309,18,All
Irene M Clark,,174,30,21,All
Christine Fizzano Cannon,,,232,984,All
Paul Lalley,,,,52,All
Total,"3,467","2,846","1,555","1,075",All
,Judge Of The Commonwealth Court,,,,1
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,1
Ellen Ceisler,8,35,3,0,1
Irene M Clark,,2,1,0,1
Christine Fizzano Cannon,,,5,18,1
Paul Lalley,,,,0,1
Total,46,38,27,18,1
,Judge Of The Commonwealth Court,,,,2
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,2
Ellen Ceisler,32,24,3,0,2
Irene M Clark,,1,0,0,2
Christine Fizzano Cannon,,,2,5,2
Paul Lalley,,,,0,2
Total,59,25,10,5,2
,Judge Of The Commonwealth Court,,,,3
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,3
Ellen Ceisler,15,59,3,0,3
Irene M Clark,,4,1,0,3
Christine Fizzano Cannon,,,8,36,3
Paul Lalley,,,,1,3
Total,77,64,48,37,3
,Judge Of The Commonwealth Court,,,,4
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,4
Ellen Ceisler,3,28,3,0,4
Irene M Clark,,0,1,0,4
Christine Fizzano Cannon,,,2,18,4
Paul Lalley,,,,0,4
Total,34,29,24,18,4
,Judge Of The Commonwealth Court,,,,5
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,5
Ellen Ceisler,7,57,2,0,5
Irene M Clark,,6,1,0,5
Christine Fizzano Cannon,,,5,6,5
Paul Lalley,,,,0,5
Total,66,64,14,6,5
,Judge Of The Commonwealth Court,,,,6
,Ellen Ceisler,Christine Fizzano Cannon,Paul Lalley,Irene M Clark,6
Ellen Ceisler,29,6,0,35,6
Christine Fizzano Cannon,,15,41,0,6
Paul Lalley,,,6,1,6
Irene M Clark,,,,3,6
Total,70,62,48,39,6
,Judge Of The Commonwealth Court,,,,7
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,7
Ellen Ceisler,44,82,10,2,7
Irene M Clark,,5,0,0,7
Christine Fizzano Cannon,,,12,48,7
Paul Lalley,,,,3,7
Total,138,87,70,53,7
,Judge Of The Commonwealth Court,,,,8
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,8
Ellen Ceisler,16,46,13,1,8
Irene M Clark,,8,0,0,8
Christine Fizzano Cannon,,,6,33,8
Paul Lalley,,,,0,8
Total,76,54,52,34,8
,Judge Of The Commonwealth Court,,,,9
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,9
Ellen Ceisler,9,51,1,0,9
Irene M Clark,,2,1,0,9
Christine Fizzano Cannon,,,0,4,9
Paul Lalley,,,,0,9
Total,61,54,6,4,9
,Judge Of The Commonwealth Court,,,,10
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,10
Ellen Ceisler,8,69,3,1,10
Irene M Clark,,10,0,1,10
Christine Fizzano Cannon,,,1,7,10
Paul Lalley,,,,1,10
Total,81,80,11,10,10
,Judge Of The Commonwealth Court,,,,11
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,11
Ellen Ceisler,18,11,5,1,11
Irene M Clark,,0,0,1,11
Christine Fizzano Cannon,,,1,1,11
Paul Lalley,,,,1,11
