col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,All
,Mary Murray,Emil Giordano,Craig Stedman,Wade A Kagarise,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Jules Mermelstein,Marissa Brumbach,Matt Wolf,All
Mary Murray,22,828,798,785,117,79,76,13,30,222,218,All
Emil Giordano,,15,801,803,99,20,54,58,25,208,204,All
Craig Stedman,,,17,772,35,23,36,26,13,163,171,All
Wade A Kagarise,,,,0,55,19,12,33,15,163,159,All
Maria Mclaughlin,,,,,21,620,604,575,22,674,618,All
Carolyn H Nichols,,,,,,3,578,544,20,584,552,All
Debbie Kunselman,,,,,,,3,550,20,571,554,All
Geoff Moulton,,,,,,,,4,17,552,533,All
Jules Mermelstein,,,,,,,,,7,45,36,All
Marissa Brumbach,,,,,,,,,,6,683,All
Matt Wolf,,,,,,,,,,,4,All
Total,967,948,872,844,837,677,666,631,66,879,824,All
,Judge Of The Municipal Court,,Judge Of The Superior Court,,,,,,,,,1
,Matt Wolf,Marissa Brumbach,Mary Murray,Geoff Moulton,Maria Mclaughlin,Emil Giordano,Carolyn H Nichols,Debbie Kunselman,Wade A Kagarise,Craig Stedman,Jules Mermelstein,1
Matt Wolf,0,45,14,42,39,10,39,38,6,7,2,1
Marissa Brumbach,,0,13,40,39,12,37,37,10,8,3,1
Mary Murray,,,3,4,5,42,1,1,39,37,2,1
Geoff Moulton,,,,0,42,5,43,42,0,0,2,1
Maria Mclaughlin,,,,,0,4,40,39,1,0,1,1
Emil Giordano,,,,,,2,0,1,39,37,1,1
Carolyn H Nichols,,,,,,,0,41,0,0,1,1
Debbie Kunselman,,,,,,,,1,0,0,1,1
Wade A Kagarise,,,,,,,,,0,37,0,1
Craig Stedman,,,,,,,,,,1,0,1
Jules Mermelstein,,,,,,,,,,,1,1
Total,55,52,51,48,48,47,44,44,40,39,4,1
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,2
