col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,City Controller - Republican,Judge Of The Superior Court - Republican,,,,,All
,Michael Tomlinson,Paula A Patrick,Craig Stedman,Emil Giordano,Mary Murray,Wade A Kagarise,All
Michael Tomlinson,0,6,2,4,3,3,All
Paula A Patrick,,0,3,4,3,3,All
Craig Stedman,,,1,2,1,2,All
Emil Giordano,,,,0,2,3,All
Mary Murray,,,,,0,1,All
Wade A Kagarise,,,,,,0,All
Total,7,7,4,4,4,3,All
,Judge Of The Superior Court - Republican,,,,,City Controller - Republican,1
,Craig Stedman,Paula A Patrick,Emil Giordano,Mary Murray,Wade A Kagarise,Michael Tomlinson,1
Craig Stedman,0,2,1,1,1,1,1
Paula A Patrick,,0,1,1,1,1,1
Emil Giordano,,,0,0,1,1,1
Mary Murray,,,,0,0,0,1
Wade A Kagarise,,,,,0,1,1
Michael Tomlinson,,,,,,0,1
Total,2,2,1,1,1,1,1
,City Controller - Republican,Judge Of The Superior Court - Republican,,,,,2
,Michael Tomlinson,Paula A Patrick,Craig Stedman,Emil Giordano,Mary Murray,Wade A Kagarise,2
Michael Tomlinson,0,1,0,0,0,0,2
Paula A Patrick,,0,0,0,0,0,2
Craig Stedman,,,0,0,0,0,2
Emil Giordano,,,,0,0,0,2
Mary Murray,,,,,0,0,2
Wade A Kagarise,,,,,,0,2
Total,1,1,0,0,0,0,2
,Judge Of The Superior Court - Republican,,,,,City Controller - Republican,3
,Emil Giordano,Paula A Patrick,Wade A Kagarise,Craig Stedman,Mary Murray,Michael Tomlinson,3
Emil Giordano,0,2,2,1,1,2,3
Paula A Patrick,,0,2,1,1,2,3
Wade A Kagarise,,,0,1,1,2,3
Craig Stedman,,,,0,0,1,3
Mary Murray,,,,,0,1,3
Michael Tomlinson,,,,,,0,3
Total,2,2,2,1,1,2,3
,City Controller - Republican,Judge Of The Superior Court - Republican,,,,,6
,Michael Tomlinson,Paula A Patrick,Craig Stedman,Emil Giordano,Mary Murray,Wade A Kagarise,6
Michael Tomlinson,0,1,0,0,0,0,6
Paula A Patrick,,0,0,0,0,0,6
Craig Stedman,,,0,0,0,0,6
Emil Giordano,,,,0,0,0,6
Mary Murray,,,,,0,0,6
Wade A Kagarise,,,,,,0,6
Total,1,1,0,0,0,0,6
,Judge Of The Superior Court - Republican,,,,,City Controller - Republican,11
,Mary Murray,Craig Stedman,Emil Giordano,Paula A Patrick,Wade A Kagarise,Michael Tomlinson,11
Mary Murray,0,0,0,0,0,1,11
Craig Stedman,,0,0,0,0,0,11
Emil Giordano,,,0,0,0,0,11
Paula A Patrick,,,,0,0,0,11
Wade A Kagarise,,,,,0,0,11
Michael Tomlinson,,,,,,0,11
Total,1,0,0,0,0,1,11
,Judge Of The Superior Court - Republican,,,,,City Controller - Republican,12
,Craig Stedman,Emil Giordano,Mary Murray,Paula A Patrick,Wade A Kagarise,Michael Tomlinson,12
Craig Stedman,1,0,0,0,0,0,12
Emil Giordano,,0,1,1,0,1,12
Mary Murray,,,0,1,0,1,12
Paula A Patrick,,,,0,0,1,12
Wade A Kagarise,,,,,0,0,12
Michael Tomlinson,,,,,,0,12
Total,1,1,1,1,0,1,12
