col_1,col_2,col_3,division
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,All
,Sallie Mundy,Vincent Furlong,All
Sallie Mundy,37,262,All
Vincent Furlong,,37,All
Total,299,299,All
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,1
,Sallie Mundy,Vincent Furlong,1
Sallie Mundy,1,10,1
Vincent Furlong,,1,1
Total,11,11,1
,Judge Of The Court Of Common Pleas - Republican,Justice Of The Supreme Court - Republican,2
,Vincent Furlong,Sallie Mundy,2
Vincent Furlong,3,21,2
Sallie Mundy,,1,2
Total,24,22,2
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,3
,Sallie Mundy,Vincent Furlong,3
Sallie Mundy,6,17,3
Vincent Furlong,,2,3
Total,23,19,3
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,4
,Sallie Mundy,Vincent Furlong,4
Sallie Mundy,2,17,4
Vincent Furlong,,1,4
Total,19,18,4
,Judge Of The Court Of Common Pleas - Republican,Justice Of The Supreme Court - Republican,5
,Vincent Furlong,Sallie Mundy,5
Vincent Furlong,3,10,5
Sallie Mundy,,0,5
Total,13,10,5
,Judge Of The Court Of Common Pleas - Republican,Justice Of The Supreme Court - Republican,6
,Vincent Furlong,Sallie Mundy,6
Vincent Furlong,5,12,6
Sallie Mundy,,3,6
Total,17,15,6
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,7
,Sallie Mundy,Vincent Furlong,7
Sallie Mundy,3,9,7
Vincent Furlong,,0,7
Total,12,9,7
,Judge Of The Court Of Common Pleas - Republican,Justice Of The Supreme Court - Republican,8
,Vincent Furlong,Sallie Mundy,8
Vincent Furlong,3,18,8
Sallie Mundy,,2,8
Total,21,20,8
,Judge Of The Court Of Common Pleas - Republican,Justice Of The Supreme Court - Republican,9
,Vincent Furlong,Sallie Mundy,9
Vincent Furlong,5,3,9
Sallie Mundy,,2,9
Total,8,5,9
,Judge Of The Court Of Common Pleas - Republican,Justice Of The Supreme Court - Republican,10
,Vincent Furlong,Sallie Mundy,10
Vincent Furlong,1,9,10
Sallie Mundy,,0,10
Total,10,9,10
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,11
,Sallie Mundy,Vincent Furlong,11
Sallie Mundy,0,8,11
Vincent Furlong,,0,11
Total,8,8,11
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,12
,Sallie Mundy,Vincent Furlong,12
Sallie Mundy,2,15,12
Vincent Furlong,,0,12
Total,17,15,12
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,13
,Sallie Mundy,Vincent Furlong,13
Sallie Mundy,1,8,13
Vincent Furlong,,1,13
Total,9,9,13
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,14
,Sallie Mundy,Vincent Furlong,14
Sallie Mundy,0,9,14
Vincent Furlong,,0,14
Total,9,9,14
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,15
,Sallie Mundy,Vincent Furlong,15
Sallie Mundy,3,12,15
Vincent Furlong,,1,15
Total,15,13,15
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,16
,Sallie Mundy,Vincent Furlong,16
Sallie Mundy,0,5,16
Vincent Furlong,,0,16
Total,5,5,16
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,17
,Sallie Mundy,Vincent Furlong,17
Sallie Mundy,1,6,17
Vincent Furlong,,0,17
Total,7,6,17
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,18
,Sallie Mundy,Vincent Furlong,18
Sallie Mundy,3,12,18
Vincent Furlong,,0,18
Total,15,12,18
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,19
,Sallie Mundy,Vincent Furlong,19
Sallie Mundy,2,27,19
Vincent Furlong,,2,19
Total,29,29,19
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,20
,Sallie Mundy,Vincent Furlong,20
Sallie Mundy,0,1,20
Vincent Furlong,,0,20
Total,1,1,20
,Justice Of The Supreme Court - Republican,Judge Of The Court Of Common Pleas - Republican,21
,Sallie Mundy,Vincent Furlong,21
Sallie Mundy,1,7,21
Vincent Furlong,,0,21
Total,8,7,21
,Judge Of The Court Of Common Pleas - Republican,Justice Of The Supreme Court - Republican,22
,Vincent Furlong,Sallie Mundy,22
Vincent Furlong,4,6,22
Sallie Mundy,,2,22
Total,10,8,22
,Judge Of The Court Of Common Pleas - Republican,Justice Of The Supreme Court - Republican,23
,Vincent Furlong,Sallie Mundy,23
Vincent Furlong,5,20,23
Sallie Mundy,,2,23
Total,25,22,23
