col_1,col_2,division
,Representative In The General Assembly 186th District,All
,Jordan A Harris,All
Jordan A Harris,"8,355",All
Total,"8,355",All
,Representative In The General Assembly 186th District,1
,Jordan A Harris,1
Jordan A Harris,671,1
Total,671,1
,Representative In The General Assembly 186th District,2
,Jordan A Harris,2
Jordan A Harris,416,2
Total,416,2
,Representative In The General Assembly 186th District,3
,Jordan A Harris,3
Jordan A Harris,406,3
Total,406,3
,Representative In The General Assembly 186th District,4
,Jordan A Harris,4
Jordan A Harris,253,4
Total,253,4
,Representative In The General Assembly 186th District,5
,Jordan A Harris,5
Jordan A Harris,407,5
Total,407,5
,Representative In The General Assembly 186th District,6
,Jordan A Harris,6
Jordan A Harris,507,6
Total,507,6
,Representative In The General Assembly 186th District,7
,Jordan A Harris,7
Jordan A Harris,724,7
Total,724,7
,Representative In The General Assembly 186th District,8
,Jordan A Harris,8
Jordan A Harris,481,8
Total,481,8
,Representative In The General Assembly 186th District,9
,Jordan A Harris,9
Jordan A Harris,527,9
Total,527,9
,Representative In The General Assembly 186th District,10
,Jordan A Harris,10
Jordan A Harris,368,10
Total,368,10
,Representative In The General Assembly 186th District,11
,Jordan A Harris,11
Jordan A Harris,398,11
Total,398,11
,Representative In The General Assembly 186th District,12
,Jordan A Harris,12
Jordan A Harris,396,12
Total,396,12
,Representative In The General Assembly 186th District,13
,Jordan A Harris,13
Jordan A Harris,472,13
Total,472,13
,Representative In The General Assembly 186th District,14
,Jordan A Harris,14
Jordan A Harris,414,14
Total,414,14
,Representative In The General Assembly 186th District,15
,Jordan A Harris,15
Jordan A Harris,494,15
Total,494,15
,Representative In The General Assembly 186th District,16
,Jordan A Harris,16
Jordan A Harris,538,16
Total,538,16
,Representative In The General Assembly 186th District,17
,Jordan A Harris,17
Jordan A Harris,883,17
Total,883,17
