col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,All
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,2,All
Tom Wolf,294,405,334,300,262,235,200,182,176,175,3,All
Jaime Bouldin,,5,257,241,192,190,173,163,168,161,4,All
David Rodriguez,,,7,255,188,193,174,167,165,163,5,All
Humberto Perez,,,,5,181,185,170,164,162,161,6,All
Barbara Carroll,,,,,4,207,181,166,167,165,7,All
Sharon Vaughn,,,,,,4,181,166,167,167,8,All
Latrice Y Bryant,,,,,,,0,163,165,148,9,All
Robert Taylor,,,,,,,,2,157,147,10,All
Jonathan M Gary,,,,,,,,,0,148,11,All
Dustin Morris,,,,,,,,,,0,12,All
Total,917,416,348,312,271,246,205,191,183,178,13,All
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,1
,Tom Wolf,David Rodriguez,Humberto Perez,Jaime Bouldin,Barbara Carroll,Sharon Vaughn,Dustin Morris,Robert Taylor,Jonathan M Gary,Latrice Y Bryant,2,1
Tom Wolf,21,16,16,15,13,12,11,11,10,10,3,1
David Rodriguez,,1,14,12,11,11,11,10,10,10,4,1
Humberto Perez,,,0,12,11,11,11,11,10,10,5,1
Jaime Bouldin,,,,0,10,10,10,10,10,10,6,1
Barbara Carroll,,,,,0,11,11,10,10,10,7,1
Sharon Vaughn,,,,,,0,11,10,10,10,8,1
Dustin Morris,,,,,,,0,10,10,10,9,1
Robert Taylor,,,,,,,,0,10,10,10,1
Jonathan M Gary,,,,,,,,,0,10,11,1
Latrice Y Bryant,,,,,,,,,,0,12,1
Total,45,17,16,15,13,12,11,11,10,10,13,1
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,2
,Tom Wolf,Jaime Bouldin,Barbara Carroll,David Rodriguez,Humberto Perez,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,Dustin Morris,2,2
Tom Wolf,20,22,20,20,19,20,17,15,13,13,3,2
Jaime Bouldin,,0,17,17,17,17,15,14,11,13,4,2
Barbara Carroll,,,0,15,15,18,17,15,13,13,5,2
David Rodriguez,,,,0,17,15,13,13,11,13,6,2
Humberto Perez,,,,,1,15,13,13,11,13,7,2
Sharon Vaughn,,,,,,0,16,15,11,13,8,2
Latrice Y Bryant,,,,,,,0,16,13,11,9,2
Jonathan M Gary,,,,,,,,0,12,11,10,2
Robert Taylor,,,,,,,,,0,11,11,2
Dustin Morris,,,,,,,,,,0,12,2
Total,52,22,20,20,20,20,18,16,14,13,13,2
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,3
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Dustin Morris,2,3
Tom Wolf,14,19,16,16,12,11,8,8,7,7,3,3
Jaime Bouldin,,1,13,10,9,10,7,9,7,5,4,3
David Rodriguez,,,0,10,8,8,8,8,7,6,5,3
Humberto Perez,,,,0,9,8,7,8,7,5,6,3
Barbara Carroll,,,,,0,10,8,9,7,6,7,3
Sharon Vaughn,,,,,,0,7,9,7,6,8,3
Jonathan M Gary,,,,,,,0,7,7,6,9,3
Latrice Y Bryant,,,,,,,,0,7,5,10,3
Robert Taylor,,,,,,,,,0,5,11,3
Dustin Morris,,,,,,,,,,0,12,3
Total,50,22,18,17,13,12,9,9,8,7,13,3
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,4
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Jonathan M Gary,Sharon Vaughn,Robert Taylor,Barbara Carroll,Dustin Morris,Latrice Y Bryant,2,4
Tom Wolf,16,20,19,19,11,12,11,10,10,10,3,4
Jaime Bouldin,,0,15,16,13,12,10,11,11,10,4,4
David Rodriguez,,,2,14,10,11,10,10,9,10,5,4
Humberto Perez,,,,0,11,11,10,10,10,9,6,4
Jonathan M Gary,,,,,0,11,10,11,11,10,7,4
Sharon Vaughn,,,,,,0,10,10,9,10,8,4
Robert Taylor,,,,,,,0,10,10,9,9,4
Barbara Carroll,,,,,,,,0,10,10,10,4
Dustin Morris,,,,,,,,,0,9,11,4
Latrice Y Bryant,,,,,,,,,,0,12,4
Total,46,22,21,21,13,13,12,11,11,10,13,4
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,5
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Robert Taylor,Sharon Vaughn,Dustin Morris,Jonathan M Gary,Latrice Y Bryant,2,5
Tom Wolf,15,17,15,13,11,10,10,9,9,9,3,5
Jaime Bouldin,,0,9,9,9,8,9,9,8,8,4,5
David Rodriguez,,,0,12,10,10,10,9,9,9,5,5
Humberto Perez,,,,0,10,10,10,9,9,9,6,5
Barbara Carroll,,,,,0,9,11,10,9,9,7,5
Robert Taylor,,,,,,0,9,8,10,9,8,5
Sharon Vaughn,,,,,,,0,10,9,9,9,5
Dustin Morris,,,,,,,,0,8,8,10,5
Jonathan M Gary,,,,,,,,,0,9,11,5
Latrice Y Bryant,,,,,,,,,,0,12,5
Total,46,18,17,15,12,11,11,10,10,10,13,5
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,6
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Sharon Vaughn,Barbara Carroll,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Dustin Morris,2,6
