col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,1
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,1
Paul Mango,17,0,0,0,0,0,0,1
Scott R Wagner,,11,0,0,0,0,0,1
Laura Ellsworth,,,4,0,0,0,0,1
Christopher M Vogler,,,,0,0,0,0,1
Maria Digiorgio Mccolgan,,,,,0,0,0,1
Michael A Cibik,,,,,,0,0,1
Theresa A Dintino,,,,,,,0,1
Total,17,11,4,0,0,0,0,1
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,2
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2
Paul Mango,16,0,0,0,0,0,0,2
Scott R Wagner,,11,0,0,0,0,0,2
Laura Ellsworth,,,6,0,0,0,0,2
Christopher M Vogler,,,,0,0,0,0,2
Maria Digiorgio Mccolgan,,,,,0,0,0,2
Michael A Cibik,,,,,,0,0,2
Theresa A Dintino,,,,,,,0,2
Total,16,11,6,0,0,0,0,2
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,3
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,3
Paul Mango,15,0,0,0,0,0,0,3
Scott R Wagner,,12,0,0,0,0,0,3
Laura Ellsworth,,,3,0,0,0,0,3
Christopher M Vogler,,,,0,0,0,0,3
Maria Digiorgio Mccolgan,,,,,0,0,0,3
Michael A Cibik,,,,,,0,0,3
Theresa A Dintino,,,,,,,0,3
Total,15,12,3,0,0,0,0,3
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,4
,Scott R Wagner,Paul Mango,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,4
Scott R Wagner,10,0,0,0,0,0,0,4
Paul Mango,,8,0,0,0,0,0,4
Laura Ellsworth,,,6,0,0,0,0,4
Christopher M Vogler,,,,0,0,0,0,4
Maria Digiorgio Mccolgan,,,,,0,0,0,4
Michael A Cibik,,,,,,0,0,4
Theresa A Dintino,,,,,,,0,4
Total,10,8,6,0,0,0,0,4
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,5
,Scott R Wagner,Paul Mango,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,5
Scott R Wagner,10,0,0,0,0,0,0,5
Paul Mango,,5,0,0,0,0,0,5
Laura Ellsworth,,,2,0,0,0,0,5
Christopher M Vogler,,,,0,0,0,0,5
Maria Digiorgio Mccolgan,,,,,0,0,0,5
Michael A Cibik,,,,,,0,0,5
Theresa A Dintino,,,,,,,0,5
Total,10,5,2,0,0,0,0,5
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,6
,Scott R Wagner,Paul Mango,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,6
Scott R Wagner,6,0,0,0,0,0,0,6
Paul Mango,,4,0,0,0,0,0,6
Laura Ellsworth,,,1,0,0,0,0,6
Christopher M Vogler,,,,0,0,0,0,6
Maria Digiorgio Mccolgan,,,,,0,0,0,6
Michael A Cibik,,,,,,0,0,6
Theresa A Dintino,,,,,,,0,6
Total,6,4,1,0,0,0,0,6
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,7
,Scott R Wagner,Paul Mango,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,7
Scott R Wagner,4,0,0,0,0,0,0,7
Paul Mango,,3,0,0,0,0,0,7
Laura Ellsworth,,,0,0,0,0,0,7
Christopher M Vogler,,,,0,0,0,0,7
Maria Digiorgio Mccolgan,,,,,0,0,0,7
Michael A Cibik,,,,,,0,0,7
Theresa A Dintino,,,,,,,0,7
Total,4,3,0,0,0,0,0,7
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,8
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,8
Paul Mango,11,0,0,0,0,0,0,8
Scott R Wagner,,8,0,0,0,0,0,8
Laura Ellsworth,,,4,0,0,0,0,8
Christopher M Vogler,,,,0,0,0,0,8
Maria Digiorgio Mccolgan,,,,,0,0,0,8
Michael A Cibik,,,,,,0,0,8
Theresa A Dintino,,,,,,,0,8
Total,11,8,4,0,0,0,0,8
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,9
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,9
Paul Mango,12,0,0,0,0,0,0,9
Scott R Wagner,,4,0,0,0,0,0,9
Laura Ellsworth,,,2,0,0,0,0,9
Christopher M Vogler,,,,0,0,0,0,9
Maria Digiorgio Mccolgan,,,,,0,0,0,9
Michael A Cibik,,,,,,0,0,9
Theresa A Dintino,,,,,,,0,9
Total,12,4,2,0,0,0,0,9
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,10
,Laura Ellsworth,Paul Mango,Scott R Wagner,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,10
Laura Ellsworth,5,0,0,0,0,0,0,10
Paul Mango,,5,0,0,0,0,0,10
Scott R Wagner,,,5,0,0,0,0,10
Christopher M Vogler,,,,0,0,0,0,10
Maria Digiorgio Mccolgan,,,,,0,0,0,10
Michael A Cibik,,,,,,0,0,10
Theresa A Dintino,,,,,,,0,10
Total,5,5,5,0,0,0,0,10
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,11
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,11
Paul Mango,13,0,0,0,0,0,0,11
Scott R Wagner,,10,0,0,0,0,0,11
Laura Ellsworth,,,8,0,0,0,0,11
Christopher M Vogler,,,,0,0,0,0,11
Maria Digiorgio Mccolgan,,,,,0,0,0,11
Michael A Cibik,,,,,,0,0,11
Theresa A Dintino,,,,,,,0,11
Total,13,10,8,0,0,0,0,11
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,12
,Scott R Wagner,Paul Mango,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,12
Scott R Wagner,15,0,0,0,0,0,0,12
Paul Mango,,14,0,0,0,0,0,12
Laura Ellsworth,,,5,0,0,0,0,12
Christopher M Vogler,,,,0,0,0,0,12
Maria Digiorgio Mccolgan,,,,,0,0,0,12
Michael A Cibik,,,,,,0,0,12
Theresa A Dintino,,,,,,,0,12
Total,15,14,5,0,0,0,0,12
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,13
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,13
Paul Mango,30,0,0,0,0,0,0,13
Scott R Wagner,,18,0,0,0,0,0,13
Laura Ellsworth,,,14,0,0,0,0,13
Christopher M Vogler,,,,0,0,0,0,13
Maria Digiorgio Mccolgan,,,,,0,0,0,13
Michael A Cibik,,,,,,0,0,13
Theresa A Dintino,,,,,,,0,13
Total,30,18,14,0,0,0,0,13
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,14
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,14
Paul Mango,17,0,0,0,0,0,0,14
Scott R Wagner,,13,0,0,0,0,0,14
Laura Ellsworth,,,3,0,0,0,0,14
Christopher M Vogler,,,,0,0,0,0,14
Maria Digiorgio Mccolgan,,,,,0,0,0,14
Michael A Cibik,,,,,,0,0,14
Theresa A Dintino,,,,,,,0,14
Total,17,13,3,0,0,0,0,14
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,15
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,15
Paul Mango,6,0,0,0,0,0,0,15
Scott R Wagner,,6,0,0,0,0,0,15
Laura Ellsworth,,,4,0,0,0,0,15
Christopher M Vogler,,,,0,0,0,0,15
Maria Digiorgio Mccolgan,,,,,0,0,0,15
Michael A Cibik,,,,,,0,0,15
Theresa A Dintino,,,,,,,0,15
Total,6,6,4,0,0,0,0,15
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,16
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,16
Paul Mango,21,0,0,0,0,0,0,16
Scott R Wagner,,6,0,0,0,0,0,16
Laura Ellsworth,,,1,0,0,0,0,16
Christopher M Vogler,,,,0,0,0,0,16
Maria Digiorgio Mccolgan,,,,,0,0,0,16
Michael A Cibik,,,,,,0,0,16
Theresa A Dintino,,,,,,,0,16
Total,21,6,1,0,0,0,0,16
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,17
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,17
Paul Mango,19,0,0,0,0,0,0,17
Scott R Wagner,,17,0,0,0,0,0,17
Laura Ellsworth,,,9,0,0,0,0,17
Christopher M Vogler,,,,0,0,0,0,17
Maria Digiorgio Mccolgan,,,,,0,0,0,17
Michael A Cibik,,,,,,0,0,17
Theresa A Dintino,,,,,,,0,17
Total,19,17,9,0,0,0,0,17
,Member Of The Republican State Committee 1st Congressional District,,,,Governor - Republican,,,18
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,Paul Mango,Scott R Wagner,Laura Ellsworth,18
Maria Digiorgio Mccolgan,0,24,23,22,14,13,5,18
Christopher M Vogler,,0,24,22,12,11,7,18
Michael A Cibik,,,0,21,11,9,4,18
Theresa A Dintino,,,,0,10,8,5,18
Paul Mango,,,,,3,0,0,18
Scott R Wagner,,,,,,5,0,18
Laura Ellsworth,,,,,,,5,18
Total,33,31,25,24,21,20,13,18
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,19
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,19
Paul Mango,8,0,0,0,0,0,0,19
Scott R Wagner,,5,0,0,0,0,0,19
Laura Ellsworth,,,1,0,0,0,0,19
Christopher M Vogler,,,,0,0,0,0,19
Maria Digiorgio Mccolgan,,,,,0,0,0,19
Michael A Cibik,,,,,,0,0,19
Theresa A Dintino,,,,,,,0,19
Total,8,5,1,0,0,0,0,19
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,20
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,20
Paul Mango,8,0,0,0,0,0,0,20
Scott R Wagner,,5,0,0,0,0,0,20
Laura Ellsworth,,,3,0,0,0,0,20
Christopher M Vogler,,,,0,0,0,0,20
Maria Digiorgio Mccolgan,,,,,0,0,0,20
Michael A Cibik,,,,,,0,0,20
Theresa A Dintino,,,,,,,0,20
Total,8,5,3,0,0,0,0,20
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,21
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,21
Paul Mango,10,0,0,0,0,0,0,21
Scott R Wagner,,9,0,0,0,0,0,21
Laura Ellsworth,,,6,0,0,0,0,21
Christopher M Vogler,,,,0,0,0,0,21
Maria Digiorgio Mccolgan,,,,,0,0,0,21
Michael A Cibik,,,,,,0,0,21
Theresa A Dintino,,,,,,,0,21
Total,10,9,6,0,0,0,0,21
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,22
,Scott R Wagner,Paul Mango,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,22
Scott R Wagner,16,0,0,0,0,0,0,22
Paul Mango,,9,0,0,0,0,0,22
Laura Ellsworth,,,6,0,0,0,0,22
Christopher M Vogler,,,,0,0,0,0,22
Maria Digiorgio Mccolgan,,,,,0,0,0,22
Michael A Cibik,,,,,,0,0,22
Theresa A Dintino,,,,,,,0,22
Total,16,9,6,0,0,0,0,22
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,23
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,23
Paul Mango,9,0,0,0,0,0,0,23
Scott R Wagner,,9,0,0,0,0,0,23
Laura Ellsworth,,,2,0,0,0,0,23
Christopher M Vogler,,,,0,0,0,0,23
Maria Digiorgio Mccolgan,,,,,0,0,0,23
Michael A Cibik,,,,,,0,0,23
Theresa A Dintino,,,,,,,0,23
Total,9,9,2,0,0,0,0,23
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,24
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,24
Paul Mango,8,0,0,0,0,0,0,24
Scott R Wagner,,7,0,0,0,0,0,24
Laura Ellsworth,,,6,0,0,0,0,24
Christopher M Vogler,,,,0,0,0,0,24
Maria Digiorgio Mccolgan,,,,,0,0,0,24
Michael A Cibik,,,,,,0,0,24
Theresa A Dintino,,,,,,,0,24
Total,8,7,6,0,0,0,0,24
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,25
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,25
Paul Mango,10,0,0,0,0,0,0,25
Scott R Wagner,,8,0,0,0,0,0,25
Laura Ellsworth,,,2,0,0,0,0,25
Christopher M Vogler,,,,0,0,0,0,25
Maria Digiorgio Mccolgan,,,,,0,0,0,25
Michael A Cibik,,,,,,0,0,25
Theresa A Dintino,,,,,,,0,25
Total,10,8,2,0,0,0,0,25
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,26
,Paul Mango,Laura Ellsworth,Scott R Wagner,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,26
Paul Mango,7,0,0,0,0,0,0,26
Laura Ellsworth,,4,0,0,0,0,0,26
Scott R Wagner,,,4,0,0,0,0,26
Christopher M Vogler,,,,0,0,0,0,26
Maria Digiorgio Mccolgan,,,,,0,0,0,26
Michael A Cibik,,,,,,0,0,26
Theresa A Dintino,,,,,,,0,26
Total,7,4,4,0,0,0,0,26
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,27
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,27
Paul Mango,4,0,0,0,0,0,0,27
Scott R Wagner,,3,0,0,0,0,0,27
Laura Ellsworth,,,2,0,0,0,0,27
Christopher M Vogler,,,,0,0,0,0,27
Maria Digiorgio Mccolgan,,,,,0,0,0,27
Michael A Cibik,,,,,,0,0,27
Theresa A Dintino,,,,,,,0,27
Total,4,3,2,0,0,0,0,27
,Governor - Republican,,,Member Of The Republican State Committee 1st Congressional District,,,,28
,Paul Mango,Scott R Wagner,Laura Ellsworth,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,28
Paul Mango,15,0,0,0,0,0,0,28
Scott R Wagner,,12,0,0,0,0,0,28
Laura Ellsworth,,,4,0,0,0,0,28
Christopher M Vogler,,,,0,0,0,0,28
