col_1,col_2,col_3,col_4,col_5,col_6,order,division
,United States Senator - Republican,,Governor - Republican,,,1,All
,Lou Barletta,Jim Christiana,Paul Mango,Laura Ellsworth,Scott R Wagner,2,All
Lou Barletta,0,0,16,16,17,3,All
Jim Christiana,,1,20,15,10,4,All
Paul Mango,,,2,0,0,5,All
Laura Ellsworth,,,,4,0,6,All
Scott R Wagner,,,,,4,7,All
Total,49,46,38,35,31,8,All
,Governor - Republican,,,United States Senator - Republican,,1,2
,Laura Ellsworth,Paul Mango,Scott R Wagner,Jim Christiana,Lou Barletta,2,2
Laura Ellsworth,1,0,0,0,0,3,2
Paul Mango,,0,0,0,0,4,2
Scott R Wagner,,,0,0,0,5,2
Jim Christiana,,,,0,0,6,2
Lou Barletta,,,,,0,7,2
Total,1,0,0,0,0,8,2
,United States Senator - Republican,,Governor - Republican,,,1,9
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,9
Jim Christiana,0,0,2,1,0,3,9
Lou Barletta,,0,1,1,0,4,9
Paul Mango,,,0,0,0,5,9
Scott R Wagner,,,,0,0,6,9
Laura Ellsworth,,,,,0,7,9
Total,3,2,3,2,0,8,9
,United States Senator - Republican,,Governor - Republican,,,1,10
,Lou Barletta,Jim Christiana,Scott R Wagner,Laura Ellsworth,Paul Mango,2,10
Lou Barletta,0,0,1,0,0,3,10
Jim Christiana,,0,0,0,0,4,10
Scott R Wagner,,,0,0,0,5,10
Laura Ellsworth,,,,0,0,6,10
Paul Mango,,,,,0,7,10
Total,1,0,1,0,0,8,10
,United States Senator - Republican,,Governor - Republican,,,1,11
,Jim Christiana,Lou Barletta,Laura Ellsworth,Paul Mango,Scott R Wagner,2,11
Jim Christiana,1,0,2,3,0,3,11
Lou Barletta,,0,3,1,1,4,11
Laura Ellsworth,,,0,0,0,5,11
Paul Mango,,,,0,0,6,11
Scott R Wagner,,,,,0,7,11
Total,6,5,5,4,1,8,11
,United States Senator - Republican,,Governor - Republican,,,1,12
,Jim Christiana,Lou Barletta,Scott R Wagner,Paul Mango,Laura Ellsworth,2,12
Jim Christiana,0,0,4,3,1,3,12
Lou Barletta,,0,2,1,0,4,12
Scott R Wagner,,,0,0,0,5,12
Paul Mango,,,,0,0,6,12
Laura Ellsworth,,,,,0,7,12
Total,8,3,6,4,1,8,12
,Governor - Republican,,,United States Senator - Republican,,1,13
,Paul Mango,Laura Ellsworth,Scott R Wagner,Lou Barletta,Jim Christiana,2,13
Paul Mango,1,0,0,5,5,3,13
Laura Ellsworth,,0,0,3,2,4,13
Scott R Wagner,,,0,2,1,5,13
Lou Barletta,,,,0,0,6,13
Jim Christiana,,,,,0,7,13
Total,11,5,3,10,8,8,13
,United States Senator - Republican,,Governor - Republican,,,1,14
,Jim Christiana,Lou Barletta,Scott R Wagner,Paul Mango,Laura Ellsworth,2,14
Jim Christiana,0,0,1,2,1,3,14
Lou Barletta,,0,2,0,1,4,14
Scott R Wagner,,,1,0,0,5,14
Paul Mango,,,,1,0,6,14
Laura Ellsworth,,,,,0,7,14
Total,4,3,4,3,2,8,14
,Governor - Republican,,,United States Senator - Republican,,1,15
,Laura Ellsworth,Scott R Wagner,Paul Mango,Lou Barletta,Jim Christiana,2,15
Laura Ellsworth,2,0,0,4,0,3,15
Scott R Wagner,,0,0,2,0,4,15
Paul Mango,,,0,0,0,5,15
Lou Barletta,,,,0,0,6,15
Jim Christiana,,,,,0,7,15
Total,6,2,0,6,0,8,15
,Governor - Republican,,,United States Senator - Republican,,1,16
,Laura Ellsworth,Scott R Wagner,Paul Mango,Jim Christiana,Lou Barletta,2,16
Laura Ellsworth,1,0,0,4,2,3,16
Scott R Wagner,,1,0,0,1,4,16
Paul Mango,,,0,0,1,5,16
Jim Christiana,,,,0,0,6,16
Lou Barletta,,,,,0,7,16
Total,7,2,1,4,4,8,16
,United States Senator - Republican,,Governor - Republican,,,1,17
,Jim Christiana,Lou Barletta,Laura Ellsworth,Paul Mango,Scott R Wagner,2,17
Jim Christiana,0,0,1,0,0,3,17
Lou Barletta,,0,0,0,0,4,17
Laura Ellsworth,,,0,0,0,5,17
Paul Mango,,,,0,0,6,17
Scott R Wagner,,,,,0,7,17
Total,1,0,1,0,0,8,17
,Governor - Republican,,,United States Senator - Republican,,1,18
,Paul Mango,Laura Ellsworth,Scott R Wagner,Jim Christiana,Lou Barletta,2,18
Paul Mango,0,0,0,4,5,3,18
Laura Ellsworth,,0,0,3,1,4,18
Scott R Wagner,,,1,1,2,5,18
Jim Christiana,,,,0,0,6,18
Lou Barletta,,,,,0,7,18
Total,9,4,4,8,8,8,18
,United States Senator - Republican,,Governor - Republican,,,1,19
,Lou Barletta,Jim Christiana,Scott R Wagner,Laura Ellsworth,Paul Mango,2,19
Lou Barletta,0,0,1,0,0,3,19
Jim Christiana,,0,0,0,0,4,19
Scott R Wagner,,,0,0,0,5,19
Laura Ellsworth,,,,0,0,6,19
Paul Mango,,,,,0,7,19
Total,1,0,1,0,0,8,19
,United States Senator - Republican,,Governor - Republican,,,1,20
,Lou Barletta,Jim Christiana,Scott R Wagner,Laura Ellsworth,Paul Mango,2,20
Lou Barletta,0,0,2,2,2,3,20
Jim Christiana,,0,2,1,1,4,20
Scott R Wagner,,,1,0,0,5,20
Laura Ellsworth,,,,0,0,6,20
Paul Mango,,,,,0,7,20
Total,6,4,5,3,3,8,20
