To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,To Remove 6,division
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,To Remove 6,All
,Lou Barletta,Jim Christiana,Write In,Scott R Wagner,Paul Mango,Laura Ellsworth,Write In,All
Lou Barletta,1,0,0,62,37,13,0,All
Jim Christiana,,2,0,38,26,12,0,All
Write In,,,1,0,0,0,0,All
Scott R Wagner,,,,6,0,0,0,All
Paul Mango,,,,,12,0,0,All
Laura Ellsworth,,,,,,8,0,All
Write In,,,,,,,0,All
Total,116,81,2,108,77,35,1,All
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,1
,Lou Barletta,Jim Christiana,Write In,Paul Mango,Laura Ellsworth,Scott R Wagner,0,1
Lou Barletta,1,0,0,0,0,0,0,1
Jim Christiana,,1,0,0,0,0,0,1
Write In,,,1,0,0,0,0,1
Paul Mango,,,,1,0,0,0,1
Laura Ellsworth,,,,,1,0,0,1
Scott R Wagner,,,,,,1,0,1
Total,2,1,1,2,1,1,0,1
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,2
,Jim Christiana,Paul Mango,Scott R Wagner,Laura Ellsworth,Lou Barletta,Write In,0,2
Laura Ellsworth,1,0,0,1,0,0,0,2
Paul Mango,0,1,0,,0,0,0,2
Scott R Wagner,0,,1,,0,0,0,2
Jim Christiana,1,,,,0,0,0,2
Lou Barletta,,,,,1,0,0,2
Write In,,,,,,1,0,2
Total,3,1,1,4,2,1,0,2
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,3
,Jim Christiana,Lou Barletta,Write In,Scott R Wagner,Laura Ellsworth,Paul Mango,0,3
Jim Christiana,1,0,0,0,0,1,0,3
Lou Barletta,,1,0,1,0,0,0,3
Write In,,,1,0,0,0,0,3
Scott R Wagner,,,,1,0,0,0,3
Laura Ellsworth,,,,,1,0,0,3
Paul Mango,,,,,,1,0,3
Total,5,4,1,4,3,3,0,3
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,4
,Jim Christiana,Paul Mango,Laura Ellsworth,Scott R Wagner,Lou Barletta,Write In,0,4
Scott R Wagner,0,0,0,1,1,0,0,4
Paul Mango,0,1,0,,0,0,0,4
Laura Ellsworth,0,,1,,0,0,0,4
Jim Christiana,1,,,,0,0,0,4
Lou Barletta,,,,,1,0,0,4
Write In,,,,,,1,0,4
Total,3,2,1,4,3,1,0,4
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,5
,Jim Christiana,Lou Barletta,Write In,Scott R Wagner,Laura Ellsworth,Paul Mango,0,5
Jim Christiana,1,0,0,0,0,0,0,5
Lou Barletta,,1,0,1,0,0,0,5
Write In,,,1,0,0,0,0,5
Scott R Wagner,,,,1,0,0,0,5
Laura Ellsworth,,,,,1,0,0,5
