col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Lieutenant Governor - Democrat,,,,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,All
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Rhea Powell,Marylouise Isaacson,Amanda Mcillmurray,Andi Perez,Micah Mahjoubian,Judi Golding Baker,Tom Young,Mariel J K Martin,Noam Kugelmass,Darrell L Clarke,Joe Celentano,Matthew D Myers,Jon Geeting,All
Mike Stack,"44,217",0,0,0,0,"3,274","3,300","2,255","2,926","3,124","1,811","3,627","2,816","1,841","2,896","2,518","2,510","1,224",All
Nina Ahmad,,"26,836",0,0,0,"6,092","5,643","5,485","5,005","4,395","5,686","3,417","4,401","4,002","3,649","2,638","2,849","2,504",All
John Fetterman,,,"16,212",0,0,"4,148","3,659","3,633","3,334","3,032","3,099","2,932","2,811","2,906","2,383","2,341","1,735","2,222",All
Kathi Cozzone,,,,"17,568",0,"2,657","1,622","1,500","1,180","1,675","1,204","1,641","1,228","1,409",729,"1,515",631,613,All
Ray Sosa,,,,,"1,081",116,108,109,128,80,91,88,93,90,62,105,79,74,All
Rhea Powell,,,,,,98,"9,855","9,802","8,426","8,128","7,991","7,330","7,600","7,255","5,205","6,857","3,573","4,461",All
Marylouise Isaacson,,,,,,,19,"9,322","9,030","8,553","8,061","7,352","8,750","5,825","6,250","5,042","4,976","3,575",All
Amanda Mcillmurray,,,,,,,,47,"7,427","6,391","7,570","5,728","7,342","5,640","4,521","5,046","3,419","3,694",All
Andi Perez,,,,,,,,,19,"7,595","6,404","6,739","7,625","5,267","5,741","4,644","4,461","3,736",All
Micah Mahjoubian,,,,,,,,,,34,"5,526","7,162","6,596","5,704","5,293","5,099","4,022","2,945",All
Judi Golding Baker,,,,,,,,,,,17,"4,525","6,337","5,061","4,776","3,433","4,473","2,976",All
Tom Young,,,,,,,,,,,,60,"5,860","5,545","4,737","5,510","4,220","3,361",All
Mariel J K Martin,,,,,,,,,,,,,26,"4,365","5,472","3,764","4,524","2,658",All
Noam Kugelmass,,,,,,,,,,,,,,25,"3,036","4,586","2,928","3,238",All
Darrell L Clarke,,,,,,,,,,,,,,,111,"2,590","4,492","2,125",All
Joe Celentano,,,,,,,,,,,,,,,,67,"2,196","3,183",All
Matthew D Myers,,,,,,,,,,,,,,,,,206,"2,053",All
Jon Geeting,,,,,,,,,,,,,,,,,,23,All
Total,"51,259","36,843","23,719","21,302","1,329","16,573","14,538","13,171","12,762","12,513","12,008","11,961","11,599","10,381","10,118","9,300","8,263","6,726",All
