col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,All
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,All
Bob Casey Jr,137,968,417,388,116,18,All
Mike Stack,,61,0,0,0,0,All
Kathi Cozzone,,,19,0,0,0,All
Nina Ahmad,,,,35,0,0,All
John Fetterman,,,,,18,0,All
Ray Sosa,,,,,,4,All
Total,"2,044","1,029",436,423,134,22,All
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,1
Bob Casey Jr,6,21,11,6,5,0,1
Mike Stack,,3,0,0,0,0,1
Kathi Cozzone,,,0,0,0,0,1
Nina Ahmad,,,,0,0,0,1
John Fetterman,,,,,0,0,1
Ray Sosa,,,,,,0,1
Total,49,24,11,6,5,0,1
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,2
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2
Bob Casey Jr,11,26,27,27,5,0,2
Mike Stack,,3,0,0,0,0,2
Kathi Cozzone,,,1,0,0,0,2
Nina Ahmad,,,,1,0,0,2
John Fetterman,,,,,2,0,2
Ray Sosa,,,,,,0,2
Total,96,29,28,28,7,0,2
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,3
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,3
Bob Casey Jr,7,66,21,21,7,0,3
Mike Stack,,2,0,0,0,0,3
Nina Ahmad,,,2,0,0,0,3
Kathi Cozzone,,,,0,0,0,3
John Fetterman,,,,,1,0,3
Ray Sosa,,,,,,0,3
Total,122,68,23,21,8,0,3
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,4
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,4
Bob Casey Jr,2,44,11,10,2,0,4
Mike Stack,,2,0,0,0,0,4
Nina Ahmad,,,0,0,0,0,4
Kathi Cozzone,,,,0,0,0,4
John Fetterman,,,,,0,0,4
Ray Sosa,,,,,,1,4
Total,69,46,11,10,2,1,4
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,5
