col_1,col_2,col_3,col_4,col_5,col_6,division
,Member Of The Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,1
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Christiana,Lou Barletta,1
Calvin R Tucker,0,1,1,1,0,1
Denise Furey,,0,1,1,0,1
Walt Vogler,,,0,1,0,1
Jim Christiana,,,,0,0,1
Lou Barletta,,,,,0,1
Total,1,1,1,1,0,1
,Member Of The Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,3
,Denise Furey,Calvin R Tucker,Walt Vogler,Jim Christiana,Lou Barletta,3
Denise Furey,0,1,1,1,1,3
Calvin R Tucker,,0,1,1,0,3
Walt Vogler,,,0,1,0,3
Jim Christiana,,,,1,0,3
Lou Barletta,,,,,0,3
Total,2,1,1,2,1,3
,Member Of The Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,5
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Christiana,Lou Barletta,5
Calvin R Tucker,0,0,0,1,0,5
Denise Furey,,0,0,0,0,5
Walt Vogler,,,0,0,0,5
Jim Christiana,,,,0,0,5
Lou Barletta,,,,,0,5
Total,1,0,0,1,0,5
,Member Of The Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,6
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Christiana,Lou Barletta,6
Calvin R Tucker,0,1,0,1,0,6
Denise Furey,,0,0,1,0,6
Walt Vogler,,,0,0,0,6
Jim Christiana,,,,0,0,6
Lou Barletta,,,,,0,6
Total,1,1,0,1,0,6
,United States Senator - Republican,,Member Of The Republican State Committee 2nd Congressional District,,,7
,Jim Christiana,Lou Barletta,Calvin R Tucker,Walt Vogler,Denise Furey,7
Jim Christiana,1,0,1,1,0,7
Lou Barletta,,0,0,0,0,7
Calvin R Tucker,,,0,0,0,7
Walt Vogler,,,,0,0,7
Denise Furey,,,,,0,7
Total,3,0,1,1,0,7
,Member Of The Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,8
,Calvin R Tucker,Denise Furey,Walt Vogler,Lou Barletta,Jim Christiana,8
Calvin R Tucker,1,1,1,1,0,8
Denise Furey,,0,1,1,0,8
Walt Vogler,,,0,1,0,8
Lou Barletta,,,,0,0,8
Jim Christiana,,,,,0,8
Total,2,1,1,1,0,8
,Member Of The Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,9
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Christiana,Lou Barletta,9
Calvin R Tucker,1,0,0,0,0,9
Denise Furey,,0,0,0,0,9
Walt Vogler,,,0,0,0,9
Jim Christiana,,,,0,0,9
Lou Barletta,,,,,0,9
Total,1,0,0,0,0,9
,Member Of The Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,13
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Christiana,Lou Barletta,13
Calvin R Tucker,0,0,0,1,0,13
Denise Furey,,0,0,0,0,13
Walt Vogler,,,0,0,0,13
Jim Christiana,,,,0,0,13
Lou Barletta,,,,,0,13
Total,1,0,0,1,0,13
,United States Senator - Republican,,Member Of The Republican State Committee 2nd Congressional District,,,15
,Lou Barletta,Jim Christiana,Walt Vogler,Calvin R Tucker,Denise Furey,15
Lou Barletta,0,0,1,0,0,15
Jim Christiana,,0,0,0,0,15
Walt Vogler,,,0,0,0,15
Calvin R Tucker,,,,0,0,15
Denise Furey,,,,,0,15
Total,1,0,1,0,0,15
,Member Of The Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,16
,Calvin R Tucker,Denise Furey,Walt Vogler,Jim Christiana,Lou Barletta,16
Calvin R Tucker,0,1,1,1,0,16
Denise Furey,,0,1,1,0,16
Walt Vogler,,,0,1,0,16
Jim Christiana,,,,0,0,16
Lou Barletta,,,,,0,16
Total,1,1,1,1,0,16
,United States Senator - Republican,,Member Of The Republican State Committee 2nd Congressional District,,,17
,Lou Barletta,Jim Christiana,Walt Vogler,Calvin R Tucker,Denise Furey,17
Lou Barletta,0,0,1,0,0,17
Jim Christiana,,0,0,0,0,17
Walt Vogler,,,0,0,0,17
Calvin R Tucker,,,,0,0,17
Denise Furey,,,,,0,17
Total,1,0,1,0,0,17
,United States Senator - Republican,,Member Of The Republican State Committee 2nd Congressional District,,,20
,Jim Christiana,Lou Barletta,Calvin R Tucker,Denise Furey,Walt Vogler,20
Jim Christiana,1,0,0,0,0,20
Lou Barletta,,0,0,0,0,20
Calvin R Tucker,,,0,0,0,20
Denise Furey,,,,0,0,20
Walt Vogler,,,,,0,20
Total,1,0,0,0,0,20
,Member Of The Republican State Committee 2nd Congressional District,,,United States Senator - Republican,,21
,Denise Furey,Calvin R Tucker,Walt Vogler,Jim Christiana,Lou Barletta,21
Denise Furey,0,1,1,1,1,21
Calvin R Tucker,,0,1,0,1,21
Walt Vogler,,,0,0,1,21
Jim Christiana,,,,0,0,21
Lou Barletta,,,,,0,21
Total,2,1,1,1,1,21
,United States Senator - Republican,,Member Of The Republican State Committee 2nd Congressional District,,,All
,Jim Christiana,Lou Barletta,Calvin R Tucker,Denise Furey,Walt Vogler,All
Jim Christiana,3,0,7,5,4,All
Lou Barletta,,0,2,3,4,All
Calvin R Tucker,,,2,6,5,All
Denise Furey,,,,0,5,All
Walt Vogler,,,,,0,All
Total,12,5,11,8,8,All
