col_1,col_2,division
,Representative In Congress 3rd District - Republican,All
,Bryan E Leib,All
Bryan E Leib,27,All
Total,27,All
,Representative In Congress 3rd District - Republican,2
,Bryan E Leib,2
Bryan E Leib,3,2
Total,3,2
,Representative In Congress 3rd District - Republican,3
,Bryan E Leib,3
Bryan E Leib,1,3
Total,1,3
,Representative In Congress 3rd District - Republican,5
,Bryan E Leib,5
Bryan E Leib,2,5
Total,2,5
,Representative In Congress 3rd District - Republican,8
,Bryan E Leib,8
Bryan E Leib,2,8
Total,2,8
,Representative In Congress 3rd District - Republican,9
,Bryan E Leib,9
Bryan E Leib,3,9
Total,3,9
,Representative In Congress 3rd District - Republican,10
,Bryan E Leib,10
Bryan E Leib,1,10
Total,1,10
,Representative In Congress 3rd District - Republican,11
,Bryan E Leib,11
Bryan E Leib,1,11
Total,1,11
,Representative In Congress 3rd District - Republican,12
,Bryan E Leib,12
Bryan E Leib,3,12
Total,3,12
,Representative In Congress 3rd District - Republican,13
,Bryan E Leib,13
Bryan E Leib,1,13
Total,1,13
,Representative In Congress 3rd District - Republican,16
,Bryan E Leib,16
Bryan E Leib,1,16
Total,1,16
,Representative In Congress 3rd District - Republican,19
,Bryan E Leib,19
Bryan E Leib,2,19
Total,2,19
,Representative In Congress 3rd District - Republican,20
,Bryan E Leib,20
Bryan E Leib,1,20
Total,1,20
,Representative In Congress 3rd District - Republican,21
,Bryan E Leib,21
Bryan E Leib,1,21
Total,1,21
,Representative In Congress 3rd District - Republican,22
,Bryan E Leib,22
Bryan E Leib,2,22
Total,2,22
,Representative In Congress 3rd District - Republican,24
,Bryan E Leib,24
Bryan E Leib,1,24
Total,1,24
,Representative In Congress 3rd District - Republican,26
,Bryan E Leib,26
Bryan E Leib,1,26
Total,1,26
,Representative In Congress 3rd District - Republican,27
,Bryan E Leib,27
Bryan E Leib,1,27
Total,1,27
