col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,District Council 7th District,,City Commissioners,,,,All
,Maria Quiñones Sánchez,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,All
Maria Quiñones Sánchez,42,0,"1,086","1,074",32,0,All
Write-In,,0,2,2,3,1,All
Lisa Deeley,,,10,"1,056",20,0,All
Omar Sabir,,,,16,10,0,All
Al Schmidt,,,,,82,1,All
Write-In,,,,,,0,All
Total,"1,179",5,"1,123","1,115",127,1,All
,District Council 7th District,,City Commissioners,,,,1
,Maria Quiñones Sánchez,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,1
Maria Quiñones Sánchez,4,0,92,88,3,0,1
Write-In,,0,0,0,0,0,1
Omar Sabir,,,2,89,1,0,1
Lisa Deeley,,,,1,0,0,1
Al Schmidt,,,,,7,0,1
Write-In,,,,,,0,1
Total,101,0,98,93,10,0,1
,District Council 7th District,,City Commissioners,,,,2
,Maria Quiñones Sánchez,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,2
Maria Quiñones Sánchez,4,0,59,57,2,0,2
Write-In,,0,0,0,0,0,2
Lisa Deeley,,,1,56,2,0,2
Omar Sabir,,,,1,1,0,2
Al Schmidt,,,,,7,0,2
Write-In,,,,,,0,2
Total,65,0,61,59,11,0,2
,District Council 7th District,,City Commissioners,,,,3
,Maria Quiñones Sánchez,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,3
Maria Quiñones Sánchez,1,0,74,74,2,0,3
Write-In,,0,0,0,0,0,3
Lisa Deeley,,,1,72,3,0,3
Omar Sabir,,,,1,0,0,3
Al Schmidt,,,,,7,0,3
Write-In,,,,,,0,3
Total,78,0,77,75,11,0,3
,District Council 7th District,,City Commissioners,,,,4
,Maria Quiñones Sánchez,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,4
Maria Quiñones Sánchez,4,0,69,68,0,0,4
Write-In,,0,0,0,0,0,4
Lisa Deeley,,,0,64,0,0,4
Omar Sabir,,,,0,1,0,4
Al Schmidt,,,,,3,0,4
Write-In,,,,,,0,4
Total,78,0,70,70,4,0,4
,District Council 7th District,,City Commissioners,,,,5
,Maria Quiñones Sánchez,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,5
Maria Quiñones Sánchez,16,0,117,117,3,0,5
Write-In,,0,0,0,0,0,5
Omar Sabir,,,2,115,1,0,5
Lisa Deeley,,,,1,0,0,5
Al Schmidt,,,,,5,0,5
Write-In,,,,,,0,5
Total,138,0,120,119,8,0,5
,District Council 7th District,,City Commissioners,,,,6
,Maria Quiñones Sánchez,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,6
Maria Quiñones Sánchez,0,0,56,58,6,0,6
Write-In,,0,0,0,0,0,6
Omar Sabir,,,1,54,3,0,6
Lisa Deeley,,,,0,4,0,6
Al Schmidt,,,,,8,0,6
Write-In,,,,,,0,6
Total,62,0,60,59,16,0,6
,District Council 7th District,,City Commissioners,,,,7
,Maria Quiñones Sánchez,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,7
Maria Quiñones Sánchez,4,0,67,65,1,0,7
Write-In,,0,0,0,1,1,7
Lisa Deeley,,,1,63,0,0,7
Omar Sabir,,,,1,1,0,7
Al Schmidt,,,,,7,1,7
Write-In,,,,,,0,7
Total,74,1,69,67,9,1,7
,District Council 7th District,,City Commissioners,,,,8
,Maria Quiñones Sánchez,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,8
Maria Quiñones Sánchez,2,0,75,76,2,0,8
Write-In,,0,0,0,0,0,8
Lisa Deeley,,,1,73,1,0,8
Omar Sabir,,,,0,1,0,8
Al Schmidt,,,,,4,0,8
Write-In,,,,,,0,8
Total,81,0,77,77,6,0,8
,City Commissioners,,,,District Council 7th District,,9
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,Maria Quiñones Sánchez,Write-In,9
Lisa Deeley,0,76,1,0,74,0,9
Omar Sabir,,0,0,0,75,0,9
Al Schmidt,,,5,0,0,0,9
Write-In,,,,0,0,0,9
Maria Quiñones Sánchez,,,,,0,0,9
Write-In,,,,,,0,9
Total,78,78,6,0,76,0,9
,District Council 7th District,,City Commissioners,,,,10
,Maria Quiñones Sánchez,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,10
Maria Quiñones Sánchez,0,0,79,78,5,0,10
Write-In,,0,0,0,0,0,10
Lisa Deeley,,,1,77,3,0,10
Omar Sabir,,,,1,0,0,10
Al Schmidt,,,,,6,0,10
Write-In,,,,,,0,10
Total,84,0,82,80,12,0,10
,District Council 7th District,,City Commissioners,,,,11
,Maria Quiñones Sánchez,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,11
Maria Quiñones Sánchez,5,0,79,77,2,0,11
Write-In,,0,2,0,2,0,11
Lisa Deeley,,,1,79,3,0,11
Omar Sabir,,,,1,0,0,11
Al Schmidt,,,,,5,0,11
Write-In,,,,,,0,11
Total,86,2,85,80,10,0,11
,District Council 7th District,,City Commissioners,,,,14
,Maria Quiñones Sánchez,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,14
Maria Quiñones Sánchez,2,0,105,104,3,0,14
Write-In,,0,1,0,0,0,14
Omar Sabir,,,2,104,1,0,14
Lisa Deeley,,,,1,1,0,14
Al Schmidt,,,,,8,0,14
Write-In,,,,,,0,14
Total,110,1,110,107,11,0,14
,City Commissioners,,,,District Council 7th District,,22
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,Maria Quiñones Sánchez,Write-In,22
Lisa Deeley,1,86,1,0,90,0,22
Omar Sabir,,2,0,0,86,1,22
Al Schmidt,,,8,0,1,0,22
Write-In,,,,0,0,0,22
Maria Quiñones Sánchez,,,,,0,0,22
Write-In,,,,,,0,22
Total,93,91,9,0,92,1,22
,District Council 7th District,,City Commissioners,,,,23
,Maria Quiñones Sánchez,Write-In,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,23
Maria Quiñones Sánchez,0,0,53,48,2,0,23
Write-In,,0,0,0,0,0,23
Lisa Deeley,,,0,48,1,0,23
