col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Mayor,,,City Commissioners,,,,All
,Jim Kenney,Billy Ciancaglini,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,All
Jim Kenney,94,0,0,"2,358","2,293",32,1,All
Billy Ciancaglini,,2,0,27,23,48,0,All
Write-In,,,0,5,5,1,1,All
Omar Sabir,,,,19,"2,245",15,0,All
Lisa Deeley,,,,,7,16,1,All
Al Schmidt,,,,,,3,1,All
Write-In,,,,,,,0,All
Total,"2,542",80,6,"2,425","2,344",84,2,All
,Mayor,,,City Commissioners,,,,1
,Jim Kenney,Billy Ciancaglini,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,1
Jim Kenney,17,0,0,181,171,4,0,1
Billy Ciancaglini,,0,0,1,0,4,0,1
Write-In,,,0,0,0,0,0,1
Omar Sabir,,,,4,165,3,0,1
Lisa Deeley,,,,,0,1,0,1
Al Schmidt,,,,,,1,0,1
Write-In,,,,,,,0,1
Total,208,5,0,190,175,9,0,1
,City Commissioners,,,,Mayor,,,2
,Lisa Deeley,Omar Sabir,Al Schmidt,Write-In,Jim Kenney,Billy Ciancaglini,Write-In,2
Lisa Deeley,0,116,0,1,116,0,1,2
Omar Sabir,,0,1,0,116,1,0,2
Al Schmidt,,,0,0,1,3,0,2
Write-In,,,,0,0,0,1,2
Jim Kenney,,,,,0,0,0,2
Billy Ciancaglini,,,,,,0,0,2
Write-In,,,,,,,0,2
Total,119,119,4,1,118,4,1,2
,Mayor,,,City Commissioners,,,,3
,Jim Kenney,Billy Ciancaglini,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,3
Jim Kenney,15,0,0,186,178,5,1,3
Billy Ciancaglini,,1,0,7,7,2,0,3
Write-In,,,0,1,1,0,0,3
Omar Sabir,,,,3,183,2,0,3
Lisa Deeley,,,,,0,1,0,3
Al Schmidt,,,,,,0,1,3
Write-In,,,,,,,0,3
Total,208,11,1,200,189,7,1,3
,Mayor,,,City Commissioners,,,,4
,Jim Kenney,Billy Ciancaglini,Write-In,Omar Sabir,Lisa Deeley,Al Schmidt,Write-In,4
Jim Kenney,6,0,0,136,130,3,0,4
Billy Ciancaglini,,1,0,1,1,1,0,4
