col_1,col_2,col_3,col_4,division
,District Council 6th District,,,All
,Bobby Henon,Pete Smith,Write-In,All
Bobby Henon,"2,528",0,0,All
Pete Smith,,"1,544",0,All
Write-In,,,3,All
Total,"2,528","1,544",3,All
,District Council 6th District,,,1
,Pete Smith,Bobby Henon,Write-In,1
Pete Smith,160,0,0,1
Bobby Henon,,132,0,1
Write-In,,,1,1
Total,160,132,1,1
,District Council 6th District,,,2
,Bobby Henon,Pete Smith,Write-In,2
Bobby Henon,159,0,0,2
Pete Smith,,114,0,2
Write-In,,,0,2
Total,159,114,0,2
,District Council 6th District,,,3
,Bobby Henon,Pete Smith,Write-In,3
Bobby Henon,82,0,0,3
Pete Smith,,45,0,3
Write-In,,,0,3
Total,82,45,0,3
,District Council 6th District,,,4
,Bobby Henon,Pete Smith,Write-In,4
Bobby Henon,208,0,0,4
Pete Smith,,114,0,4
Write-In,,,0,4
Total,208,114,0,4
,District Council 6th District,,,5
,Bobby Henon,Pete Smith,Write-In,5
Bobby Henon,53,0,0,5
Pete Smith,,39,0,5
Write-In,,,0,5
Total,53,39,0,5
,District Council 6th District,,,6
,Bobby Henon,Pete Smith,Write-In,6
Bobby Henon,48,0,0,6
Pete Smith,,21,0,6
Write-In,,,0,6
Total,48,21,0,6
,District Council 6th District,,,7
,Bobby Henon,Pete Smith,Write-In,7
Bobby Henon,207,0,0,7
Pete Smith,,158,0,7
Write-In,,,1,7
Total,207,158,1,7
,District Council 6th District,,,8
,Bobby Henon,Pete Smith,Write-In,8
Bobby Henon,77,0,0,8
Pete Smith,,38,0,8
Write-In,,,0,8
Total,77,38,0,8
,District Council 6th District,,,9
,Bobby Henon,Pete Smith,Write-In,9
Bobby Henon,105,0,0,9
Pete Smith,,76,0,9
Write-In,,,0,9
Total,105,76,0,9
,District Council 6th District,,,10
,Pete Smith,Bobby Henon,Write-In,10
Pete Smith,131,0,0,10
Bobby Henon,,120,0,10
Write-In,,,0,10
Total,131,120,0,10
,District Council 6th District,,,11
,Bobby Henon,Pete Smith,Write-In,11
Bobby Henon,110,0,0,11
Pete Smith,,34,0,11
Write-In,,,0,11
Total,110,34,0,11
,District Council 6th District,,,12
,Bobby Henon,Pete Smith,Write-In,12
Bobby Henon,65,0,0,12
Pete Smith,,9,0,12
Write-In,,,0,12
Total,65,9,0,12
,District Council 6th District,,,13
,Bobby Henon,Pete Smith,Write-In,13
Bobby Henon,60,0,0,13
Pete Smith,,26,0,13
Write-In,,,0,13
Total,60,26,0,13
,District Council 6th District,,,14
,Bobby Henon,Pete Smith,Write-In,14
Bobby Henon,56,0,0,14
Pete Smith,,18,0,14
Write-In,,,0,14
Total,56,18,0,14
,District Council 6th District,,,15
,Bobby Henon,Pete Smith,Write-In,15
Bobby Henon,72,0,0,15
Pete Smith,,13,0,15
Write-In,,,0,15
Total,72,13,0,15
,District Council 6th District,,,16
,Bobby Henon,Pete Smith,Write-In,16
Bobby Henon,60,0,0,16
Pete Smith,,42,0,16
Write-In,,,0,16
Total,60,42,0,16
,District Council 6th District,,,17
,Bobby Henon,Pete Smith,Write-In,17
Bobby Henon,119,0,0,17
Pete Smith,,62,0,17
Write-In,,,0,17
Total,119,62,0,17
,District Council 6th District,,,18
,Bobby Henon,Pete Smith,Write-In,18
Bobby Henon,118,0,0,18
Pete Smith,,22,0,18
Write-In,,,1,18
Total,118,22,1,18
,District Council 6th District,,,19
,Bobby Henon,Pete Smith,Write-In,19
Bobby Henon,75,0,0,19
Pete Smith,,48,0,19
Write-In,,,0,19
Total,75,48,0,19
,District Council 6th District,,,20
,Bobby Henon,Pete Smith,Write-In,20
Bobby Henon,338,0,0,20
Pete Smith,,174,0,20
Write-In,,,0,20
Total,338,174,0,20
,District Council 6th District,,,21
,Bobby Henon,Pete Smith,Write-In,21
Bobby Henon,77,0,0,21
Pete Smith,,40,0,21
Write-In,,,0,21
Total,77,40,0,21
,District Council 6th District,,,22
,Bobby Henon,Pete Smith,Write-In,22
Bobby Henon,81,0,0,22
Pete Smith,,49,0,22
Write-In,,,0,22
Total,81,49,0,22
,District Council 6th District,,,23
,Pete Smith,Bobby Henon,Write-In,23
Pete Smith,111,0,0,23
Bobby Henon,,106,0,23
Write-In,,,0,23
Total,111,106,0,23
