col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Joshua Roberts,Jennifer Schultz,Carmella Jacquinto,Wendi Barish,James C Crumlish,Craig Levin,Anthony Kyriakakis,Henry Mcgregor Sias,Jon Marshall,Tiffany Palmer,Nicola Serianni,Cateria R Mccabe,Leon Goodman,Kendra Mccrae,Beth Grossman,Terri M Booker,Sherman Toppin,Janine D Momasso,Chris Hall,Kay Yu,Laurie Dow,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Adrián Rivera-reyes,Katherine Gilmore Richardson,Deja Lynn Alvarez,Willie Floyd Singletary,Ogbonna Paul Hagins,Erika Almirón,Sandra Dungee Glenn,Fernando Treviño,Eryn Santamoor,Fareed Abdullah,Beth Finn,Billy Thompson,Latrice Y Bryant,Asa Khalif,Justin Diberardinis,Edwin Santana,Hena Veit,Joseph A Diorio,Wayne Allen,Ethelind Baylor,Vinny Black,Mark Ross,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Joshua Roberts,40,179,266,259,292,169,241,236,165,54,60,70,75,44,54,56,69,27,37,31,24,22,19,26,12,267,353,329,303,211,249,159,141,115,37,32,43,38,39,32,23,24,30,31,19,25,27,25,15,15,12,15,15,9,1,All
Jennifer Schultz,,21,68,90,77,174,38,30,162,91,115,52,56,72,70,37,33,41,51,39,39,46,19,31,14,277,125,93,81,268,79,185,140,120,61,43,52,52,30,49,34,38,29,27,25,33,25,26,22,20,11,13,14,6,0,All
Carmella Jacquinto,,,0,226,225,39,210,204,17,47,34,53,34,55,37,37,42,36,29,39,31,25,18,19,12,127,273,245,259,70,205,50,22,15,32,58,34,29,35,22,23,18,27,34,30,21,17,13,20,4,6,9,10,4,0,All
Wendi Barish,,,,4,209,58,183,181,33,52,52,34,36,47,63,42,33,43,16,34,41,31,15,14,10,125,252,239,231,82,189,62,49,26,37,41,43,39,34,33,17,23,23,28,13,22,12,15,20,9,7,6,11,7,0,All
James C Crumlish,,,,,1,63,199,185,40,49,39,30,42,31,27,39,26,22,42,23,23,19,21,27,8,107,244,228,227,73,183,57,47,28,29,37,37,34,29,23,27,21,18,29,20,23,24,15,13,9,6,7,10,8,0,All
Craig Levin,,,,,,9,20,13,145,30,47,21,34,26,39,24,29,29,18,12,25,20,16,19,5,181,60,78,54,161,32,136,125,110,16,26,34,35,12,22,20,18,19,19,17,17,23,14,4,9,9,5,7,7,0,All
Anthony Kyriakakis,,,,,,,2,208,12,34,13,59,16,10,19,20,38,15,23,21,3,10,16,12,3,98,236,226,216,41,178,30,13,9,28,26,20,16,18,12,14,10,12,14,10,13,11,10,9,7,8,5,11,3,0,All
Henry Mcgregor Sias,,,,,,,,0,6,39,23,57,23,13,11,14,33,18,8,23,9,8,16,7,3,80,239,209,219,26,187,34,14,8,37,24,11,15,22,12,2,13,14,18,11,11,6,6,5,2,5,4,9,2,0,All
Jon Marshall,,,,,,,,,5,31,50,24,41,21,26,23,26,16,29,7,15,17,4,14,6,150,59,51,33,140,28,131,111,100,15,18,25,15,13,16,17,22,19,9,10,20,20,13,12,14,8,5,8,6,0,All
Tiffany Palmer,,,,,,,,,,1,58,58,59,71,49,54,24,30,45,38,34,30,19,17,10,106,101,60,84,54,45,29,19,13,64,50,24,23,32,24,28,27,34,24,18,15,11,21,15,14,10,15,9,7,0,All
Nicola Serianni,,,,,,,,,,,0,38,37,43,52,29,24,24,11,18,27,33,16,9,6,96,59,51,43,69,38,56,30,33,39,34,32,32,14,22,14,22,14,26,18,17,14,6,14,10,6,9,5,7,1,All
Cateria R Mccabe,,,,,,,,,,,,0,36,42,28,22,41,42,12,29,12,13,27,11,3,99,103,90,80,38,60,24,14,9,37,46,13,11,15,11,12,10,14,17,12,14,18,9,14,6,10,7,8,4,0,All
Leon Goodman,,,,,,,,,,,,,0,46,28,52,32,26,35,17,15,25,19,17,7,81,87,51,69,41,37,30,39,17,29,34,22,21,22,7,30,25,18,19,14,9,22,15,20,9,9,8,9,6,0,All
Kendra Mccrae,,,,,,,,,,,,,,3,43,50,23,31,41,34,25,14,7,20,7,76,83,58,71,51,48,32,31,17,25,33,20,24,29,27,17,26,28,12,16,13,6,9,10,9,5,9,8,5,0,All
Beth Grossman,,,,,,,,,,,,,,,0,34,24,25,26,29,30,40,17,11,8,78,57,60,46,69,34,40,22,21,29,36,28,29,21,35,13,24,18,14,14,17,11,14,6,8,10,13,9,5,1,All
Terri M Booker,,,,,,,,,,,,,,,,1,27,20,30,20,32,22,4,13,11,72,81,52,65,27,39,17,28,15,11,27,15,13,28,18,31,28,21,20,4,8,5,13,15,8,9,11,8,12,1,All
Sherman Toppin,,,,,,,,,,,,,,,,,0,27,20,11,21,20,6,13,7,60,70,58,54,38,50,21,22,14,13,18,24,18,15,10,14,11,11,4,14,8,16,13,4,11,9,7,9,7,0,All
Janine D Momasso,,,,,,,,,,,,,,,,,,0,7,16,26,14,28,5,6,51,56,35,41,32,27,17,10,10,30,47,23,17,9,14,7,14,15,13,14,10,16,5,8,8,7,2,7,1,0,All
Chris Hall,,,,,,,,,,,,,,,,,,,0,14,21,14,9,25,8,49,57,42,42,36,22,21,21,5,19,17,18,15,17,19,21,20,8,5,12,11,11,15,9,9,14,11,8,7,1,All
Kay Yu,,,,,,,,,,,,,,,,,,,,0,15,22,15,5,7,64,49,34,44,41,29,15,6,5,21,27,19,20,11,20,5,13,15,16,13,8,6,2,6,3,6,6,3,3,0,All
