col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,District Council 7th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Quiñones Sánchez,Angel L Cruz,Joshua Roberts,Jennifer Schultz,Anthony Kyriakakis,Carmella Jacquinto,James C Crumlish,Jon Marshall,Kay Yu,Tiffany Palmer,Nicola Serianni,Cateria R Mccabe,Craig Levin,Sherman Toppin,Terri M Booker,Chris Hall,Leon Goodman,Beth Grossman,Henry Mcgregor Sias,Kendra Mccrae,Wendi Barish,James F Berardinelli,Janine D Momasso,Laurie Dow,Robert Trimble,Vicki Markovitz,Gregory Weyer,All
Maria Quiñones Sánchez,19,0,11,14,5,6,6,4,9,7,7,2,5,4,5,5,3,3,2,4,2,4,3,3,2,2,0,All
Angel L Cruz,,20,15,9,11,9,7,7,4,5,4,8,5,5,4,3,5,3,3,1,3,0,1,1,2,1,0,All
Joshua Roberts,,,0,7,10,7,9,4,2,1,3,5,5,5,3,1,1,0,4,0,1,1,1,0,0,1,0,All
Jennifer Schultz,,,,2,3,4,4,6,2,3,5,1,5,2,0,1,3,4,2,1,3,0,2,1,0,2,0,All
Anthony Kyriakakis,,,,,0,6,7,1,2,3,1,4,1,6,3,2,3,1,4,2,1,1,1,0,1,0,0,All
Carmella Jacquinto,,,,,,0,3,1,3,2,2,4,2,7,1,1,1,0,5,0,0,2,1,2,0,1,0,All
James C Crumlish,,,,,,,0,1,3,2,2,1,1,1,1,4,1,1,1,0,1,3,1,0,1,2,0,All
Jon Marshall,,,,,,,,2,0,3,3,3,4,1,0,0,2,2,0,0,2,0,1,1,0,0,0,All
Kay Yu,,,,,,,,,0,3,1,0,1,1,3,3,3,2,1,3,0,1,2,2,0,0,0,All
Tiffany Palmer,,,,,,,,,,0,2,3,0,2,5,3,5,3,0,3,3,2,1,2,2,0,0,All
Nicola Serianni,,,,,,,,,,,0,1,3,1,1,2,2,2,0,1,1,0,1,2,0,1,0,All
Cateria R Mccabe,,,,,,,,,,,,0,1,4,2,2,1,2,3,1,1,1,1,1,2,1,0,All
Craig Levin,,,,,,,,,,,,,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,All
Sherman Toppin,,,,,,,,,,,,,,0,2,2,2,1,3,0,0,2,1,0,1,0,0,All
Terri M Booker,,,,,,,,,,,,,,,0,3,5,0,0,3,0,1,1,0,3,0,0,All
Chris Hall,,,,,,,,,,,,,,,,0,1,2,0,1,1,3,0,1,3,1,0,All
Leon Goodman,,,,,,,,,,,,,,,,,0,0,0,3,1,0,1,0,2,0,0,All
Beth Grossman,,,,,,,,,,,,,,,,,,0,0,1,1,0,2,2,0,1,0,All
Henry Mcgregor Sias,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,All
Kendra Mccrae,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,All
Wendi Barish,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,All
Janine D Momasso,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,All
Laurie Dow,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,All
Robert Trimble,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,All
Vicki Markovitz,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Gregory Weyer,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,58,54,26,25,16,15,13,13,13,12,11,10,10,9,9,8,8,6,5,5,5,4,4,4,4,3,0,All
,District Council 7th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,1
,Maria Quiñones Sánchez,Angel L Cruz,Joshua Roberts,Jennifer Schultz,Anthony Kyriakakis,Carmella Jacquinto,James C Crumlish,Jon Marshall,Kay Yu,Tiffany Palmer,Nicola Serianni,Cateria R Mccabe,Craig Levin,Sherman Toppin,Terri M Booker,Chris Hall,Leon Goodman,Beth Grossman,Henry Mcgregor Sias,Kendra Mccrae,Wendi Barish,James F Berardinelli,Janine D Momasso,Laurie Dow,Robert Trimble,Vicki Markovitz,Gregory Weyer,1
Maria Quiñones Sánchez,19,0,11,14,5,6,6,4,9,7,7,2,5,4,5,5,3,3,2,4,2,4,3,3,2,2,0,1
Angel L Cruz,,20,15,9,11,9,7,7,4,5,4,8,5,5,4,3,5,3,3,1,3,0,1,1,2,1,0,1
Joshua Roberts,,,0,7,10,7,9,4,2,1,3,5,5,5,3,1,1,0,4,0,1,1,1,0,0,1,0,1
Jennifer Schultz,,,,2,3,4,4,6,2,3,5,1,5,2,0,1,3,4,2,1,3,0,2,1,0,2,0,1
Anthony Kyriakakis,,,,,0,6,7,1,2,3,1,4,1,6,3,2,3,1,4,2,1,1,1,0,1,0,0,1
Carmella Jacquinto,,,,,,0,3,1,3,2,2,4,2,7,1,1,1,0,5,0,0,2,1,2,0,1,0,1
James C Crumlish,,,,,,,0,1,3,2,2,1,1,1,1,4,1,1,1,0,1,3,1,0,1,2,0,1
Jon Marshall,,,,,,,,2,0,3,3,3,4,1,0,0,2,2,0,0,2,0,1,1,0,0,0,1
Kay Yu,,,,,,,,,0,3,1,0,1,1,3,3,3,2,1,3,0,1,2,2,0,0,0,1
Tiffany Palmer,,,,,,,,,,0,2,3,0,2,5,3,5,3,0,3,3,2,1,2,2,0,0,1
Nicola Serianni,,,,,,,,,,,0,1,3,1,1,2,2,2,0,1,1,0,1,2,0,1,0,1
Cateria R Mccabe,,,,,,,,,,,,0,1,4,2,2,1,2,3,1,1,1,1,1,2,1,0,1
Craig Levin,,,,,,,,,,,,,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1
Sherman Toppin,,,,,,,,,,,,,,0,2,2,2,1,3,0,0,2,1,0,1,0,0,1
Terri M Booker,,,,,,,,,,,,,,,0,3,5,0,0,3,0,1,1,0,3,0,0,1
