col_1,col_2,col_3,col_4,col_5,col_6,division
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,All
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,All
Daniel D Mccaffery,477,"1,163",788,"2,424","1,151",All
Amanda Green-hawkins,,68,674,901,"1,063",All
Beth Tarasi,,,43,682,839,All
David H Conroy,,,,130,0,All
Theresa Brunson,,,,,58,All
Total,"4,177","2,153","1,684","2,870","1,936",All
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,1
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,1
Daniel D Mccaffery,5,19,14,26,21,1
Amanda Green-hawkins,,0,20,18,20,1
Beth Tarasi,,,1,9,22,1
David H Conroy,,,,4,0,1
Theresa Brunson,,,,,0,1
Total,52,41,35,36,34,1
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,2
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,2
Daniel D Mccaffery,2,24,13,49,20,2
Amanda Green-hawkins,,2,27,26,27,2
Beth Tarasi,,,2,18,26,2
David H Conroy,,,,0,0,2
Theresa Brunson,,,,,0,2
Total,72,56,46,57,46,2
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,3
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Theresa Brunson,David H Conroy,3
Daniel D Mccaffery,11,18,10,23,33,3
Amanda Green-hawkins,,3,15,24,15,3
Beth Tarasi,,,0,21,8,3
Theresa Brunson,,,,3,0,3
David H Conroy,,,,,3,3
Total,68,43,31,46,43,3
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,4
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Theresa Brunson,David H Conroy,4
Daniel D Mccaffery,3,21,14,21,28,4
Amanda Green-hawkins,,0,9,19,12,4
Beth Tarasi,,,1,17,7,4
Theresa Brunson,,,,0,0,4
David H Conroy,,,,,0,4
Total,57,35,28,34,32,4
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,5
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,5
Daniel D Mccaffery,12,24,29,53,36,5
Amanda Green-hawkins,,4,20,23,27,5
Beth Tarasi,,,3,21,28,5
David H Conroy,,,,1,0,5
Theresa Brunson,,,,,2,5
Total,109,59,57,67,60,5
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,6
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,6
Daniel D Mccaffery,6,20,9,27,15,6
Amanda Green-hawkins,,1,15,14,18,6
Beth Tarasi,,,0,9,17,6
David H Conroy,,,,1,0,6
Theresa Brunson,,,,,1,6
Total,51,36,28,32,30,6
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,7
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Theresa Brunson,David H Conroy,7
Daniel D Mccaffery,6,17,8,23,25,7
Amanda Green-hawkins,,0,19,21,19,7
Beth Tarasi,,,0,22,6,7
Theresa Brunson,,,,2,0,7
David H Conroy,,,,,0,7
Total,54,40,28,42,32,7
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,8
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,8
Daniel D Mccaffery,4,16,5,25,10,8
Amanda Green-hawkins,,2,4,12,11,8
Beth Tarasi,,,0,6,2,8
David H Conroy,,,,3,0,8
Theresa Brunson,,,,,0,8
Total,40,25,9,30,15,8
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,9
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,9
Daniel D Mccaffery,8,18,17,50,14,9
Amanda Green-hawkins,,0,13,21,14,9
Beth Tarasi,,,1,15,16,9
David H Conroy,,,,4,0,9
Theresa Brunson,,,,,1,9
Total,75,36,36,63,28,9
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,10
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,David H Conroy,Theresa Brunson,10
Daniel D Mccaffery,8,15,17,37,15,10
Beth Tarasi,,0,10,16,13,10
Amanda Green-hawkins,,,0,18,10,10
David H Conroy,,,,3,0,10
Theresa Brunson,,,,,0,10
Total,60,30,29,48,23,10
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,11
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,11
Daniel D Mccaffery,7,24,19,41,29,11
Amanda Green-hawkins,,3,17,24,26,11
Beth Tarasi,,,2,16,22,11
David H Conroy,,,,3,0,11
Theresa Brunson,,,,,1,11
Total,77,53,40,54,48,11
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,12
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,12
Daniel D Mccaffery,6,26,12,50,17,12
Amanda Green-hawkins,,2,21,19,30,12
Beth Tarasi,,,2,9,22,12
David H Conroy,,,,2,0,12
Theresa Brunson,,,,,1,12
Total,76,54,37,54,42,12
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,13
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,13
Daniel D Mccaffery,12,30,12,49,23,13
Amanda Green-hawkins,,0,11,16,26,13
Beth Tarasi,,,1,9,15,13
David H Conroy,,,,1,0,13
Theresa Brunson,,,,,2,13
Total,84,42,25,50,38,13
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,14
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,14
Daniel D Mccaffery,11,61,31,68,48,14
Amanda Green-hawkins,,5,27,36,53,14
Beth Tarasi,,,0,20,33,14
David H Conroy,,,,3,0,14
Theresa Brunson,,,,,2,14
Total,133,101,62,80,75,14
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,15
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,15
Daniel D Mccaffery,16,38,15,65,20,15
Amanda Green-hawkins,,3,22,33,31,15
Beth Tarasi,,,1,18,20,15
David H Conroy,,,,2,0,15
Theresa Brunson,,,,,1,15
Total,102,71,44,78,42,15
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,16
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,16
Daniel D Mccaffery,6,17,15,30,15,16
Amanda Green-hawkins,,0,6,11,15,16
Beth Tarasi,,,0,14,8,16
David H Conroy,,,,2,0,16
Theresa Brunson,,,,,2,16
Total,52,26,23,36,24,16
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,17
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,David H Conroy,Theresa Brunson,17
Daniel D Mccaffery,14,24,21,61,32,17
Beth Tarasi,,0,15,23,24,17
Amanda Green-hawkins,,,0,20,19,17
David H Conroy,,,,4,0,17
Theresa Brunson,,,,,0,17
Total,107,48,40,76,48,17
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,18
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,David H Conroy,Theresa Brunson,18
Daniel D Mccaffery,11,24,10,58,24,18
Beth Tarasi,,0,13,21,21,18
Amanda Green-hawkins,,,1,13,14,18
David H Conroy,,,,1,0,18
Theresa Brunson,,,,,1,18
Total,93,42,28,67,39,18
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,19
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,19
Daniel D Mccaffery,6,29,11,53,20,19
Amanda Green-hawkins,,0,9,26,15,19
Beth Tarasi,,,1,8,15,19
David H Conroy,,,,2,0,19
Theresa Brunson,,,,,3,19
Total,79,41,24,59,34,19
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,20
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,David H Conroy,Theresa Brunson,20
Daniel D Mccaffery,10,19,17,35,19,20
Beth Tarasi,,0,15,17,18,20
Amanda Green-hawkins,,,1,14,15,20
David H Conroy,,,,0,0,20
Theresa Brunson,,,,,1,20
Total,69,38,34,43,31,20
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,21
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,21
Daniel D Mccaffery,4,14,10,39,16,21
Amanda Green-hawkins,,3,11,11,19,21
Beth Tarasi,,,2,14,10,21
David H Conroy,,,,0,0,21
Theresa Brunson,,,,,3,21
Total,59,33,26,45,32,21
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,22
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,22
Daniel D Mccaffery,7,43,24,70,39,22
Amanda Green-hawkins,,2,28,26,41,22
Beth Tarasi,,,1,21,31,22
David H Conroy,,,,4,0,22
Theresa Brunson,,,,,1,22
Total,123,81,60,83,68,22
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,23
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Theresa Brunson,David H Conroy,23
Daniel D Mccaffery,20,43,21,49,52,23
Amanda Green-hawkins,,5,24,52,28,23
Beth Tarasi,,,0,33,14,23
Theresa Brunson,,,,4,0,23
David H Conroy,,,,,7,23
Total,127,90,50,85,73,23
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,24
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,24
Daniel D Mccaffery,32,98,35,147,69,24
Amanda Green-hawkins,,6,27,72,61,24
Beth Tarasi,,,2,26,37,24
David H Conroy,,,,5,0,24
Theresa Brunson,,,,,2,24
Total,262,151,75,169,108,24
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,25
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,25
Daniel D Mccaffery,10,28,18,55,35,25
Amanda Green-hawkins,,1,19,22,29,25
Beth Tarasi,,,0,15,21,25
David H Conroy,,,,4,0,25
Theresa Brunson,,,,,1,25
Total,101,53,38,65,54,25
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,26
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,26
Daniel D Mccaffery,16,16,16,43,23,26
Amanda Green-hawkins,,2,20,14,24,26
Beth Tarasi,,,0,15,24,26
David H Conroy,,,,4,0,26
Theresa Brunson,,,,,1,26
Total,83,43,41,55,44,26
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,27
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,27
Daniel D Mccaffery,13,23,8,51,20,27
Amanda Green-hawkins,,2,10,22,14,27
Beth Tarasi,,,1,16,7,27
David H Conroy,,,,3,0,27
Theresa Brunson,,,,,2,27
Total,84,39,25,63,32,27
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,28
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,28
Daniel D Mccaffery,17,28,18,60,24,28
Amanda Green-hawkins,,1,6,20,19,28
Beth Tarasi,,,2,11,13,28
David H Conroy,,,,4,0,28
Theresa Brunson,,,,,1,28
Total,108,43,30,70,37,28
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,29
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,29
Daniel D Mccaffery,14,38,11,59,28,29
Amanda Green-hawkins,,1,13,28,23,29
Beth Tarasi,,,1,6,19,29
David H Conroy,,,,2,0,29
Theresa Brunson,,,,,0,29
Total,106,57,28,64,45,29
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,30
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,Theresa Brunson,David H Conroy,30
Daniel D Mccaffery,8,25,24,37,49,30
Amanda Green-hawkins,,1,12,34,13,30
Beth Tarasi,,,1,29,13,30
Theresa Brunson,,,,3,0,30
David H Conroy,,,,,3,30
Total,94,48,43,66,54,30
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,31
,Daniel D Mccaffery,Beth Tarasi,Amanda Green-hawkins,David H Conroy,Theresa Brunson,31
Daniel D Mccaffery,8,17,15,77,10,31
Beth Tarasi,,1,3,19,6,31
Amanda Green-hawkins,,,1,16,7,31
David H Conroy,,,,8,0,31
Theresa Brunson,,,,,1,31
Total,95,26,24,91,18,31
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,32
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,32
Daniel D Mccaffery,5,19,16,35,26,32
Amanda Green-hawkins,,1,11,12,25,32
Beth Tarasi,,,1,13,13,32
David H Conroy,,,,0,0,32
Theresa Brunson,,,,,0,32
Total,67,40,28,40,40,32
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,33
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,33
Daniel D Mccaffery,22,42,28,90,35,33
Amanda Green-hawkins,,2,22,28,34,33
Beth Tarasi,,,1,23,28,33
David H Conroy,,,,3,0,33
Theresa Brunson,,,,,3,33
Total,155,72,58,103,60,33
,Judge Of The Superior Court - Democrat,,,Judge Of The Municipal Court - Democrat,,34
,Daniel D Mccaffery,Amanda Green-hawkins,Beth Tarasi,David H Conroy,Theresa Brunson,34
Daniel D Mccaffery,18,42,29,92,45,34
Amanda Green-hawkins,,3,32,42,41,34
Beth Tarasi,,,4,37,23,34
David H Conroy,,,,9,0,34
Theresa Brunson,,,,,3,34
Total,163,90,70,126,72,34
