col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,All
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,All
Joseph R Biden,449,0,0,0,"1,842",2,All
Bernie Sanders,,36,0,0,226,1,All
Tulsi Gabbard,,,8,0,25,0,All
Write-In,,,,1,1,2,All
Donna Bullock,,,,,37,0,All
Write-In,,,,,,0,All
Total,"2,293",263,33,4,"2,131",5,All
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,1
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,1
Joseph R Biden,27,0,0,0,70,0,1
Bernie Sanders,,1,0,0,5,1,1
Tulsi Gabbard,,,1,0,0,0,1
Write-In,,,,0,0,0,1
Donna Bullock,,,,,3,0,1
Write-In,,,,,,0,1
Total,97,7,1,0,78,1,1
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,2
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,2
Joseph R Biden,24,0,0,0,103,0,2
Bernie Sanders,,2,0,0,11,0,2
Tulsi Gabbard,,,0,0,2,0,2
Write-In,,,,0,0,0,2
Donna Bullock,,,,,0,0,2
Write-In,,,,,,0,2
Total,127,13,2,0,116,0,2
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,3
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,3
Joseph R Biden,32,0,0,0,109,1,3
Bernie Sanders,,0,0,0,14,0,3
Tulsi Gabbard,,,1,0,1,0,3
Write-In,,,,0,0,0,3
Donna Bullock,,,,,2,0,3
Write-In,,,,,,0,3
Total,142,14,2,0,126,1,3
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,4
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,4
Joseph R Biden,22,0,0,0,77,1,4
Bernie Sanders,,1,0,0,9,0,4
Tulsi Gabbard,,,0,0,2,0,4
Write-In,,,,0,0,0,4
Donna Bullock,,,,,3,0,4
Write-In,,,,,,0,4
Total,100,10,2,0,91,1,4
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,5
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,5
Joseph R Biden,44,0,0,0,177,0,5
Bernie Sanders,,2,0,0,13,0,5
Tulsi Gabbard,,,0,0,1,0,5
Write-In,,,,0,0,0,5
Donna Bullock,,,,,0,0,5
Write-In,,,,,,0,5
Total,221,15,1,0,191,0,5
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,6
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,6
Joseph R Biden,36,0,0,0,111,0,6
Bernie Sanders,,7,0,0,18,0,6
Tulsi Gabbard,,,0,0,2,0,6
Write-In,,,,0,0,0,6
Donna Bullock,,,,,4,0,6
Write-In,,,,,,0,6
Total,147,25,2,0,135,0,6
,Representative In The General Assembly 195th District - Democrat,,President Of The United States - Democrat,,,,7
,Donna Bullock,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,7
Donna Bullock,0,0,57,12,1,0,7
Write-In,,0,0,0,0,0,7
Joseph R Biden,,,10,0,0,0,7
Bernie Sanders,,,,1,0,0,7
Tulsi Gabbard,,,,,0,0,7
Write-In,,,,,,0,7
Total,70,0,67,13,1,0,7
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,8
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,8
Joseph R Biden,27,0,0,0,133,0,8
Bernie Sanders,,1,0,0,14,0,8
Tulsi Gabbard,,,0,0,1,0,8
Write-In,,,,0,0,1,8
Donna Bullock,,,,,4,0,8
Write-In,,,,,,0,8
Total,160,15,1,1,152,1,8
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,9
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,9
Joseph R Biden,47,0,0,0,167,0,9
Bernie Sanders,,4,0,0,24,0,9
Tulsi Gabbard,,,2,0,2,0,9
Write-In,,,,0,0,0,9
Donna Bullock,,,,,2,0,9
Write-In,,,,,,0,9
Total,214,28,4,0,195,0,9
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,10
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,10
Joseph R Biden,23,0,0,0,93,0,10
Bernie Sanders,,2,0,0,14,0,10
Tulsi Gabbard,,,0,0,5,0,10
Write-In,,,,1,0,0,10
Donna Bullock,,,,,1,0,10
Write-In,,,,,,0,10
Total,116,16,5,1,113,0,10
,Representative In The General Assembly 195th District - Democrat,,President Of The United States - Democrat,,,,11
,Donna Bullock,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,11
Donna Bullock,3,0,106,12,1,0,11
Write-In,,0,0,0,0,1,11
Joseph R Biden,,,16,0,0,0,11
Bernie Sanders,,,,3,0,0,11
Tulsi Gabbard,,,,,2,0,11
Write-In,,,,,,0,11
Total,122,1,122,15,3,1,11
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,12
,Joseph R Biden,Bernie Sanders,Write-In,Tulsi Gabbard,Donna Bullock,Write-In,12
Joseph R Biden,33,0,0,0,120,0,12
Bernie Sanders,,1,0,0,14,0,12
Write-In,,,0,0,1,0,12
Tulsi Gabbard,,,,0,0,0,12
Donna Bullock,,,,,0,0,12
Write-In,,,,,,0,12
Total,153,15,1,0,135,0,12
,Representative In The General Assembly 195th District - Democrat,,President Of The United States - Democrat,,,,13
,Donna Bullock,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,13
Donna Bullock,4,0,101,13,1,0,13
Write-In,,0,0,0,0,0,13
Joseph R Biden,,,16,0,0,0,13
Bernie Sanders,,,,2,0,0,13
Tulsi Gabbard,,,,,1,0,13
Write-In,,,,,,0,13
Total,119,0,117,15,2,0,13
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,14
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,14
Joseph R Biden,25,0,0,0,76,0,14
Bernie Sanders,,3,0,0,5,0,14
Tulsi Gabbard,,,0,0,2,0,14
Write-In,,,,0,0,0,14
Donna Bullock,,,,,3,0,14
Write-In,,,,,,0,14
Total,101,8,2,0,86,0,14
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,15
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,15
Joseph R Biden,17,0,0,0,77,0,15
Bernie Sanders,,2,0,0,13,0,15
Tulsi Gabbard,,,0,0,2,0,15
Write-In,,,,0,0,0,15
Donna Bullock,,,,,0,0,15
Write-In,,,,,,0,15
Total,94,15,2,0,92,0,15
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,16
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,16
Joseph R Biden,19,0,0,0,91,0,16
Bernie Sanders,,0,0,0,10,0,16
Tulsi Gabbard,,,0,0,1,0,16
Write-In,,,,0,0,0,16
Donna Bullock,,,,,1,0,16
Write-In,,,,,,0,16
Total,110,10,1,0,103,0,16
,President Of The United States - Democrat,,,,Representative In The General Assembly 195th District - Democrat,,17
,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,Donna Bullock,Write-In,17
Joseph R Biden,15,0,0,0,80,0,17
Bernie Sanders,,2,0,0,9,0,17
Tulsi Gabbard,,,0,0,1,0,17
Write-In,,,,0,0,0,17
Donna Bullock,,,,,3,0,17
Write-In,,,,,,0,17
Total,95,11,1,0,93,0,17
,Representative In The General Assembly 195th District - Democrat,,President Of The United States - Democrat,,,,18
,Donna Bullock,Write-In,Joseph R Biden,Bernie Sanders,Tulsi Gabbard,Write-In,18
Donna Bullock,4,0,94,16,0,0,18
Write-In,,0,0,0,0,0,18
Joseph R Biden,,,16,0,0,0,18
Bernie Sanders,,,,2,0,0,18
Tulsi Gabbard,,,,,1,0,18
Write-In,,,,,,0,18
Total,114,0,110,18,1,0,18
