col_1,col_2,col_3,col_4,col_5,division
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,All
,Angel Cruz,Write-In,Joe Torsella,Write-In,All
Angel Cruz,302,0,"1,147",2,All
Write-In,,0,4,2,All
Joe Torsella,,,54,0,All
Write-In,,,,1,All
Total,"1,451",6,"1,205",5,All
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,1
,Angel Cruz,Write-In,Joe Torsella,Write-In,1
Angel Cruz,14,0,55,0,1
Write-In,,0,0,0,1
Joe Torsella,,,2,0,1
Write-In,,,,0,1
Total,69,0,57,0,1
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,2
,Angel Cruz,Write-In,Joe Torsella,Write-In,2
Angel Cruz,22,0,62,0,2
Write-In,,0,0,1,2
Joe Torsella,,,2,0,2
Write-In,,,,0,2
Total,84,1,64,1,2
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,3
,Angel Cruz,Write-In,Joe Torsella,Write-In,3
Angel Cruz,9,0,41,0,3
Write-In,,0,0,0,3
Joe Torsella,,,3,0,3
Write-In,,,,0,3
Total,50,0,44,0,3
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,4
,Angel Cruz,Write-In,Joe Torsella,Write-In,4
Angel Cruz,11,0,53,0,4
Write-In,,0,1,0,4
Joe Torsella,,,3,0,4
Write-In,,,,0,4
Total,64,1,57,0,4
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,5
,Angel Cruz,Write-In,Joe Torsella,Write-In,5
Angel Cruz,11,0,60,0,5
Write-In,,0,0,0,5
Joe Torsella,,,2,0,5
Write-In,,,,0,5
Total,71,0,62,0,5
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,6
,Angel Cruz,Write-In,Joe Torsella,Write-In,6
Angel Cruz,13,0,62,0,6
Write-In,,0,0,0,6
Joe Torsella,,,2,0,6
Write-In,,,,0,6
Total,75,0,64,0,6
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,7
,Angel Cruz,Write-In,Joe Torsella,Write-In,7
Angel Cruz,18,0,66,0,7
Write-In,,0,0,0,7
Joe Torsella,,,3,0,7
Write-In,,,,0,7
Total,84,0,69,0,7
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,8
,Angel Cruz,Write-In,Joe Torsella,Write-In,8
Angel Cruz,15,0,83,0,8
Write-In,,0,0,0,8
Joe Torsella,,,3,0,8
Write-In,,,,0,8
Total,98,0,86,0,8
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,9
,Angel Cruz,Write-In,Joe Torsella,Write-In,9
Angel Cruz,13,0,84,0,9
Write-In,,0,0,0,9
Joe Torsella,,,5,0,9
Write-In,,,,0,9
Total,97,0,89,0,9
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,10
,Angel Cruz,Write-In,Joe Torsella,Write-In,10
Angel Cruz,26,0,43,0,10
Write-In,,0,0,0,10
Joe Torsella,,,1,0,10
Write-In,,,,0,10
Total,69,0,44,0,10
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,11
,Angel Cruz,Write-In,Joe Torsella,Write-In,11
Angel Cruz,22,0,53,0,11
Write-In,,0,0,0,11
Joe Torsella,,,4,0,11
Write-In,,,,0,11
Total,75,0,57,0,11
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,12
,Angel Cruz,Write-In,Joe Torsella,Write-In,12
Angel Cruz,12,0,77,0,12
Write-In,,0,0,1,12
Joe Torsella,,,4,0,12
Write-In,,,,0,12
Total,89,1,81,1,12
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,13
,Angel Cruz,Write-In,Joe Torsella,Write-In,13
Angel Cruz,19,0,47,0,13
Write-In,,0,0,0,13
Joe Torsella,,,1,0,13
Write-In,,,,0,13
Total,66,0,48,0,13
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,14
,Angel Cruz,Write-In,Joe Torsella,Write-In,14
Angel Cruz,8,0,42,0,14
Write-In,,0,0,0,14
Joe Torsella,,,2,0,14
Write-In,,,,0,14
Total,50,0,44,0,14
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,15
,Angel Cruz,Write-In,Joe Torsella,Write-In,15
Angel Cruz,11,0,44,1,15
Write-In,,0,0,0,15
Joe Torsella,,,1,0,15
Write-In,,,,1,15
Total,56,0,45,2,15
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,16
,Angel Cruz,Write-In,Joe Torsella,Write-In,16
Angel Cruz,8,0,34,1,16
Write-In,,0,0,0,16
Joe Torsella,,,1,0,16
Write-In,,,,0,16
Total,43,0,35,1,16
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,17
,Angel Cruz,Write-In,Joe Torsella,Write-In,17
Angel Cruz,4,0,12,0,17
Write-In,,0,0,0,17
Joe Torsella,,,3,0,17
Write-In,,,,0,17
Total,16,0,15,0,17
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,18
,Angel Cruz,Write-In,Joe Torsella,Write-In,18
Angel Cruz,3,0,23,0,18
Write-In,,0,0,0,18
Joe Torsella,,,3,0,18
Write-In,,,,0,18
Total,26,0,26,0,18
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,19
,Angel Cruz,Write-In,Joe Torsella,Write-In,19
Angel Cruz,14,0,33,0,19
Write-In,,0,0,0,19
Joe Torsella,,,2,0,19
Write-In,,,,0,19
Total,47,0,35,0,19
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,20
,Angel Cruz,Write-In,Joe Torsella,Write-In,20
Angel Cruz,9,0,34,0,20
Write-In,,0,0,0,20
Joe Torsella,,,3,0,20
Write-In,,,,0,20
Total,43,0,37,0,20
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,21
,Angel Cruz,Write-In,Joe Torsella,Write-In,21
Angel Cruz,9,0,32,0,21
Write-In,,0,0,0,21
Joe Torsella,,,0,0,21
Write-In,,,,0,21
Total,41,0,32,0,21
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,22
,Angel Cruz,Write-In,Joe Torsella,Write-In,22
Angel Cruz,18,0,38,0,22
Write-In,,0,1,0,22
Joe Torsella,,,1,0,22
Write-In,,,,0,22
Total,56,1,40,0,22
,Representative In The General Assembly 180th District - Democrat,,State Treasurer - Democrat,,23
,Angel Cruz,Write-In,Joe Torsella,Write-In,23
Angel Cruz,6,0,37,0,23
Write-In,,0,0,0,23
